Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., Proposition 1",0204,2099,577,2676,3568,75.00%,731,1465,2196
"Houston |.S.D., Proposition 1",0205,771,171,942,1724,54.64%,213,438,651
"Houston |.S.D., Proposition 1",0206,1277,494,1771,2965,59.73%,521,863,1384
"Houston |.S.D., Proposition 1",0207,605,212,817,1166,70.07%,200,469,669
"Houston |.S.D., Proposition 1",0210,1259,489,1748,2781,62.86%,490,875,1365
"Houston |.S.D., Proposition 1",0211,964,591,1555,3130,49.68%,481,679,1160
"Houston |.S.D., Proposition 1",0212,37,4,41,182,22.53%,10,16,26
"Houston |.S.D., Proposition 1",0213,94,40,134,168,79.76%,35,60,95
"Houston |.S.D., Proposition 1",0214,1016,418,1434,1911,75.04%,430,763,1193
"Houston |.S.D., Proposition 1",0215,1096,636,1732,2286,75.77%,556,908,1464
"Houston |.S.D., Proposition 1",0216,778,244,1022,1966,51.98%,314,472,786
"Houston |.S.D., Proposition 1",0217,1545,618,2163,2736,79.06%,629,1112,1741
"Houston |.S.D., Proposition 1",0218,1099,457,1556,2467,63.07%,471,719,1190
"Houston |.S.D., Proposition 1",0219,1117,515,1632,2868,56.90%,482,762,1244
"Houston |.S.D., Proposition 1",0221,694,292,986,1660,59.40%,290,434,724
"Houston |.S.D., Proposition 1",0222,1450,671,2131,2728,78.12%,611,1016,1627
"Houston |.S.D., Proposition 1",0223,1750,517,2267,3664,61.87%,774,979,1753
"Houston |.S.D., Proposition 1",0224,1166,495,1661,2313,71.81%,464,825,1289
"Houston |.S.D., Proposition 1",0226,840,421,1261,2554,49.37%,445,505,950
"Houston |.S.D., Proposition 1",0227,1071,359,1430,1810,79.01%,381,756,1137
"Houston |.S.D., Proposition 1",0228,625,159,784,1175,66.72%,199,444,643
"Houston |.S.D., Proposition 1",0229,227,168,395,828,47.71%,144,131,275
"Houston |.S.D., Proposition 1",0230,353,165,518,1094,47.35%,132,212,344
"Houston |.S.D., Proposition 1",0231,801,445,1246,2376,52.44%,369,533,902
"Houston |.S.D., Proposition 1",0232,941,438,1379,1826,75.52%,402,718,1120
"Houston |.S.D., Proposition 1",0233,2571,703,3274,4713,69.47%,831,1643,2474
"Houston |.S.D., Proposition 1",0234,2419,728,3147,4042,77.86%,786,1457,2243
"Houston |.S.D., Proposition 1",0235,461,203,664,1421,46.73%,158,302,460
"Houston |.S.D., Proposition 1",0236,656,308,964,2104,45.82%,281,390,671
"Houston |.S.D., Proposition 1",0237,739,312,1051,2146,48.97%,276,472,748
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., Proposition 1",0238,606,317,923,1948,47.38%,251,378,629
"Houston |.S.D., Proposition 1",0239,694,334,1028,1984,51.81%,269,492,761
"Houston |.S.D., Proposition 1",0240,1007,292,1299,2601,49.94%,339,640,979
"Houston |.S.D., Proposition 1",0243,244,42,286,475,60.21%,68,163,231
"Houston |.S.D., Proposition 1",0247,440,376,816,1595,51.16%,203,299,502
"Houston |.S.D., Proposition 1",0252,926,309,1235,2292,53.88%,252,549,801
"Houston |.S.D., Proposition 1",0253,759,311,1070,2154,49.68%,257,436,693
"Houston |.S.D., Proposition 1",0254,93,88,181,455,39.78%,62,63,125
"Houston |.S.D., Proposition 1",0255,1253,586,1839,2489,73.89%,530,972,1502
"Houston |.S.D., Proposition 1",0256,1398,583,1981,3321,59.65%,542,870,1412
"Houston |.S.D., Proposition 1",0259,1030,414,1444,2312,62.46%,378,764,1142
"Houston |.S.D., Proposition 1",0261,442,531,973,1457,66.78%,290,417,707
"Houston |.S.D., Proposition 1",0268,1174,689,1863,2528,73.69%,649,941,1590
"Houston |.S.D., Proposition 1",0269,1273,365,1638,2067,79.25%,422,780,1202
"Houston |.S.D., Proposition 1",0270,1815,687,2502,3985,62.79%,705,1271,1976
"Houston |.S.D., Proposition 1",0271,1150,346,1496,2558,58.48%,386,749,1135
"Houston |.S.D., Proposition 1",0272,870,415,1285,2334,55.06%,355,585,940
"Houston |.S.D., Proposition 1",0275,562,333,895,2023,44.24%,269,391,660
"Houston |.S.D., Proposition 1",0276,1027,255,1282,2458,52.16%,340,625,965
"Houston |.S.D., Proposition 1",0281,1287,590,1877,2507,74.87%,501,1091,1592
"Houston |.S.D., Proposition 1",0282,773,604,1377,2144,64.23%,414,667,1081
"Houston |.S.D., Proposition 1",0284,1585,574,2159,4079,52.93%,610,916,1526
"Houston |.S.D., Proposition 1",0285,1077,431,1508,2680,56.27%,426,706,1132
