Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George Moore,DEM Sherrie L. Matula,Totals
"County School Trustee, Position 1, Precinct 2",0532,478,140,618,1058,58.41%,396,208,604
"County School Trustee, Position 1, Precinct 2",0533,352,169,521,1164,44.76%,248,238,486
"County School Trustee, Position 1, Precinct 2",0534,1895,577,2472,3918,63.09%,1651,714,2365
"County School Trustee, Position 1, Precinct 2",0535,132,62,194,413,46.97%,55,124,179
"County School Trustee, Position 1, Precinct 2",0543,553,321,874,1658,52.71%,205,623,828
"County School Trustee, Position 1, Precinct 2",0560,290,247,537,1141,47.06%,90,412,502
"County School Trustee, Position 1, Precinct 2",0561,1023,624,1647,3138,52.49%,920,639,1559
"County School Trustee, Position 1, Precinct 2",0568,1833,697,2530,3638,69.54%,1493,879,2372
"County School Trustee, Position 1, Precinct 2",0571,521,314,835,1950,42.82%,241,552,793
"County School Trustee, Position 1, Precinct 2",0591,651,462,1113,2274,48.94%,263,790,1053
"County School Trustee, Position 1, Precinct 2",0604,1815,375,2191,3189,68.70%,1777,317,2094
"County School Trustee, Position 1, Precinct 2",0608,156,77,233,570,40.88%,68,152,220
"County School Trustee, Position 1, Precinct 2",0636,2303,922,3225,4569,70.58%,2747,362,3109
"County School Trustee, Position 1, Precinct 2",0637,1095,423,1518,2591,58.59%,295,1106,1401
"County School Trustee, Position 1, Precinct 2",0658,1299,494,1793,2901,61.81%,1044,682,1726
"County School Trustee, Position 1, Precinct 2",0659,2806,733,3539,5161,68.57%,2353,1046,3399
"County School Trustee, Position 1, Precinct 2",0662,2257,571,2838,4002,70.91%,2210,528,2738
"County School Trustee, Position 1, Precinct 2",0664,909,513,1422,2992,47.53%,253,1103,1356
"County School Trustee, Position 1, Precinct 2",0665,1327,360,1687,2354,71.67%,1315,309,1624
"County School Trustee, Position 1, Precinct 2",0673,1625,467,2092,3051,68.57%,1622,396,2018
"County School Trustee, Position 1, Precinct 2",0674,2354,610,2964,4228,70.10%,2073,788,2861
"County School Trustee, Position 1, Precinct 2",0675,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 1, Precinct 2",0677,423,259,682,1300,52.46%,156,475,631
"County School Trustee, Position 1, Precinct 2",0679,1718,529,2247,3542,63.44%,1489,652,2141
"County School Trustee, Position 1, Precinct 2",0682,2112,690,2802,4313,64.97%,1948,752,2700
"County School Trustee, Position 1, Precinct 2",0683,82,5,87,302,28.81%,21,62,83
"County School Trustee, Position 1, Precinct 2",0692,1278,678,1956,3118,62.73%,1299,559,1858
"County School Trustee, Position 1, Precinct 2",0695,628,315,943,1842,51.19%,538,358,896
"County School Trustee, Position 1, Precinct 2",0696,723,312,1035,2027,51.06%,595,409,1004
"County School Trustee, Position 1, Precinct 2",0699,1275,398,1674,2387,70.13%,977,590,1567
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George Moore,DEM Sherrie L. Matula,Totals
"County School Trustee, Position 1, Precinct 2",0700,725,247,973,1536,63.35%,795,143,938
"County School Trustee, Position 1, Precinct 2",0703,899,528,1427,1943,73.44%,954,410,1364
"County School Trustee, Position 1, Precinct 2",0704,1598,512,2210,3121,70.81%,1750,383,2133
"County School Trustee, Position 1, Precinct 2",0708,152,98,250,592,43.92%,84,164,248
"County School Trustee, Position 1, Precinct 2",0714,102,28,130,306,42.48%,55,68,123
"County School Trustee, Position 1, Precinct 2",0715,553,239,792,1549,51.13%,353,402,755
"County School Trustee, Position 1, Precinct 2",0716,1216,419,1635,2720,60.11%,1103,466,1569
"County School Trustee, Position 1, Precinct 2",0718,2243,872,3115,4412,70.60%,1880,1067,2947
"County School Trustee, Position 1, Precinct 2",0719,624,223,847,1644,51.52%,399,402,801
"County School Trustee, Position 1, Precinct 2",0721,1455,603,2069,2926,70.71%,1222,752,1974
"County School Trustee, Position 1, Precinct 2",0724,395,146,541,800,67.63%,336,183,519
"County School Trustee, Position 1, Precinct 2",0725,976,294,1270,2336,54.37%,490,709,1199
"County School Trustee, Position 1, Precinct 2",0728,399,198,597,942,63.38%,319,248,567
"County School Trustee, Position 1, Precinct 2",0732,791,449,1240,1943,63.82%,665,508,1173
"County School Trustee, Position 1, Precinct 2",0736,14,3,17,42,40.48%,0,13,13
"County School Trustee, Position 1, Precinct 2",0737,21,6,27,56,48.21%,19,8,27
"County School Trustee, Position 1, Precinct 2",0739,978,440,1418,2971,47.73%,590,764,1354
"County School Trustee, Position 1, Precinct 2",0740,280,169,449,1005,44.68%,225,200,425
"County School Trustee, Position 1, Precinct 2",0744,1009,444,1453,2103,69.09%,791,598,1389
"County School Trustee, Position 1, Precinct 2",0745,1213,446,1659,2543,65.24%,931,660,1591
"County School Trustee, Position 1, Precinct 2",0746,244,121,365,732,49.86%,161,177,338
"County School Trustee, Position 1, Precinct 2",0748,563,245,808,1556,51.93%,367,411,778
"County School Trustee, Position 1, Precinct 2",0749,115,1,116,432,26.85%,18,94,112
"County School Trustee, Position 1, Precinct 2",0750,294,122,416,809,51.42%,220,174,394
"County School Trustee, Position 1, Precinct 2",0752,659,227,886,1484,59.70%,572,270,842
"County School Trustee, Position 1, Precinct 2",0755,1782,955,2737,5015,54.58%,886,1706,2592
"County School Trustee, Position 1, Precinct 2",0763,370,264,634,1249,50.76%,183,418,601
"County School Trustee, Position 1, Precinct 2",0764,2472,677,3149,4827,65.24%,1822,1186,3008
"County School Trustee, Position 1, Precinct 2",0766,126,59,185,428,43.22%,26,139,165
"County School Trustee, Position 1, Precinct 2",0769,55,14,99,184,53.80%,7,90,97
"County School Trustee, Position 1, Precinct 2",0770,103,42,145,388,37.37%,46,92,138
"County School Trustee, Position 1, Precinct 2",0777,201,105,306,767,39.90%,74,223,297
"County School Trustee, Position 1, Precinct 2",0778,0,3,3,0,0.00%,0,3,3
"County School Trustee, Position 1, Precinct 2",0779,253,160,423,1019,41.51%,100,291,391
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George Moore,DEM Sherrie L. Matula,Totals
"County School Trustee, Position 1, Precinct 2",0786,396,177,573,1258,45.55%,175,364,539
"County School Trustee, Position 1, Precinct 2",0787,180,83,263,542,48.52%,75,173,248
"County School Trustee, Position 1, Precinct 2",0791,9,3,12,29,41.38%,2,10,12
"County School Trustee, Position 1, Precinct 2",0792,648,415,1063,1954,54.40%,250,760,1010
"County School Trustee, Position 1, Precinct 2",0793,984,416,1400,2620,53.44%,695,633,1328
"County School Trustee, Position 1, Precinct 2",0795,396,2,398,1281,31.07%,114,253,367
"County School Trustee, Position 1, Precinct 2",0797,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 1, Precinct 2",0810,47,31,78,197,39.59%,12,57,69
"County School Trustee, Position 1, Precinct 2",0811,82,68,150,277,54.15%,29,116,145
"County School Trustee, Position 1, Precinct 2",0818,208,104,312,737,42.33%,64,234,298
"County School Trustee, Position 1, Precinct 2",0821,362,188,550,1295,42.47%,70,452,522
"County School Trustee, Position 1, Precinct 2",0824,1057,410,1467,2762,53.11%,305,1103,1408
"County School Trustee, Position 1, Precinct 2",0827,218,234,452,1042,43.38%,139,301,440
"County School Trustee, Position 1, Precinct 2",0831,8,5,13,36,36.11%,6,6,12
"County School Trustee, Position 1, Precinct 2",0833,3,2,5,20,25.00%,2,3,5
