Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0207,605,212,817,1166,70.07%,215,549,764
"District Judge, 129th Judicial District",0208,909,338,1247,2256,55.27%,265,897,1162
"District Judge, 129th Judicial District",0209,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0210,1259,489,1748,2781,62.86%,270,1404,1674
"District Judge, 129th Judicial District",0211,964,595,1559,3130,49.81%,393,1057,1450
"District Judge, 129th Judicial District",0212,309,323,632,1370,46.13%,92,499,591
"District Judge, 129th Judicial District",0213,1782,795,2577,3406,75.66%,1890,579,2469
"District Judge, 129th Judicial District",0214,1016,418,1434,1911,75.04%,801,533,1334
"District Judge, 129th Judicial District",0215,1096,636,1732,2286,75.77%,918,698,1616
"District Judge, 129th Judicial District",0216,778,244,1022,1966,51.98%,63,915,978
"District Judge, 129th Judicial District",0217,1545,618,2163,2736,79.06%,1212,835,2047
"District Judge, 129th Judicial District",0218,1099,457,1555,2467,63.07%,340,1098,1438
"District Judge, 129th Judicial District",0219,1117,515,1632,2868,56.90%,145,1398,1543
"District Judge, 129th Judicial District",0220,832,306,1138,2362,48.18%,688,384,1072
"District Judge, 129th Judicial District",0221,1032,473,1505,2598,57.93%,440,973,1413
"District Judge, 129th Judicial District",0222,1460,671,2131,2728,78.12%,876,1099,1975
"District Judge, 129th Judicial District",0223,1750,517,2267,3664,61.87%,548,1571,2119
"District Judge, 129th Judicial District",0224,1155,495,1551,2313,71.81%,690,859,1549
"District Judge, 129th Judicial District",0225,1353,596,1949,3689,52.83%,802,1062,1864
"District Judge, 129th Judicial District",0226,840,421,1261,2554,49.37%,209,997,1206
"District Judge, 129th Judicial District",0227,1071,359,1430,1810,79.01%,936,422,1358
"District Judge, 129th Judicial District",0228,625,159,784,1175,66.72%,49,720,769
"District Judge, 129th Judicial District",0229,227,168,395,828,47.71%,100,271,371
"District Judge, 129th Judicial District",0230,353,155,518,1094,47.35%,23,477,500
"District Judge, 129th Judicial District",0231,801,445,1246,2376,52.44%,221,968,1189
"District Judge, 129th Judicial District",0232,941,438,1379,1826,75.52%,703,584,1287
"District Judge, 129th Judicial District",0233,2571,703,3274,4713,69.47%,1432,1625,3057
"District Judge, 129th Judicial District",0234,2419,728,3147,4042,77.86%,2159,825,2984
"District Judge, 129th Judicial District",0235,461,203,664,1421,46.73%,24,610,634
"District Judge, 129th Judicial District",0236,555,308,964,2104,45.82%,46,889,935
"District Judge, 129th Judicial District",0237,739,312,1051,2146,48.97%,28,996,1024
"District Judge, 129th Judicial District",0238,606,317,923,1948,47.38%,31,856,887
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0239,694,334,1028,1984,51.81,%,34,970,1004
"District Judge, 129th Judicial District",0240,1007,292,1299,2601,49.94%,25,1241,1266
"District Judge, 129th Judicial District",0241,651,383,1034,2466,41.93%,303,689,992
"District Judge, 129th Judicial District",0242,506,314,820,1744,47.02%,345,423,768
"District Judge, 129th Judicial District",0243,244,42,286,475,60.21%,8,275,283
"District Judge, 129th Judicial District",0244,1409,538,1947,3296,59.07%,884,970,1854
"District Judge, 129th Judicial District",0245,2100,811,2911,4679,62.21%,1764,996,2760
"District Judge, 129th Judicial District",0246,2209,482,2691,3971,67.77%,1624,963,2587
"District Judge, 129th Judicial District",0247,440,376,816,1595,51.16%,28,772,800
"District Judge, 129th Judicial District",0248,453,347,800,2147,37.26%,165,589,754
"District Judge, 129th Judicial District",0249,1124,365,1489,2825,52.71%,904,535,1439
"District Judge, 129th Judicial District",0250,288,183,471,925,50.92%,22,440,462
"District Judge, 129th Judicial District",0251,806,378,1184,2132,55.53%,63,1076,1139
"District Judge, 129th Judicial District",0252,925,309,1235,2292,53.88%,33,1169,1202
"District Judge, 129th Judicial District",0253,759,311,1070,2154,49.68%,35,1011,1046
"District Judge, 129th Judicial District",0254,411,280,691,1675,41.25%,139,517,656
"District Judge, 129th Judicial District",0255,1253,586,1839,2489,73.89%,758,958,1716
"District Judge, 129th Judicial District",0256,1398,583,1981,3321,59.65%,618,1238,1856
"District Judge, 129th Judicial District",0257,997,622,1619,3497,46.30%,345,1207,1552
"District Judge, 129th Judicial District",0258,1948,608,2555,3346,76.39%,1735,682,2417
"District Judge, 129th Judicial District",0259,1030,414,1444,2312,62.46%,34,1370,1404
"District Judge, 129th Judicial District",0260,547,227,774,1300,59.54%,364,363,727
"District Judge, 129th Judicial District",0261,442,531,973,1457,66.78%,238,681,919
"District Judge, 129th Judicial District",0262,1847,676,2523,4397,57.38%,1280,1105,2385
"District Judge, 129th Judicial District",0263,2208,665,2873,4016,71.54%,1971,766,2737
"District Judge, 129th Judicial District",0264,1110,627,1737,3101,56.01%,825,808,1633
"District Judge, 129th Judicial District",0265,1991,608,2599,3582,72.56%,1730,709,2439
"District Judge, 129th Judicial District",0266,737,443,1180,2147,54.96%,409,704,1113
"District Judge, 129th Judicial District",0267,421,293,714,1433,49.83%,243,430,673
"District Judge, 129th Judicial District",0268,1174,689,1863,2528,73.69%,963,758,1721
"District Judge, 129th Judicial District",0269,1305,365,1670,2114,79.00%,1191,388,1579
"District Judge, 129th Judicial District",0270,1816,688,2504,3985,62.84%,1166,1185,2351
"District Judge, 129th Judicial District",0271,1150,346,1496,2558,58.48%,36,1426,1462
"District Judge, 129th Judicial District",0272,870,415,1285,2334,55.06%,423,791,1214
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0273,1175,647,1822,2485,73.32%,1353,393,1746
"District Judge, 129th Judicial District",0274,1261,311,1572,2223,70.72%,929,541,1470
"District Judge, 129th Judicial District",0275,585,334,919,2059,44.63%,146,739,885
"District Judge, 129th Judicial District",0276,1027,255,1282,2458,52.16%,19,1233,1252
"District Judge, 129th Judicial District",0277,573,338,911,1898,48.00%,293,579,872
"District Judge, 129th Judicial District",0278,1059,469,1528,2602,58.72%,604,841,1445
"District Judge, 129th Judicial District",0279,789,314,1103,2073,53.21%,587,466,1053
"District Judge, 129th Judicial District",0280,444,362,806,1656,48.67%,207,552,759
"District Judge, 129th Judicial District",0281,1287,590,1877,2507,74.87%,776,937,1713
"District Judge, 129th Judicial District",0282,773,604,1377,2144,64.23%,745,567,1312
"District Judge, 129th Judicial District",0283,2351,1143,3494,6365,54.89%,466,2898,3364
"District Judge, 129th Judicial District",0284,1585,574,2159,4079,52.93%,672,1374,2046
"District Judge, 129th Judicial District",0285,1077,431,1508,2680,56.27%,112,1345,1457
"District Judge, 129th Judicial District",0286,1708,545,2253,3757,59.97%,177,2011,2188
"District Judge, 129th Judicial District",0287,851,408,1259,1658,75.93%,555,627,1182
"District Judge, 129th Judicial District",0288,881,314,1195,2208,54.12%,34,1127,1161
"District Judge, 129th Judicial District",0289,481,352,833,1584,52.59%,274,498,772
"District Judge, 129th Judicial District",0290,705,332,1037,1623,63.89%,734,267,1001
"District Judge, 129th Judicial District",0291,603,233,836,1218,68.64%,336,457,793
"District Judge, 129th Judicial District",0292,549,178,727,1379,52.72%,74,627,701
"District Judge, 129th Judicial District",0293,778,475,1253,1811,69.19%,497,669,1166
"District Judge, 129th Judicial District",0294,852,198,1050,2054,51.12%,14,1016,1030
"District Judge, 129th Judicial District",0295,270,111,381,894,42.62%,9,362,371
"District Judge, 129th Judicial District",0296,701,385,1086,1705,63.70%,524,484,1008
"District Judge, 129th Judicial District",0297,729,341,1070,2055,52.07%,352,661,1013
"District Judge, 129th Judicial District",0298,1095,387,1482,2236,66.28%,705,707,1412
"District Judge, 129th Judicial District",0299,499,236,735,1506,48.80%,215,471,686
"District Judge, 129th Judicial District",0300,3385,728,4113,5480,75.05%,2999,940,3939
"District Judge, 129th Judicial District",0301,737,392,1129,2337,48.31%,356,714,1070
"District Judge, 129th Judicial District",0302,1197,591,1788,3277,54.56%,855,852,1707
"District Judge, 129th Judicial District",0303,1896,692,2588,3375,76.68%,1863,608,2471
"District Judge, 129th Judicial District",0304,1190,474,1664,2326,71.54%,842,701,1543
"District Judge, 129th Judicial District",0305,2154,645,2799,4838,57.85%,867,1813,2680
"District Judge, 129th Judicial District",0306,1096,299,1395,1896,73.58%,918,392,1310
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0307,1456,801,2257,3270,69.02%,1431,689,2120
"District Judge, 129th Judicial District",0308,526,225,751,1457,51,54%,157,546,703
"District Judge, 129th Judicial District",0309,2160,591,2751,3495,78.71%,1986,631,2617
"District Judge, 129th Judicial District",0310,709,326,1035,1464,70.70%,599,363,962
"District Judge, 129th Judicial District",0311,930,643,1573,3222,48.82%,679,776,1455
"District Judge, 129th Judicial District",0312,1705,552,2257,3724,60.61%,1114,1021,2135
"District Judge, 129th Judicial District",0313,23,8,31,61,50.82%,15,9,24
"District Judge, 129th Judicial District",0314,2997,817,3814,5606,68.03%,2106,1565,3671
"District Judge, 129th Judicial District",0315,801,353,1154,1636,70.54%,593,484,1077
"District Judge, 129th Judicial District",0316,739,340,1079,1513,71.32%,527,474,1001
"District Judge, 129th Judicial District",0317,593,252,845,1661,50.87%,207,589,796
"District Judge, 129th Judicial District",0318,1726,529,2255,3776,59.72%,124,2056,2180
"District Judge, 129th Judicial District",0319,994,271,1265,2199,57.53%,67,1160,1227
"District Judge, 129th Judicial District",0320,554,238,792,1570,50.45%,264,483,747
"District Judge, 129th Judicial District",0321,857,363,1230,2483,49.54%,307,830,1137
"District Judge, 129th Judicial District",0322,426,124,550,1210,45.45%,152,379,531
