Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0135,1521,551,2172,2777,78.21%,1302,698,75,10,2085
"Justice, Supreme Court, Place 5",0136,985,352,1337,2116,63.19%,69,1156,35,34,1294
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0137,993,259,1252,1986,63.04%,796,369,39,15,1219
"Justice, Supreme Court, Place 5",0138,601,228,829,1723,48.11%,32,756,6,9,803
"Justice, Supreme Court, Place 5",0139,1947,601,2548,3435,74.18%,1056,1243,97,31,2427
"Justice, Supreme Court, Place 5",0140,1525,510,2035,3270,62.23%,294,1583,47,35,1959
"Justice, Supreme Court, Place 5",0141,217,153,370,904,40.93%,190,145,9,8,352
"Justice, Supreme Court, Place 5",0142,293,140,433,933,46.41%,81,318,6,7,412
"Justice, Supreme Court, Place 5",0143,1868,267,2135,2582,82.69%,1345,699,48,9,2101
"Justice, Supreme Court, Place 5",0144,442,125,567,1086,52.21%,20,517,8,6,551
"Justice, Supreme Court, Place 5",0145,560,256,815,1564,52.17%,21,763,5,7,796
"Justice, Supreme Court, Place 5",0146,1000,494,1494,2073,72.07%,551,797,59,30,1437
"Justice, Supreme Court, Place 5",0147,1412,354,1766,3211,55.00%,215,1473,22,19,1729
"Justice, Supreme Court, Place 5",0148,1266,652,1918,2571,74.60%,695,1070,45,25,1835
"Justice, Supreme Court, Place 5",0149,2941,573,3514,4756,73.89%,1836,1481,104,27,3448
"Justice, Supreme Court, Place 5",0150,582,223,805,1574,51.14%,36,730,7,13,786
"Justice, Supreme Court, Place 5",0151,282,107,389,826,47.09%,18,352,5,1,376
"Justice, Supreme Court, Place 5",0152,838,524,1362,3059,44.52%,242,1029,19,15,1305
"Justice, Supreme Court, Place 5",0153,545,399,944,1873,50.40%,187,682,22,17,908
