Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0838,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0839,419,174,593,1190,49.83%,112,435,22,9,578
"Justice, Supreme Court, Place 5",0840,831,228,1059,1780,59.49%,334,656,26,11,1027
"Justice, Supreme Court, Place 5",0841,1475,475,1950,3431,56.83%,422,1427,29,18,1896
"Justice, Supreme Court, Place 5",0842,1340,513,1853,3390,54.66%,657,1040,64,22,1783
"Justice, Supreme Court, Place 5",0843,595,298,893,1387,64.38%,154,693,11,11,869
"Justice, Supreme Court, Place 5",0844,4,0,4,10,40.00%,0,4,0,0,4
"Justice, Supreme Court, Place 5",0845,152,13,165,218,75.69%,101,56,3,1,161
"Justice, Supreme Court, Place 5",0846,51,22,83,229,36.24%,1,77,1,1,80
"Justice, Supreme Court, Place 5",0847,993,330,1323,2310,57.27%,327,929,20,16,1292
"Justice, Supreme Court, Place 5",0848,1014,201,1215,1875,64.80%,355,763,33,19,1170
"Justice, Supreme Court, Place 5",0849,731,455,1186,2272,52.20%,289,800,23,20,1132
"Justice, Supreme Court, Place 5",0850,129,19,148,208,71.15%,47,91,2,2,142
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0851,1886,441,2327,3597,64.69%,1454,695,81,24,2254
"Justice, Supreme Court, Place 5",0852,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0853,1538,487,2125,2986,71.17%,1504,493,62,19,2078
"Justice, Supreme Court, Place 5",0854,40,19,59,175,33.71%,6,49,1,2,58
"Justice, Supreme Court, Place 5",0855,7,2,9,21,42.86%,5,3,0,1,9
"Justice, Supreme Court, Place 5",0856,0,3,3,0,0.00%,0,1,0,0,1
"Justice, Supreme Court, Place 5",0857,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0858,122,35,157,334,47.01%,4,145,2,0,151
"Justice, Supreme Court, Place 5",0859,391,143,534,945,56.51%,112,387,9,10,518
"Justice, Supreme Court, Place 5",0860,1,1,2,0,0.00%,0,1,1,0,2
"Justice, Supreme Court, Place 5",0861,777,272,1049,1941,54.04%,158,832,17,17,1024
"Justice, Supreme Court, Place 5",0862,1989,508,2497,3739,66.78%,1403,935,59,29,2426
"Justice, Supreme Court, Place 5",0863,192,64,256,581,44.06%,15,234,0,1,250
"Justice, Supreme Court, Place 5",0864,693,574,1267,2708,46.79%,255,927,20,15,1217
"Justice, Supreme Court, Place 5",0865,9,2,11,21,52.38%,0,10,1,0,11
"Justice, Supreme Court, Place 5",0866,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0867,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0868,737,495,1232,2446,50.37%,300,855,17,18,1190
"Justice, Supreme Court, Place 5",0869,166,55,221,480,46.04%,29,182,0,3,214
"Justice, Supreme Court, Place 5",0870,0,2,2,0,0.00%,1,1,0,0,2
"Justice, Supreme Court, Place 5",0871,2,1,3,3,100.00%,0,2,1,0,3
"Justice, Supreme Court, Place 5",0872,16,6,22,68,32.35%,13,9,0,0,22
"Justice, Supreme Court, Place 5",0873,296,111,407,778,52.31%,89,300,3,8,400
"Justice, Supreme Court, Place 5",0874,1682,670,2352,3294,71.40%,1633,585,59,14,2291
"Justice, Supreme Court, Place 5",0875,1950,501,2451,3592,68.23%,1080,1213,64,23,2380
"Justice, Supreme Court, Place 5",0876,1947,577,2524,3485,72.42%,1683,712,59,18,2472
"Justice, Supreme Court, Place 5",0877,1806,528,2334,3651,63.93%,836,1354,59,29,2278
"Justice, Supreme Court, Place 5",0878,685,110,795,1039,76.52%,615,132,18,5,770
"Justice, Supreme Court, Place 5",0879,1217,413,1630,2843,57.33%,632,865,57,24,1578
"Justice, Supreme Court, Place 5",0880,1357,471,1828,2467,74.10%,1325,412,45,9,1791
"Justice, Supreme Court, Place 5",0881,2467,927,3394,5638,60.20%,824,2349,92,40,3305
"Justice, Supreme Court, Place 5",0882,1954,595,2549,4317,59.05%,703,1667,52,37,2459
"Justice, Supreme Court, Place 5",0883,2253,928,3181,5613,56.67%,519,2471,49,55,3094
"Justice, Supreme Court, Place 5",0884,149,55,204,396,51.52%,29,168,1,3,201
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0885,1573,323,1896,2811,67.45%,1032,773,42,16,1863
"Justice, Supreme Court, Place 5",0886,498,152,650,906,71.74%,312,263,44,6,625
"Justice, Supreme Court, Place 5",0887,235,95,330,492,67.07%,156,133,22,4,315
"Justice, Supreme Court, Place 5",0888,820,289,1109,1867,59.40%,332,696,29,20,1077
"Justice, Supreme Court, Place 5",0889,114,28,142,238,59.66%,37,84,7,7,135
"Justice, Supreme Court, Place 5",0890,449,98,547,1214,45.06%,198,287,31,4,520
"Justice, Supreme Court, Place 5",0891,753,194,947,1376,68.82%,316,555,25,14,910
"Justice, Supreme Court, Place 5",0892,428,123,551,900,61.22%,171,316,32,13,532
"Justice, Supreme Court, Place 5",0893,1,4,5,9,55.56%,2,3,0,0,5
"Justice, Supreme Court, Place 5",0894,805,305,1110,2087,53.19%,144,899,26,18,1087
"Justice, Supreme Court, Place 5",0895,419,252,671,834,80.46%,250,357,25,7,639
"Justice, Supreme Court, Place 5",0896,841,254,1095,1467,74.64%,346,668,20,22,1056
"Justice, Supreme Court, Place 5",0897,814,365,1179,1766,66.76%,573,505,47,11,1136
"Justice, Supreme Court, Place 5",0898,792,301,1093,1821,60.02%,408,608,35,13,1064
"Justice, Supreme Court, Place 5",0899,747,165,912,1264,72.15%,532,325,26,13,896
"Justice, Supreme Court, Place 5",0900,7,0,7,12,58.33%,1,6,0,0,7
"Justice, Supreme Court, Place 5",0901,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0902,1311,361,1672,2217,75.42%,794,718,78,26,1616
"Justice, Supreme Court, Place 5",0903,1315,354,1669,2558,65.25%,1171,399,45,18,1633
"Justice, Supreme Court, Place 5",0904,2,0,2,8,25.00%,1,1,0,0,2
"Justice, Supreme Court, Place 5",0905,390,136,526,946,55.60%,185,317,4,7,513
"Justice, Supreme Court, Place 5",0906,19,3,22,28,78.57%,13,9,0,0,22
"Justice, Supreme Court, Place 5",0907,53,37,90,201,44.78%,7,80,1,1,89
"Justice, Supreme Court, Place 5",0908,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0909,7,1,8,21,38.10%,2,6,0,0,8
"Justice, Supreme Court, Place 5",0910,78,37,115,236,48.73%,33,73,4,1,111
"Justice, Supreme Court, Place 5",0911,237,63,300,576,52.08%,184,105,4,3,296
"Justice, Supreme Court, Place 5",0912,712,167,879,1341,65.55%,488,327,22,16,853
"Justice, Supreme Court, Place 5",0913,102,12,114,241,47.30%,20,89,0,0,109
"Justice, Supreme Court, Place 5",0914,42,0,42,124,33.87%,10,27,2,0,39
"Justice, Supreme Court, Place 5",0915,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0916,1474,308,1782,2205,80.82%,1300,354,65,10,1729
"Justice, Supreme Court, Place 5",0917,34,9,43,147,29.25%,4,32,0,2,38
"Justice, Supreme Court, Place 5",0918,3,1,4,7,57.14%,1,3,0,0,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0919,1,0,1,1,100.00%,0,1,0,0,1
"Justice, Supreme Court, Place 5",0920,41,13,54,79,68.35%,29,19,3,1,52
"Justice, Supreme Court, Place 5",0921,27,6,33,61,54.10%,7,25,0,1,33
"Justice, Supreme Court, Place 5",0922,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0923,2334,350,2684,3536,75.90%,1943,628,66,7,2644
"Justice, Supreme Court, Place 5",0924,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0925,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0926,550,149,699,967,72.29%,467,192,16,4,679
"Justice, Supreme Court, Place 5",0927,970,173,1143,1771,64.54%,523,516,40,18,1097
"Justice, Supreme Court, Place 5",0928,4,1,5,7,71.43%,0,5,0,0,5
"Justice, Supreme Court, Place 5",0929,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0930,217,83,300,606,49.50%,17,269,4,1,291
"Justice, Supreme Court, Place 5",0931,87,28,115,141,81.56%,45,58,1,2,106
"Justice, Supreme Court, Place 5",0932,0,1,1,0,0.00%,0,1,0,0,1
"Justice, Supreme Court, Place 5",0933,297,93,390,668,58.38%,112,249,11,5,377
"Justice, Supreme Court, Place 5",0934,9,4,13,37,35.14%,7,6,0,0,13
"Justice, Supreme Court, Place 5",0935,12,9,21,55,38.18%,7,13,0,0,20
"Justice, Supreme Court, Place 5",0936,23,9,32,76,42.11%,5,24,0,0,29
"Justice, Supreme Court, Place 5",0937,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0938,72,19,91,255,35.69%,26,61,2,1,90
"Justice, Supreme Court, Place 5",0939,1,1,2,4,50.00%,1,1,0,0,2
"Justice, Supreme Court, Place 5",0940,9,3,12,28,42.86%,1,11,0,0,12
"Justice, Supreme Court, Place 5",0941,286,144,430,870,49.43%,184,200,19,11,414
"Justice, Supreme Court, Place 5",0942,102,16,118,152,77.63%,77,37,3,0,117
"Justice, Supreme Court, Place 5",0943,192,28,220,774,28.42%,50,151,2,3,206
"Justice, Supreme Court, Place 5",0944,1,0,1,1,100.00%,0,1,0,0,1
"Justice, Supreme Court, Place 5",0945,8,6,14,21,66.67%,0,12,0,1,13
"Justice, Supreme Court, Place 5",0946,4,2,6,14,42.86%,1,5,0,0,6
"Justice, Supreme Court, Place 5",0947,428,198,626,820,76.34%,280,290,23,4,597
"Justice, Supreme Court, Place 5",0948,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0949,84,61,145,210,69.05%,63,64,7,4,138
"Justice, Supreme Court, Place 5",0950,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0951,114,62,176,304,57.89%,39,122,3,4,168
"Justice, Supreme Court, Place 5",0952,32,15,47,65,72.31%,26,20,1,0,47
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0953,4,0,4,8,50.00%,0,4,0,0,4
"Justice, Supreme Court, Place 5",0954,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0955,3541,572,4113,5108,80.52%,2776,1095,101,17,3989
"Justice, Supreme Court, Place 5",0956,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0957,284,39,323,585,55.21%,33,269,3,8,313
"Justice, Supreme Court, Place 5",0958,431,231,662,1202,55.07%,120,495,12,16,643
"Justice, Supreme Court, Place 5",0959,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0960,831,235,1066,1471,72.47%,212,805,14,10,1041
"Justice, Supreme Court, Place 5",0961,821,318,1139,2369,48.08%,164,897,25,17,1103
"Justice, Supreme Court, Place 5",0962,33,12,45,88,51.14%,7,33,3,1,44
"Justice, Supreme Court, Place 5",0963,225,91,316,528,59.85%,126,164,8,8,306
"Justice, Supreme Court, Place 5",0964,2148,325,2473,3179,77.79%,1370,968,52,19,2409
"Justice, Supreme Court, Place 5",0965,102,35,137,345,39.71%,92,32,3,4,131
"Justice, Supreme Court, Place 5",0966,368,189,557,1332,41.82%,124,387,17,7,535
"Justice, Supreme Court, Place 5",0967,82,24,106,186,56.99%,33,62,5,3,103
"Justice, Supreme Court, Place 5",0968,455,127,582,906,64.24%,117,435,11,6,569
"Justice, Supreme Court, Place 5",0969,299,71,370,624,59.29%,7,353,1,2,363
"Justice, Supreme Court, Place 5",0970,224,102,326,810,40.25%,29,268,2,6,305
"Justice, Supreme Court, Place 5",0971,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0972,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0973,505,138,643,999,64.36%,388,207,21,11,627
"Justice, Supreme Court, Place 5",0974,0,1,1,0,0.00%,1,0,0,0,1
"Justice, Supreme Court, Place 5",0975,104,26,130,190,68.42%,57,58,5,3,123
"Justice, Supreme Court, Place 5",0976,190,152,342,712,48.03%,163,155,5,6,329
"Justice, Supreme Court, Place 5",0977,160,108,268,617,43.44%,86,160,5,8,259
"Justice, Supreme Court, Place 5",0978,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0979,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0980,686,333,1019,1412,72.17%,680,265,26,8,979
"Justice, Supreme Court, Place 5",0981,12,2,14,31,45.16%,1,12,0,0,13
"Justice, Supreme Court, Place 5",0982,1900,501,2401,2916,82.34%,1740,516,75,18,2349
"Justice, Supreme Court, Place 5",0983,55,17,82,198,41.41,%,36,35,7,2,80
"Justice, Supreme Court, Place 5",0984,76,57,133,341,39.00%,11,116,2,1,130
"Justice, Supreme Court, Place 5",0985,222,56,278,355,78.31%,125,136,4,4,259
"Justice, Supreme Court, Place 5",0986,154,78,232,537,43.20%,23,198,2,4,227
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0987,477,130,607,1183,51.31%,38,540,4,9,591
"Justice, Supreme Court, Place 5",0988,52,15,77,117,65.81%,66,6,2,1,75
"Justice, Supreme Court, Place 5",0989,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0990,5,6,11,66,16.67%,4,6,1,0,11
"Justice, Supreme Court, Place 5",0991,0,1,1,2,50.00%,0,1,0,0,1
"Justice, Supreme Court, Place 5",0992,456,106,562,1075,52.28%,245,268,17,7,537
"Justice, Supreme Court, Place 5",0993,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0994,55,12,68,75,90.67%,19,42,2,4,67
"Justice, Supreme Court, Place 5",0995,754,193,947,1576,60.09%,89,804,13,13,919
"Justice, Supreme Court, Place 5",0996,403,70,473,708,66.81%,237,199,11,4,451
"Justice, Supreme Court, Place 5",0997,525,283,808,1909,42.33%,128,637,18,11,794
"Justice, Supreme Court, Place 5",0998,24,12,36,68,52.94%,20,12,3,0,35
"Justice, Supreme Court, Place 5",0999,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",1000,123,22,145,428,33.88%,23,111,2,6,142
"Justice, Supreme Court, Place 5",1001,519,280,799,1654,48.31%,145,597,9,8,759
"Justice, Supreme Court, Place 5",1002,481,270,751,1804,41.63%,102,589,10,10,711
"Justice, Supreme Court, Place 5",1003,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",1004,351,114,465,691,67.29%,215,214,16,6,451
"Justice, Supreme Court, Place 5",1005,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",1006,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",1007,595,306,1002,1775,56.45%,203,743,17,14,977
"Justice, Supreme Court, Place 5",1008,520,107,727,1011,71.91%,544,138,19,5,706
"Justice, Supreme Court, Place 5",1009,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",1010,293,96,389,647,60.12%,66,298,8,5,377
"Justice, Supreme Court, Place 5",1011,9,6,15,31,48.39%,9,5,0,1,15
"Justice, Supreme Court, Place 5",1012,545,362,907,1633,55.54%,213,632,20,11,876
"Justice, Supreme Court, Place 5",Totals;,983140,353327,1336467,2182980,585624,656317,34256,16267,1292464
