Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0891,753,194,947,1376,68.82%,375,528,903
"Chief Justice, 1st Court of Appeals",0892,426,123,549,900,61.00%,193,326,519
"Chief Justice, 1st Court of Appeals",0893,1,4,5,9,55.56%,2,3,5
"Chief Justice, 1st Court of Appeals",0894,801,305,1106,2087,52.99%,152,919,1071
"Chief Justice, 1st Court of Appeals",0895,417,252,669,834,80.22%,316,313,629
"Chief Justice, 1st Court of Appeals",0896,839,254,1093,1467,74.51%,420,623,1043
"Chief Justice, 1st Court of Appeals",0897,813,365,1178,1766,66.70%,615,506,1121
"Chief Justice, 1st Court of Appeals",0898,792,301,1093,1821,60.02%,435,629,1064
"Chief Justice, 1st Court of Appeals",0899,747,165,912,1264,72.15%,569,319,888
"Chief Justice, 1st Court of Appeals",0900,7,0,7,12,58.33%,1,6,7
"Chief Justice, 1st Court of Appeals",0901,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0902,1311,361,1672,2217,75.42%,886,694,1580
"Chief Justice, 1st Court of Appeals",0903,1314,354,1668,2558,65.21%,1206,408,1614
"Chief Justice, 1st Court of Appeals",0904,2,0,2,8,25.00%,1,1,2
"Chief Justice, 1st Court of Appeals",0905,390,136,526,946,55.60%,197,308,505
"Chief Justice, 1st Court of Appeals",0906,19,3,22,28,78.57%,13,9,22
"Chief Justice, 1st Court of Appeals",0907,53,37,90,201,44.78%,8,79,87
"Chief Justice, 1st Court of Appeals",0908,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0909,7,1,8,21,38.10%,3,5,8
"Chief Justice, 1st Court of Appeals",0910,78,37,115,236,48.73%,38,68,106
"Chief Justice, 1st Court of Appeals",0911,237,63,300,576,52.08%,186,105,291
"Chief Justice, 1st Court of Appeals",0912,712,167,879,1341,65.55%,501,335,836
"Chief Justice, 1st Court of Appeals",0913,102,12,114,241,47.30%,19,90,109
"Chief Justice, 1st Court of Appeals",0914,42,0,42,124,33.87%,9,31,40
"Chief Justice, 1st Court of Appeals",0915,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0916,1472,308,1780,2205,80.73%,1339,371,1710
"Chief Justice, 1st Court of Appeals",0917,33,9,42,147,28.57%,4,34,38
"Chief Justice, 1st Court of Appeals",0918,3,1,4,7,57.14%,1,3,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0919,1,0,1,1,100.00%,0,1,1
"Chief Justice, 1st Court of Appeals",0920,41,13,54,79,68.35%,31,21,52
"Chief Justice, 1st Court of Appeals",0921,27,6,33,61,54.10%,7,26,33
"Chief Justice, 1st Court of Appeals",0922,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0923,2331,350,2681,3536,75.82%,2001,623,2624
"Chief Justice, 1st Court of Appeals",0924,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0925,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0926,550,149,699,967,72.29%,467,203,670
"Chief Justice, 1st Court of Appeals",0927,968,173,1141,1771,64.43%,579,499,1078
"Chief Justice, 1st Court of Appeals",0928,4,1,5,7,71.43%,0,5,5
"Chief Justice, 1st Court of Appeals",0929,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0930,217,83,300,606,49.50%,17,271,288
"Chief Justice, 1st Court of Appeals",0931,87,28,115,141,81.56%,53,52,105
"Chief Justice, 1st Court of Appeals",0932,0,1,1,0,0.00%,0,1,1
"Chief Justice, 1st Court of Appeals",0933,297,93,390,668,58.38%,123,254,377
"Chief Justice, 1st Court of Appeals",0934,9,4,13,37,35.14%,7,6,13
"Chief Justice, 1st Court of Appeals",0935,12,9,21,55,38.18%,8,13,21
"Chief Justice, 1st Court of Appeals",0936,23,9,32,76,42.11%,8,21,29
"Chief Justice, 1st Court of Appeals",0937,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0938,72,19,91,255,35.69%,30,61,91
"Chief Justice, 1st Court of Appeals",0939,1,1,2,4,50.00%,1,1,2
"Chief Justice, 1st Court of Appeals",0940,9,3,12,28,42.86%,1,11,12
"Chief Justice, 1st Court of Appeals",0941,285,144,429,870,49.31%,205,199,404
"Chief Justice, 1st Court of Appeals",0942,102,16,118,152,77.63%,79,36,115
"Chief Justice, 1st Court of Appeals",0943,192,28,220,774,28.42%,48,157,205
"Chief Justice, 1st Court of Appeals",0944,1,0,1,1,100.00%,0,1,1
"Chief Justice, 1st Court of Appeals",0945,8,6,14,21,66.67%,3,10,13
"Chief Justice, 1st Court of Appeals",0946,4,2,6,14,42.86%,2,4,6
"Chief Justice, 1st Court of Appeals",0947,428,198,626,820,76.34%,322,270,592
"Chief Justice, 1st Court of Appeals",0948,0,0,0,1,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0949,84,61,145,210,69.05%,71,66,137
"Chief Justice, 1st Court of Appeals",0950,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0951,114,62,176,304,57.89%,39,125,164
"Chief Justice, 1st Court of Appeals",0952,32,15,47,65,72.31%,33,14,47
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0953,4,0,4,8,50.00%,0,4,4
"Chief Justice, 1st Court of Appeals",0954,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0955,3539,572,4111,5108,80.48%,2883,1064,3947
"Chief Justice, 1st Court of Appeals",0956,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0957,283,39,322,585,55.04%,45,265,310
"Chief Justice, 1st Court of Appeals",0958,430,231,661,1202,54.99%,123,508,631
"Chief Justice, 1st Court of Appeals",0959,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0960,829,235,1064,1471,72.33%,224,803,1027
"Chief Justice, 1st Court of Appeals",0961,821,318,1139,2369,48.08%,177,910,1087
"Chief Justice, 1st Court of Appeals",0962,33,12,45,88,51.14%,8,35,43
"Chief Justice, 1st Court of Appeals",0963,225,91,316,528,59.85%,128,172,300
"Chief Justice, 1st Court of Appeals",0964,2146,325,2471,3179,77.73%,1394,984,2378
"Chief Justice, 1st Court of Appeals",0965,101,35,136,345,39.42%,89,41,130
"Chief Justice, 1st Court of Appeals",0966,368,189,557,1332,41.82%,129,395,524
"Chief Justice, 1st Court of Appeals",0967,82,24,106,186,56.99%,39,62,101
"Chief Justice, 1st Court of Appeals",0968,455,127,582,906,64.24%,122,441,563
"Chief Justice, 1st Court of Appeals",0969,299,71,370,624,59.29%,8,353,361
"Chief Justice, 1st Court of Appeals",0970,223,102,325,810,40.12%,31,274,305
"Chief Justice, 1st Court of Appeals",0971,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0972,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0973,504,138,642,999,64.26%,413,198,611
"Chief Justice, 1st Court of Appeals",0974,0,1,1,0,0.00%,1,0,1
"Chief Justice, 1st Court of Appeals",0975,104,26,130,190,68.42%,60,61,121
"Chief Justice, 1st Court of Appeals",0976,190,152,342,712,48.03%,160,160,320
"Chief Justice, 1st Court of Appeals",0977,160,108,268,617,43.44%,91,168,259
"Chief Justice, 1st Court of Appeals",0978,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0979,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0980,686,333,1019,1412,72.17%,703,267,970
"Chief Justice, 1st Court of Appeals",0981,12,2,14,31,45.16%,1,12,13
"Chief Justice, 1st Court of Appeals",0982,1898,501,2399,2916,82.27%,1796,517,2313
"Chief Justice, 1st Court of Appeals",0983,65,17,82,198,41.41,%,44,36,80
"Chief Justice, 1st Court of Appeals",0984,76,57,133,341,39.00%,9,122,131
"Chief Justice, 1st Court of Appeals",0985,222,56,278,355,78.31%,132,135,267
"Chief Justice, 1st Court of Appeals",0986,154,78,232,537,43.20%,24,200,224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0987,476,130,606,1183,51.23%,40,539,579
"Chief Justice, 1st Court of Appeals",0988,62,15,77,117,65.81%,68,7,75
"Chief Justice, 1st Court of Appeals",0989,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0990,5,6,11,66,16.67%,4,7,11
"Chief Justice, 1st Court of Appeals",0991,0,1,1,2,50.00%,0,1,1
"Chief Justice, 1st Court of Appeals",0992,456,106,562,1075,52.28%,260,271,531
"Chief Justice, 1st Court of Appeals",0993,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0994,56,12,68,75,90.67%,21,46,67
"Chief Justice, 1st Court of Appeals",0995,753,193,946,1576,60.03%,95,810,905
"Chief Justice, 1st Court of Appeals",0996,403,70,473,708,66.81%,245,199,444
"Chief Justice, 1st Court of Appeals",0997,522,283,805,1909,42.17%,144,642,786
"Chief Justice, 1st Court of Appeals",0998,24,12,36,68,52.94%,22,13,35
"Chief Justice, 1st Court of Appeals",0999,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",1000,122,22,144,428,33.64%,25,115,140
"Chief Justice, 1st Court of Appeals",1001,519,280,799,1654,48.31%,154,610,764
"Chief Justice, 1st Court of Appeals",1002,480,270,750,1804,41.57%,110,599,709
"Chief Justice, 1st Court of Appeals",1003,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",1004,351,114,465,691,67.29%,229,215,444
"Chief Justice, 1st Court of Appeals",1005,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",1006,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",1007,695,306,1001,1775,56.39%,223,741,964
"Chief Justice, 1st Court of Appeals",1008,620,107,727,1011,71.91%,560,138,698
"Chief Justice, 1st Court of Appeals",1009,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",1010,292,96,388,647,59.97%,73,302,375
"Chief Justice, 1st Court of Appeals",1011,9,6,15,31,48.39%,9,6,15
"Chief Justice, 1st Court of Appeals",1012,543,362,905,1633,55.42%,212,647,859
"Chief Justice, 1st Court of Appeals",Totals;,982016,353327,1335343,2182980,619676,657270,1276946
