Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0147,1412,354,1766,3211,55.00%,223,1484,1707
"Chief Justice, 1st Court of Appeals",0148,1266,652,1918,2571,74.60%,832,982,1814
"Chief Justice, 1st Court of Appeals",0149,2939,573,3512,4756,73.84%,1944,1460,3404
"Chief Justice, 1st Court of Appeals",0150,582,223,805,1574,51.14%,34,742,776
"Chief Justice, 1st Court of Appeals",0151,282,107,389,826,47.09%,17,354,371
"Chief Justice, 1st Court of Appeals",0152,838,524,1362,3059,44.52%,269,1013,1282
"Chief Justice, 1st Court of Appeals",0153,544,399,943,1873,50.35%,199,698,897
"Chief Justice, 1st Court of Appeals",0154,913,289,1202,2293,52.42%,240,873,1113
"Chief Justice, 1st Court of Appeals",0155,2275,576,2851,4065,70.14%,1809,927,2736
"Chief Justice, 1st Court of Appeals",0156,1415,403,1818,3223,56.41%,101,1641,1742
"Chief Justice, 1st Court of Appeals",0157,880,278,1158,2265,51.13%,62,1052,1114
"Chief Justice, 1st Court of Appeals",0158,1144,365,1509,3049,49.49%,44,1424,1468
"Chief Justice, 1st Court of Appeals",0159,348,147,495,997,49.65%,81,395,476
"Chief Justice, 1st Court of Appeals",0160,286,67,353,717,49.23%,15,324,339
"Chief Justice, 1st Court of Appeals",0161,378,173,551,992,55.54%,20,508,528
"Chief Justice, 1st Court of Appeals",0162,364,267,631,1312,48.09%,150,439,589
"Chief Justice, 1st Court of Appeals",0163,1080,524,1604,3075,52.16%,439,1015,1454
"Chief Justice, 1st Court of Appeals",0164,441,258,699,1407,49.68%,25,644,669
"Chief Justice, 1st Court of Appeals",0165,1171,469,1640,2460,66.67%,938,618,1556
"Chief Justice, 1st Court of Appeals",0166,562,261,823,1171,70.28%,287,488,775
"Chief Justice, 1st Court of Appeals",0167,5,2,7,24,29.17%,0,6,6
"Chief Justice, 1st Court of Appeals",0168,196,59,255,512,49.80%,5,245,250
"Chief Justice, 1st Court of Appeals",0169,985,247,1232,2548,48.35%,37,1152,1189
"Chief Justice, 1st Court of Appeals",0170,563,262,925,1958,47.24%,407,456,863
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0171,482,283,765,1648,46.42%,37,693,730
"Chief Justice, 1st Court of Appeals",0172,245,103,348,661,52.65%,88,242,330
"Chief Justice, 1st Court of Appeals",0173,2261,683,2944,3966,74.23%,2143,682,2825
"Chief Justice, 1st Court of Appeals",0174,1717,707,2424,3389,71.53%,1598,700,2298
"Chief Justice, 1st Court of Appeals",0175,1402,691,2093,2711,77.20%,1118,855,1973
"Chief Justice, 1st Court of Appeals",0176,767,375,1142,1533,74.49%,602,474,1076
"Chief Justice, 1st Court of Appeals",0177,938,333,1271,1715,74.11%,707,486,1193
"Chief Justice, 1st Court of Appeals",0178,1116,273,1389,1795,77.38%,941,372,1313
"Chief Justice, 1st Court of Appeals",0179,771,244,1015,1673,60.67%,484,477,961
"Chief Justice, 1st Court of Appeals",0180,928,463,1391,2914,47.74%,57,1272,1329
"Chief Justice, 1st Court of Appeals",0181,697,439,1136,2195,51.75%,261,814,1075
"Chief Justice, 1st Court of Appeals",0182,1944,994,2938,4071,72.17%,1632,1136,2768
"Chief Justice, 1st Court of Appeals",0183,1286,715,2001,2535,78.93%,1326,565,1891
"Chief Justice, 1st Court of Appeals",0184,278,219,497,1048,47.42%,128,336,464
"Chief Justice, 1st Court of Appeals",0185,709,444,1153,2054,56.13%,293,789,1082
"Chief Justice, 1st Court of Appeals",0186,252,150,402,798,50.38%,34,353,387
"Chief Justice, 1st Court of Appeals",0187,95,51,147,309,47.57%,23,109,132
"Chief Justice, 1st Court of Appeals",0188,499,306,805,1711,47.05%,244,523,767
"Chief Justice, 1st Court of Appeals",0189,804,279,1083,1505,71.96%,609,413,1022
"Chief Justice, 1st Court of Appeals",0190,571,326,897,1849,48.51%,249,590,839
"Chief Justice, 1st Court of Appeals",0191,327,259,586,1408,41.62%,172,387,559
"Chief Justice, 1st Court of Appeals",0192,757,259,1016,1959,51.86%,69,908,977
