Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0210,1259,489,1748,2781,62.86%,276,1401,1677
"District Judge, 11th Judicial District",0211,964,595,1559,3130,49.81%,428,1029,1457
"District Judge, 11th Judicial District",0212,309,323,632,1370,46.13%,100,492,592
"District Judge, 11th Judicial District",0213,1782,795,2577,3406,75.66%,1918,550,2468
"District Judge, 11th Judicial District",0214,1016,418,1434,1911,75.04%,809,522,1331
"District Judge, 11th Judicial District",0215,1096,636,1732,2286,75.77%,927,691,1618
"District Judge, 11th Judicial District",0216,778,244,1022,1966,51.98%,57,922,979
"District Judge, 11th Judicial District",0217,1545,618,2163,2736,79.06%,1281,770,2051
"District Judge, 11th Judicial District",0218,1099,457,1555,2467,63.07%,383,1056,1439
"District Judge, 11th Judicial District",0219,1117,515,1632,2868,56.90%,140,1407,1547
"District Judge, 11th Judicial District",0220,832,306,1138,2362,48.18%,694,381,1075
"District Judge, 11th Judicial District",0221,1032,473,1505,2598,57.93%,471,933,1404
"District Judge, 11th Judicial District",0222,1460,671,2131,2728,78.12%,966,1015,1981
"District Judge, 11th Judicial District",0223,1750,517,2267,3664,61.87%,588,1537,2125
"District Judge, 11th Judicial District",0224,1155,495,1551,2313,71.81%,748,801,1549
"District Judge, 11th Judicial District",0225,1353,596,1949,3689,52.83%,803,1066,1869
"District Judge, 11th Judicial District",0226,840,421,1261,2554,49.37%,250,956,1206
"District Judge, 11th Judicial District",0227,1071,359,1430,1810,79.01%,1003,359,1362
"District Judge, 11th Judicial District",0228,625,159,784,1175,66.72%,41,728,769
"District Judge, 11th Judicial District",0229,227,168,395,828,47.71%,105,264,369
"District Judge, 11th Judicial District",0230,353,155,518,1094,47.35%,25,477,502
"District Judge, 11th Judicial District",0231,801,445,1246,2376,52.44%,244,938,1182
"District Judge, 11th Judicial District",0232,941,438,1379,1826,75.52%,722,567,1289
"District Judge, 11th Judicial District",0233,2571,703,3274,4713,69.47%,1452,1609,3061
"District Judge, 11th Judicial District",0234,2419,728,3147,4042,77.86%,2197,792,2989
"District Judge, 11th Judicial District",0235,461,203,664,1421,46.73%,28,610,638
"District Judge, 11th Judicial District",0236,555,308,964,2104,45.82%,51,890,941
"District Judge, 11th Judicial District",0237,739,312,1051,2146,48.97%,26,995,1021
"District Judge, 11th Judicial District",0238,606,317,923,1948,47.38%,32,852,884
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0239,694,334,1028,1984,51.81,%,33,971,1004
"District Judge, 11th Judicial District",0240,1007,292,1299,2601,49.94%,34,1237,1271
"District Judge, 11th Judicial District",0241,651,383,1034,2466,41.93%,324,666,990
"District Judge, 11th Judicial District",0242,506,314,820,1744,47.02%,359,406,765
"District Judge, 11th Judicial District",0243,244,42,286,475,60.21%,6,277,283
"District Judge, 11th Judicial District",0244,1409,538,1947,3296,59.07%,900,963,1863
"District Judge, 11th Judicial District",0245,2100,811,2911,4679,62.21%,1786,987,2773
"District Judge, 11th Judicial District",0246,2209,482,2691,3971,67.77%,1655,940,2595
"District Judge, 11th Judicial District",0247,440,376,816,1595,51.16%,26,774,800
"District Judge, 11th Judicial District",0248,453,347,800,2147,37.26%,174,581,755
"District Judge, 11th Judicial District",0249,1124,365,1489,2825,52.71%,915,538,1453
"District Judge, 11th Judicial District",0250,288,183,471,925,50.92%,17,444,461
"District Judge, 11th Judicial District",0251,806,378,1184,2132,55.53%,64,1078,1142
"District Judge, 11th Judicial District",0252,925,309,1235,2292,53.88%,31,1168,1199
"District Judge, 11th Judicial District",0253,759,311,1070,2154,49.68%,35,1014,1049
"District Judge, 11th Judicial District",0254,411,280,691,1675,41.25%,146,507,653
"District Judge, 11th Judicial District",0255,1253,586,1839,2489,73.89%,770,944,1714
"District Judge, 11th Judicial District",0256,1398,583,1981,3321,59.65%,649,1211,1860
"District Judge, 11th Judicial District",0257,997,622,1619,3497,46.30%,360,1189,1549
