Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0214,1016,418,1434,1911,75.04%,788,547,1335
"District Judge, 80th Judicial District",0215,1096,636,1732,2286,75.77%,887,737,1624
"District Judge, 80th Judicial District",0216,778,244,1022,1966,51.98%,61,919,980
"District Judge, 80th Judicial District",0217,1545,618,2163,2736,79.06%,1167,885,2052
"District Judge, 80th Judicial District",0218,1099,457,1555,2467,63.07%,342,1097,1439
"District Judge, 80th Judicial District",0219,1117,515,1632,2868,56.90%,140,1409,1549
"District Judge, 80th Judicial District",0220,832,306,1138,2362,48.18%,703,372,1075
"District Judge, 80th Judicial District",0221,1032,473,1505,2598,57.93%,473,939,1412
"District Judge, 80th Judicial District",0222,1460,671,2131,2728,78.12%,853,1133,1986
"District Judge, 80th Judicial District",0223,1750,517,2267,3664,61.87%,554,1566,2120
"District Judge, 80th Judicial District",0224,1155,495,1551,2313,71.81%,680,869,1549
"District Judge, 80th Judicial District",0225,1353,596,1949,3689,52.83%,816,1053,1869
"District Judge, 80th Judicial District",0226,840,421,1261,2554,49.37%,243,968,1211
"District Judge, 80th Judicial District",0227,1071,359,1430,1810,79.01%,913,450,1363
"District Judge, 80th Judicial District",0228,625,159,784,1175,66.72%,46,722,768
"District Judge, 80th Judicial District",0229,227,168,395,828,47.71%,106,262,368
"District Judge, 80th Judicial District",0230,353,155,518,1094,47.35%,21,479,500
"District Judge, 80th Judicial District",0231,801,445,1246,2376,52.44%,248,935,1183
"District Judge, 80th Judicial District",0232,941,438,1379,1826,75.52%,667,624,1291
"District Judge, 80th Judicial District",0233,2571,703,3274,4713,69.47%,1388,1676,3064
"District Judge, 80th Judicial District",0234,2419,728,3147,4042,77.86%,2079,909,2988
"District Judge, 80th Judicial District",0235,461,203,664,1421,46.73%,24,608,632
"District Judge, 80th Judicial District",0236,555,308,964,2104,45.82%,45,890,935
"District Judge, 80th Judicial District",0237,739,312,1051,2146,48.97%,21,999,1020
"District Judge, 80th Judicial District",0238,606,317,923,1948,47.38%,25,860,885
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0239,694,334,1028,1984,51.81%,41,960,1001
"District Judge, 80th Judicial District",0240,1007,292,1299,2601,49.94%,32,1233,1265
"District Judge, 80th Judicial District",0241,651,383,1034,2466,41.93%,322,666,988
"District Judge, 80th Judicial District",0242,506,314,820,1744,47.02%,358,412,770
"District Judge, 80th Judicial District",0243,244,42,286,475,60.21%,5,278,283
"District Judge, 80th Judicial District",0244,1409,538,1947,3296,59.07%,914,948,1862
"District Judge, 80th Judicial District",0245,2100,811,2911,4679,62.21%,1787,978,2765
"District Judge, 80th Judicial District",0246,2209,482,2691,3971,67.77%,1643,956,2599
"District Judge, 80th Judicial District",0247,440,376,816,1595,51.16%,25,775,800
"District Judge, 80th Judicial District",0248,453,347,800,2147,37.26%,177,575,752
"District Judge, 80th Judicial District",0249,1124,365,1489,2825,52.71%,913,531,1444
"District Judge, 80th Judicial District",0250,288,183,471,925,50.92%,20,441,461
"District Judge, 80th Judicial District",0251,806,378,1184,2132,55.53%,59,1082,1141
"District Judge, 80th Judicial District",0252,925,309,1235,2292,53.88%,28,1173,1201
"District Judge, 80th Judicial District",0253,759,311,1070,2154,49.68%,31,1018,1049
"District Judge, 80th Judicial District",0254,411,280,691,1675,41.25%,146,508,654
"District Judge, 80th Judicial District",0255,1253,586,1839,2489,73.89%,749,972,1721
"District Judge, 80th Judicial District",0256,1398,583,1981,3321,59.65%,634,1231,1865
"District Judge, 80th Judicial District",0257,997,622,1619,3497,46.30%,360,1184,1544
"District Judge, 80th Judicial District",0258,1948,608,2555,3346,76.39%,1743,689,2432
"District Judge, 80th Judicial District",0259,1030,414,1444,2312,62.46%,39,1370,1409
"District Judge, 80th Judicial District",0260,547,227,774,1300,59.54%,367,368,735
"District Judge, 80th Judicial District",0261,442,531,973,1457,66.78%,249,662,911
"District Judge, 80th Judicial District",0262,1847,676,2523,4397,57.38%,1313,1076,2389
"District Judge, 80th Judicial District",0263,2208,665,2873,4016,71.54%,1983,767,2750
"District Judge, 80th Judicial District",0264,1110,627,1737,3101,56.01%,848,792,1640
"District Judge, 80th Judicial District",0265,1991,608,2599,3582,72.56%,1705,756,2461
"District Judge, 80th Judicial District",0266,737,443,1180,2147,54.96%,430,690,1120
"District Judge, 80th Judicial District",0267,421,293,714,1433,49.83%,260,415,675
"District Judge, 80th Judicial District",0268,1174,689,1863,2528,73.69%,941,785,1726
"District Judge, 80th Judicial District",0269,1305,365,1670,2114,79.00%,1121,464,1585
"District Judge, 80th Judicial District",0270,1816,688,2504,3985,62.84%,1190,1156,2346
"District Judge, 80th Judicial District",0271,1150,346,1496,2558,58.48%,30,1429,1459
"District Judge, 80th Judicial District",0272,870,415,1285,2334,55.06%,422,794,1216
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0273,1175,647,1822,2485,73.32%,1312,444,1756
"District Judge, 80th Judicial District",0274,1261,311,1572,2223,70.72%,888,591,1479
"District Judge, 80th Judicial District",0275,585,334,919,2059,44.63%,152,734,886
"District Judge, 80th Judicial District",0276,1027,255,1282,2458,52.16%,19,1233,1252
