Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0984,75,57,133,341,39.00%,11,119,130
"District Judge, 80th Judicial District",0985,222,56,278,355,78.31%,123,141,264
"District Judge, 80th Judicial District",0986,153,78,231,537,43.02%,23,201,224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0987,476,130,606,1183,51.23%,37,538,575
"District Judge, 80th Judicial District",0988,62,15,77,117,65.81%,68,7,75
"District Judge, 80th Judicial District",0989,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0990,5,6,11,66,16.67%,3,8,11
"District Judge, 80th Judicial District",0991,0,1,1,2,50.00%,0,1,1
"District Judge, 80th Judicial District",0992,456,106,562,1075,52.28%,258,268,526
"District Judge, 80th Judicial District",0993,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0994,56,12,68,75,90.67%,20,46,66
"District Judge, 80th Judicial District",0995,753,193,946,1576,60.03%,92,817,909
"District Judge, 80th Judicial District",0996,403,70,473,708,66.81%,236,207,443
"District Judge, 80th Judicial District",0997,521,283,804,1909,42.12%,141,641,782
"District Judge, 80th Judicial District",0998,24,12,36,68,52.94%,22,12,34
"District Judge, 80th Judicial District",0999,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",1000,122,22,144,428,33.64%,23,117,140
"District Judge, 80th Judicial District",1001,519,280,799,1654,48.31%,147,611,758
"District Judge, 80th Judicial District",1002,480,270,750,1804,41.57%,103,606,709
"District Judge, 80th Judicial District",1003,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",1004,349,114,463,691,67.00%,224,211,435
"District Judge, 80th Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",1006,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",1007,694,306,1000,1775,56.34%,212,746,958
"District Judge, 80th Judicial District",1008,620,107,727,1011,71.91%,561,134,695
"District Judge, 80th Judicial District",1009,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",1010,292,96,388,647,59.97%,71,302,373
"District Judge, 80th Judicial District",1011,9,6,15,31,48.39%,9,6,15
"District Judge, 80th Judicial District",1012,543,362,905,1633,55.42%,212,645,857
"District Judge, 80th Judicial District",Totals:,981446,353327,1334773,2182980,597728,673721,1271449
