Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0832,125,50,175,364,48.08%,46,117,3,1,167
"Justice, Supreme Court, Place 9",0833,3,2,5,20,25.00%,1,4,0,0,5
"Justice, Supreme Court, Place 9",0834,142,61,203,388,52.32%,20,176,3,1,200
"Justice, Supreme Court, Place 9",0835,87,71,158,311,50.80%,46,97,4,4,151
"Justice, Supreme Court, Place 9",0836,128,0,128,248,51.61%,11,106,1,1,119
"Justice, Supreme Court, Place 9",0837,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0838,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0839,419,174,593,1190,49.83%,121,416,25,16,578
"Justice, Supreme Court, Place 9",0840,831,228,1059,1780,59.49%,351,647,16,11,1025
"Justice, Supreme Court, Place 9",0841,1475,475,1950,3431,56.83%,456,1394,34,12,1896
"Justice, Supreme Court, Place 9",0842,1340,513,1853,3390,54.66%,725,985,55,22,1787
"Justice, Supreme Court, Place 9",0843,595,298,893,1387,64.38%,166,668,9,18,861
"Justice, Supreme Court, Place 9",0844,4,0,4,10,40.00%,0,4,0,0,4
"Justice, Supreme Court, Place 9",0845,152,13,165,218,75.69%,99,56,6,0,161
"Justice, Supreme Court, Place 9",0846,61,22,83,229,36.24%,7,74,1,0,82
"Justice, Supreme Court, Place 9",0847,993,330,1323,2310,57.27%,360,893,20,13,1286
"Justice, Supreme Court, Place 9",0848,1014,201,1215,1875,64.80%,395,729,30,13,1167
"Justice, Supreme Court, Place 9",0849,731,455,1186,2272,52.20%,364,717,23,19,1123
"Justice, Supreme Court, Place 9",0850,129,19,148,208,71.15%,60,78,3,2,143
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0851,1886,441,2327,3597,64.69%,1474,661,88,33,2256
"Justice, Supreme Court, Place 9",0852,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0853,1538,487,2125,2986,71.17%,1526,454,75,15,2070
"Justice, Supreme Court, Place 9",0854,40,19,59,175,33.71%,8,48,1,1,58
"Justice, Supreme Court, Place 9",0855,7,2,9,21,42.86%,5,3,0,1,9
"Justice, Supreme Court, Place 9",0856,0,3,3,0,0.00%,1,0,0,0,1
"Justice, Supreme Court, Place 9",0857,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0858,122,35,157,334,47.01%,4,146,1,0,151
"Justice, Supreme Court, Place 9",0859,391,143,534,945,56.51%,118,382,7,7,514
"Justice, Supreme Court, Place 9",0860,1,1,2,0,0.00%,0,2,0,0,2
"Justice, Supreme Court, Place 9",0861,777,272,1049,1941,54.04%,159,829,21,10,1019
"Justice, Supreme Court, Place 9",0862,1989,508,2497,3739,66.78%,1436,907,58,30,2431
"Justice, Supreme Court, Place 9",0863,192,64,256,581,44.06%,13,237,1,0,251
"Justice, Supreme Court, Place 9",0864,693,574,1267,2708,46.79%,312,865,19,19,1215
"Justice, Supreme Court, Place 9",0865,9,2,11,21,52.38%,0,10,0,1,11
"Justice, Supreme Court, Place 9",0866,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0867,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0868,737,495,1232,2446,50.37%,346,802,17,16,1181
"Justice, Supreme Court, Place 9",0869,166,55,221,480,46.04%,31,173,4,4,212
"Justice, Supreme Court, Place 9",0870,0,2,2,0,0.00%,2,0,0,0,2
"Justice, Supreme Court, Place 9",0871,2,1,3,3,100.00%,0,2,1,0,3
"Justice, Supreme Court, Place 9",0872,16,6,22,68,32.35%,12,9,1,0,22
"Justice, Supreme Court, Place 9",0873,296,111,407,778,52.31%,97,290,5,6,398
"Justice, Supreme Court, Place 9",0874,1682,670,2352,3294,71.40%,1647,546,63,23,2279
"Justice, Supreme Court, Place 9",0875,1950,501,2451,3592,68.23%,1107,1175,74,28,2384
"Justice, Supreme Court, Place 9",0876,1947,577,2524,3485,72.42%,1713,657,68,14,2452
"Justice, Supreme Court, Place 9",0877,1806,528,2334,3651,63.93%,861,1326,66,30,2283
"Justice, Supreme Court, Place 9",0878,685,110,795,1039,76.52%,619,127,19,4,769
"Justice, Supreme Court, Place 9",0879,1217,413,1630,2843,57.33%,650,848,59,23,1580
"Justice, Supreme Court, Place 9",0880,1357,471,1828,2467,74.10%,1343,387,45,12,1787
"Justice, Supreme Court, Place 9",0881,2467,927,3394,5638,60.20%,866,2300,94,50,3310
"Justice, Supreme Court, Place 9",0882,1954,595,2549,4317,59.05%,747,1620,57,39,2463
"Justice, Supreme Court, Place 9",0883,2253,928,3181,5613,56.67%,588,2406,50,40,3084
"Justice, Supreme Court, Place 9",0884,149,55,204,396,51.52%,30,167,1,4,202
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0885,1573,323,1896,2811,67.45%,1044,755,45,19,1863
"Justice, Supreme Court, Place 9",0886,498,152,650,906,71.74%,355,224,37,7,623
"Justice, Supreme Court, Place 9",0887,235,95,330,492,67.07%,173,115,22,3,313
"Justice, Supreme Court, Place 9",0888,820,289,1109,1867,59.40%,343,682,28,17,1070
"Justice, Supreme Court, Place 9",0889,114,28,142,238,59.66%,43,80,10,3,136
"Justice, Supreme Court, Place 9",0890,449,98,547,1214,45.06%,228,254,29,8,519
"Justice, Supreme Court, Place 9",0891,753,194,947,1376,68.82%,374,507,22,9,912
"Justice, Supreme Court, Place 9",0892,428,123,551,900,61.22%,195,297,24,11,527
"Justice, Supreme Court, Place 9",0893,1,4,5,9,55.56%,2,3,0,0,5
"Justice, Supreme Court, Place 9",0894,805,305,1110,2087,53.19%,157,886,29,12,1084
"Justice, Supreme Court, Place 9",0895,419,252,671,834,80.46%,331,285,18,5,639
"Justice, Supreme Court, Place 9",0896,841,254,1095,1467,74.64%,427,586,22,20,1055
"Justice, Supreme Court, Place 9",0897,814,365,1179,1766,66.76%,595,479,50,15,1139
"Justice, Supreme Court, Place 9",0898,792,301,1093,1821,60.02%,431,583,39,13,1066
"Justice, Supreme Court, Place 9",0899,747,165,912,1264,72.15%,555,308,30,6,899
"Justice, Supreme Court, Place 9",0900,7,0,7,12,58.33%,1,6,0,0,7
"Justice, Supreme Court, Place 9",0901,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0902,1311,361,1672,2217,75.42%,877,632,74,25,1608
"Justice, Supreme Court, Place 9",0903,1315,354,1669,2558,65.25%,1182,379,49,21,1631
"Justice, Supreme Court, Place 9",0904,2,0,2,8,25.00%,0,1,1,0,2
"Justice, Supreme Court, Place 9",0905,390,136,526,946,55.60%,211,292,6,4,513
"Justice, Supreme Court, Place 9",0906,19,3,22,28,78.57%,15,7,0,0,22
"Justice, Supreme Court, Place 9",0907,53,37,90,201,44.78%,6,80,2,1,89
"Justice, Supreme Court, Place 9",0908,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0909,7,1,8,21,38.10%,3,5,0,0,8
"Justice, Supreme Court, Place 9",0910,78,37,115,236,48.73%,39,63,4,2,108
"Justice, Supreme Court, Place 9",0911,237,63,300,576,52.08%,192,95,6,1,294
"Justice, Supreme Court, Place 9",0912,712,167,879,1341,65.55%,500,311,20,14,845
"Justice, Supreme Court, Place 9",0913,102,12,114,241,47.30%,20,88,2,0,110
"Justice, Supreme Court, Place 9",0914,42,0,42,124,33.87%,8,27,3,0,38
"Justice, Supreme Court, Place 9",0915,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0916,1474,308,1782,2205,80.82%,1316,337,70,9,1732
"Justice, Supreme Court, Place 9",0917,34,9,43,147,29.25%,4,33,0,2,39
"Justice, Supreme Court, Place 9",0918,3,1,4,7,57.14%,1,3,0,0,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0919,1,0,1,1,100.00%,1,0,0,0,1
"Justice, Supreme Court, Place 9",0920,41,13,54,79,68.35%,30,20,1,1,52
"Justice, Supreme Court, Place 9",0921,27,6,33,61,54.10%,7,25,1,0,33
"Justice, Supreme Court, Place 9",0922,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0923,2334,350,2684,3536,75.90%,1965,602,65,6,2638
"Justice, Supreme Court, Place 9",0924,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0925,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0926,550,149,699,967,72.29%,468,190,20,4,682
"Justice, Supreme Court, Place 9",0927,970,173,1143,1771,64.54%,576,462,44,12,1094
"Justice, Supreme Court, Place 9",0928,4,1,5,7,71.43%,0,5,0,0,5
"Justice, Supreme Court, Place 9",0929,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0930,217,83,300,606,49.50%,23,266,1,1,291
"Justice, Supreme Court, Place 9",0931,87,28,115,141,81.56%,48,55,1,2,106
"Justice, Supreme Court, Place 9",0932,0,1,1,0,0.00%,0,1,0,0,1
"Justice, Supreme Court, Place 9",0933,297,93,390,668,58.38%,113,248,12,4,377
"Justice, Supreme Court, Place 9",0934,9,4,13,37,35.14%,7,5,1,0,13
"Justice, Supreme Court, Place 9",0935,12,9,21,55,38.18%,8,12,0,1,21
"Justice, Supreme Court, Place 9",0936,23,9,32,76,42.11%,11,19,0,0,30
"Justice, Supreme Court, Place 9",0937,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0938,72,19,91,255,35.69%,29,58,2,1,90
"Justice, Supreme Court, Place 9",0939,1,1,2,4,50.00%,1,1,0,0,2
"Justice, Supreme Court, Place 9",0940,9,3,12,28,42.86%,2,10,0,0,12
"Justice, Supreme Court, Place 9",0941,286,144,430,870,49.43%,189,191,22,11,413
"Justice, Supreme Court, Place 9",0942,102,16,118,152,77.63%,81,32,3,1,117
"Justice, Supreme Court, Place 9",0943,192,28,220,774,28.42%,49,152,4,5,210
"Justice, Supreme Court, Place 9",0944,1,0,1,1,100.00%,0,1,0,0,1
"Justice, Supreme Court, Place 9",0945,8,6,14,21,66.67%,5,7,1,0,13
"Justice, Supreme Court, Place 9",0946,4,2,6,14,42.86%,1,5,0,0,6
"Justice, Supreme Court, Place 9",0947,428,198,626,820,76.34%,330,242,18,6,596
"Justice, Supreme Court, Place 9",0948,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0949,84,61,145,210,69.05%,66,65,6,3,140
"Justice, Supreme Court, Place 9",0950,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0951,114,62,176,304,57.89%,41,120,2,5,168
"Justice, Supreme Court, Place 9",0952,32,15,47,65,72.31%,28,15,3,0,46
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0953,4,0,4,8,50.00%,0,4,0,0,4
"Justice, Supreme Court, Place 9",0954,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0955,3541,572,4113,5108,80.52%,2849,1036,94,17,3996
"Justice, Supreme Court, Place 9",0956,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0957,284,39,323,585,55.21%,38,266,3,4,311
"Justice, Supreme Court, Place 9",0958,431,231,662,1202,55.07%,132,483,12,12,639
"Justice, Supreme Court, Place 9",0959,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0960,831,235,1066,1471,72.47%,227,787,15,10,1039
"Justice, Supreme Court, Place 9",0961,821,318,1139,2369,48.08%,182,879,21,11,1093
"Justice, Supreme Court, Place 9",0962,33,12,45,88,51.14%,10,29,3,2,44
"Justice, Supreme Court, Place 9",0963,225,91,316,528,59.85%,132,155,12,8,307
"Justice, Supreme Court, Place 9",0964,2148,325,2473,3179,77.79%,1399,937,55,15,2406
"Justice, Supreme Court, Place 9",0965,102,35,137,345,39.71%,90,31,6,6,133
"Justice, Supreme Court, Place 9",0966,368,189,557,1332,41.82%,130,381,13,5,529
"Justice, Supreme Court, Place 9",0967,82,24,106,186,56.99%,36,57,9,1,103
"Justice, Supreme Court, Place 9",0968,455,127,582,906,64.24%,128,428,7,6,569
"Justice, Supreme Court, Place 9",0969,299,71,370,624,59.29%,6,352,3,3,364
"Justice, Supreme Court, Place 9",0970,224,102,326,810,40.25%,33,268,3,2,306
"Justice, Supreme Court, Place 9",0971,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0972,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0973,505,138,643,999,64.36%,406,184,22,13,625
"Justice, Supreme Court, Place 9",0974,0,1,1,0,0.00%,1,0,0,0,1
"Justice, Supreme Court, Place 9",0975,104,26,130,190,68.42%,57,56,5,4,122
"Justice, Supreme Court, Place 9",0976,190,152,342,712,48.03%,165,147,7,8,327
"Justice, Supreme Court, Place 9",0977,160,108,268,617,43.44%,89,157,6,7,259
"Justice, Supreme Court, Place 9",0978,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0979,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0980,686,333,1019,1412,72.17%,695,245,31,9,980
"Justice, Supreme Court, Place 9",0981,12,2,14,31,45.16%,1,12,0,0,13
"Justice, Supreme Court, Place 9",0982,1900,501,2401,2916,82.34%,1747,498,84,15,2344
"Justice, Supreme Court, Place 9",0983,55,17,82,198,41.41,%,38,34,6,2,80
"Justice, Supreme Court, Place 9",0984,76,57,133,341,39.00%,12,111,4,3,130
"Justice, Supreme Court, Place 9",0985,222,56,278,355,78.31%,127,135,5,5,272
"Justice, Supreme Court, Place 9",0986,154,78,232,537,43.20%,27,197,1,3,228
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0987,477,130,607,1183,51.31%,43,530,5,6,584
"Justice, Supreme Court, Place 9",0988,52,15,77,117,65.81%,66,7,1,2,76
"Justice, Supreme Court, Place 9",0989,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0990,5,6,11,66,16.67%,4,6,1,0,11
"Justice, Supreme Court, Place 9",0991,0,1,1,2,50.00%,0,1,0,0,1
"Justice, Supreme Court, Place 9",0992,456,106,562,1075,52.28%,256,260,19,6,541
"Justice, Supreme Court, Place 9",0993,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0994,55,12,68,75,90.67%,18,43,2,4,67
"Justice, Supreme Court, Place 9",0995,754,193,947,1576,60.09%,107,790,10,13,920
"Justice, Supreme Court, Place 9",0996,403,70,473,708,66.81%,257,182,12,5,456
"Justice, Supreme Court, Place 9",0997,525,283,808,1909,42.33%,135,631,15,12,793
"Justice, Supreme Court, Place 9",0998,24,12,36,68,52.94%,22,9,4,0,35
"Justice, Supreme Court, Place 9",0999,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",1000,123,22,145,428,33.88%,26,107,2,7,142
"Justice, Supreme Court, Place 9",1001,519,280,799,1654,48.31%,160,578,14,8,760
"Justice, Supreme Court, Place 9",1002,481,270,751,1804,41.63%,107,588,11,11,717
"Justice, Supreme Court, Place 9",1003,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",1004,351,114,465,691,67.29%,241,194,11,5,451
"Justice, Supreme Court, Place 9",1005,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",1006,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",1007,595,306,1002,1775,56.45%,221,720,14,15,970
"Justice, Supreme Court, Place 9",1008,520,107,727,1011,71.91%,546,133,23,3,705
"Justice, Supreme Court, Place 9",1009,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",1010,293,96,389,647,60.12%,77,288,7,4,376
"Justice, Supreme Court, Place 9",1011,9,6,15,31,48.39%,10,5,0,0,15
"Justice, Supreme Court, Place 9",1012,545,362,907,1633,55.54%,231,613,17,11,872
"Justice, Supreme Court, Place 9",Totals;,983140,353327,1336467,2182980,616645,623055,35193,15670,1290563
