Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0143,1868,267,2135,2582,82.69%,1387,663,41,6,2097
"Justice, Supreme Court, Place 9",0144,442,125,567,1086,52.21%,16,528,4,2,550
"Justice, Supreme Court, Place 9",0145,560,256,815,1564,52.17%,17,770,6,5,798
"Justice, Supreme Court, Place 9",0146,1000,494,1494,2073,72.07%,633,709,63,27,1432
"Justice, Supreme Court, Place 9",0147,1412,354,1766,3211,55.00%,225,1462,19,14,1720
"Justice, Supreme Court, Place 9",0148,1266,652,1918,2571,74.60%,853,899,59,16,1827
"Justice, Supreme Court, Place 9",0149,2941,573,3514,4756,73.89%,1882,1413,115,28,3438
"Justice, Supreme Court, Place 9",0150,582,223,805,1574,51.14%,32,734,8,7,781
"Justice, Supreme Court, Place 9",0151,282,107,389,826,47.09%,19,353,2,1,375
"Justice, Supreme Court, Place 9",0152,838,524,1362,3059,44.52%,313,947,22,11,1293
"Justice, Supreme Court, Place 9",0153,545,399,944,1873,50.40%,240,634,21,18,913
"Justice, Supreme Court, Place 9",0154,913,289,1202,2293,52.42%,301,791,21,17,1130
"Justice, Supreme Court, Place 9",0155,2275,576,2851,4065,70.14%,1780,905,57,12,2754
"Justice, Supreme Court, Place 9",0156,1415,403,1818,3223,56.41%,104,1608,31,17,1760
"Justice, Supreme Court, Place 9",0157,880,278,1158,2265,51.13%,68,1034,17,6,1125
"Justice, Supreme Court, Place 9",0158,1145,365,1510,3049,49.52%,37,1420,6,13,1476
"Justice, Supreme Court, Place 9",0159,350,147,497,997,49.85%,85,381,11,4,481
"Justice, Supreme Court, Place 9",0160,286,67,353,717,49.23%,14,318,8,3,343
"Justice, Supreme Court, Place 9",0161,378,173,551,992,55.54%,18,505,4,4,531
"Justice, Supreme Court, Place 9",0162,364,267,531,1312,48.09%,166,407,14,10,597
"Justice, Supreme Court, Place 9",0163,1083,524,1607,3075,52.26%,490,946,25,24,1485
"Justice, Supreme Court, Place 9",0164,441,258,699,1407,49.68%,23,642,4,2,671
"Justice, Supreme Court, Place 9",0165,1172,469,1641,2460,66.71%,910,579,67,23,1579
"Justice, Supreme Court, Place 9",0166,563,261,824,1171,70.37%,289,445,32,15,781
"Justice, Supreme Court, Place 9",0167,5,2,7,24,29.17%,1,6,0,0,7
"Justice, Supreme Court, Place 9",0168,196,59,255,512,49.80%,6,241,1,1,249
"Justice, Supreme Court, Place 9",0169,985,247,1232,2548,48.35%,32,1142,16,7,1197
"Justice, Supreme Court, Place 9",0170,554,262,926,1958,47.29%,421,422,23,10,876
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0171,482,283,765,1648,46.42%,44,672,11,5,732
"Justice, Supreme Court, Place 9",0172,245,103,348,661,52.65%,105,221,7,6,339
"Justice, Supreme Court, Place 9",0173,2262,883,2945,3966,74.26%,2137,610,85,22,2854
"Justice, Supreme Court, Place 9",0174,1718,707,2425,3389,71.56%,1596,630,82,23,2331
"Justice, Supreme Court, Place 9",0175,1403,691,2094,2711,77.24%,1115,820,48,17,2000
"Justice, Supreme Court, Place 9",0176,767,375,1142,1533,74.49%,583,460,26,6,1075
"Justice, Supreme Court, Place 9",0177,943,333,1276,1715,74.40%,687,458,58,18,1221
"Justice, Supreme Court, Place 9",0178,1116,273,1389,1795,77.38%,933,343,42,10,1328
"Justice, Supreme Court, Place 9",0179,773,244,1017,1673,60.79%,468,442,43,19,972
"Justice, Supreme Court, Place 9",0180,930,463,1393,2914,47.80%,56,1255,20,12,1343
"Justice, Supreme Court, Place 9",0181,698,439,1137,2195,51.80%,290,763,18,12,1083
"Justice, Supreme Court, Place 9",0182,1952,994,2946,4071,72.37%,1622,1078,73,31,2804
"Justice, Supreme Court, Place 9",0183,1289,715,2004,2535,79.05%,1340,539,35,12,1926
"Justice, Supreme Court, Place 9",0184,278,219,497,1048,47.42%,136,318,10,8,472
"Justice, Supreme Court, Place 9",0185,709,444,1153,2054,56.13%,313,743,24,16,1096
"Justice, Supreme Court, Place 9",0186,252,150,402,798,50.38%,48,337,5,2,392
"Justice, Supreme Court, Place 9",0187,96,51,147,309,47.57%,34,97,1,3,135
"Justice, Supreme Court, Place 9",0188,499,306,805,1711,47.05%,257,489,17,10,773
"Justice, Supreme Court, Place 9",0189,805,279,1084,1505,72.03%,603,388,34,14,1039
"Justice, Supreme Court, Place 9",0190,571,326,897,1849,48.51%,250,560,22,19,851
"Justice, Supreme Court, Place 9",0191,327,259,586,1408,41.62%,182,360,14,8,564
"Justice, Supreme Court, Place 9",0192,757,259,1016,1959,51.86%,74,888,12,12,986
"Justice, Supreme Court, Place 9",0193,376,211,587,1099,53.41%,24,519,16,10,569
"Justice, Supreme Court, Place 9",0194,1144,449,1593,2172,73.34%,455,968,63,34,1520
"Justice, Supreme Court, Place 9",0195,606,344,950,1739,54.63%,56,831,10,13,910
"Justice, Supreme Court, Place 9",0196,133,37,170,313,54.31%,19,134,3,6,162
"Justice, Supreme Court, Place 9",0197,998,372,1368,2969,46.08%,43,1262,8,21,1334
"Justice, Supreme Court, Place 9",0198,161,82,243,619,39.26%,9,216,4,6,235
"Justice, Supreme Court, Place 9",0199,1932,815,2747,4063,67.61%,2010,532,110,18,2670
"Justice, Supreme Court, Place 9",0200,2317,377,2694,3692,72.97%,1247,1206,100,24,2577
"Justice, Supreme Court, Place 9",0201,222,105,327,773,42.30%,10,300,3,5,318
"Justice, Supreme Court, Place 9",0202,421,233,654,1410,46.38%,27,594,6,3,630
"Justice, Supreme Court, Place 9",0203,298,111,409,988,41.40%,72,304,10,4,390
"Justice, Supreme Court, Place 9",0204,2104,577,2681,3568,75.14%,1419,983,126,33,2561
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0205,772,171,943,1724,54.70%,21,885,10,7,923
"Justice, Supreme Court, Place 9",0206,1278,494,1772,2965,59.76%,584,994,75,35,1688
"Justice, Supreme Court, Place 9",0207,606,212,818,1166,70.15%,298,445,31,12,786
"Justice, Supreme Court, Place 9",0208,910,338,1248,2256,55.32%,305,829,22,20,1176
"Justice, Supreme Court, Place 9",0209,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0210,1269,489,1758,2781,63.21%,273,1355,46,40,1714
"Justice, Supreme Court, Place 9",0211,966,595,1561,3130,49.87%,485,935,39,25,1484
"Justice, Supreme Court, Place 9",0212,309,323,632,1370,46.13%,130,462,7,5,604
"Justice, Supreme Court, Place 9",0213,1782,795,2577,3406,75.66%,2049,416,42,13,2520
"Justice, Supreme Court, Place 9",0214,1017,418,1435,1911,75.09%,855,459,38,17,1369
"Justice, Supreme Court, Place 9",0215,1097,636,1733,2286,75.81%,1021,573,49,24,1667
"Justice, Supreme Court, Place 9",0216,778,244,1022,1966,51.98%,74,892,14,10,990
"Justice, Supreme Court, Place 9",0217,1547,618,2165,2736,79.13%,1458,577,44,18,2097
"Justice, Supreme Court, Place 9",0218,1101,457,1558,2467,63.15%,458,943,32,26,1459
"Justice, Supreme Court, Place 9",0219,1125,515,1641,2868,57.22%,163,1369,22,15,1569
"Justice, Supreme Court, Place 9",0220,833,306,1139,2362,48.22%,712,336,24,15,1087
"Justice, Supreme Court, Place 9",0221,1032,473,1505,2598,57.93%,530,853,19,18,1420
"Justice, Supreme Court, Place 9",0222,1461,671,2132,2728,78.15%,1107,871,40,14,2032
"Justice, Supreme Court, Place 9",0223,1766,517,2283,3664,62.31%,614,1430,92,51,2187
"Justice, Supreme Court, Place 9",0224,1165,495,1551,2313,71.81%,794,728,47,18,1587
"Justice, Supreme Court, Place 9",0225,1357,596,1953,3689,52.94%,806,1008,54,29,1897
"Justice, Supreme Court, Place 9",0226,840,421,1261,2554,49.37%,297,879,20,19,1215
"Justice, Supreme Court, Place 9",0227,1071,359,1430,1810,79.01%,1109,248,26,4,1387
"Justice, Supreme Court, Place 9",0228,628,159,787,1175,66.98%,56,703,10,6,775
"Justice, Supreme Court, Place 9",0229,229,168,397,828,47.95%,126,237,7,4,374
"Justice, Supreme Court, Place 9",0230,354,155,519,1094,47.44%,21,475,5,3,504
"Justice, Supreme Court, Place 9",0231,802,445,1247,2376,52.48%,293,861,24,13,1191
"Justice, Supreme Court, Place 9",0232,942,438,1380,1826,75.58%,781,493,31,14,1319
"Justice, Supreme Court, Place 9",0233,2583,703,3286,4713,69.72%,1526,1408,152,56,3142
"Justice, Supreme Court, Place 9",0234,2425,728,3153,4042,78.01%,2366,624,53,13,3056
"Justice, Supreme Court, Place 9",0235,461,203,664,1421,46.73%,25,598,7,7,637
"Justice, Supreme Court, Place 9",0236,555,308,964,2104,45.82%,54,864,9,11,938
"Justice, Supreme Court, Place 9",0237,740,312,1052,2146,49.02%,30,986,7,7,1030
"Justice, Supreme Court, Place 9",0238,607,317,924,1948,47.43%,41,829,5,8,883
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0239,694,334,1028,1984,51.81%,39,947,10,11,1007
"Justice, Supreme Court, Place 9",0240,1008,292,1300,2601,49.98%,31,1218,11,13,1273
"Justice, Supreme Court, Place 9",0241,652,383,1035,2466,41.97%,352,617,16,11,996
"Justice, Supreme Court, Place 9",0242,507,314,821,1744,47.08%,356,385,18,14,773
"Justice, Supreme Court, Place 9",0243,245,42,287,475,60.42%,4,278,1,2,285
