Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0158,1145,365,1510,3049,49.52%,16,1161,2,2,1181
Straight Party,0159,350,147,497,997,49.85%,34,300,0,1,335
Straight Party,0160,286,67,353,717,49.23%,8,264,3,3,278
Straight Party,0161,378,173,551,992,55.54%,10,408,1,2,421
Straight Party,0152,354,257,531,1312,48.09%,90,349,3,6,448
Straight Party,0163,1086,524,1610,3075,52.36%,255,769,10,8,1042
Straight Party,0164,441,258,699,1407,49.68%,11,540,0,1,552
Straight Party,0165,1176,469,1645,2460,66.87%,579,426,16,8,1029
Straight Party,0166,563,261,824,1171,70.37%,122,294,5,0,421
Straight Party,0167,5,2,7,24,29.17%,0,4,0,0,4
Straight Party,0168,196,59,255,512,49.80%,2,214,0,0,216
Straight Party,0169,985,247,1232,2548,48.35%,15,931,3,2,951
Straight Party,0170,554,262,926,1958,47.29%,289,347,12,4,652
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0171,482,283,765,1648,46.42%,25,570,2,1,598
Straight Party,0172,245,103,348,661,52.65%,50,177,1,2,230
Straight Party,0173,2255,683,2948,3966,74.33%,1481,424,16,7,1928
Straight Party,0174,1723,707,2430,3389,71.70%,1019,425,16,4,1464
Straight Party,0175,1421,691,2112,2711,77.90%,540,489,6,1,1036
Straight Party,0176,770,375,1145,1533,74.69%,275,272,7,1,555
Straight Party,0177,946,333,1279,1715,74.58%,373,297,7,5,682
Straight Party,0178,1124,273,1397,1795,77.83%,544,196,11,4,755
Straight Party,0179,774,244,1018,1673,60.85%,271,335,9,2,617
Straight Party,0180,930,463,1393,2914,47.80%,27,995,4,4,1030
Straight Party,0181,698,439,1137,2195,51.80%,160,650,11,4,825
Straight Party,0182,1967,994,2961,4071,72.73%,826,634,16,5,1481
Straight Party,0183,1292,715,2007,2535,79.17%,648,333,8,5,994
Straight Party,0184,278,219,497,1048,47.42%,78,269,3,6,356
Straight Party,0185,710,444,1154,2054,56.18%,182,594,6,10,792
Straight Party,0186,252,150,402,798,50.38%,17,288,0,0,305
Straight Party,0187,96,51,147,309,47.57%,13,80,0,0,93
Straight Party,0188,500,306,806,1711,47.11%,151,407,7,3,568
Straight Party,0189,810,279,1089,1505,72.36%,333,233,7,2,575
Straight Party,0190,572,326,898,1849,48.57%,178,470,12,7,667
Straight Party,0191,327,259,586,1408,41.62%,115,306,5,6,432
Straight Party,0192,757,259,1016,1959,51.86%,34,703,3,4,744
Straight Party,0193,376,211,587,1099,53.41%,5,373,5,2,385
Straight Party,0194,1153,449,1602,2172,73.76%,213,597,6,9,825
Straight Party,0195,607,344,951,1739,54.69%,21,667,1,3,692
Straight Party,0196,133,37,170,313,54.31%,9,99,0,4,112
Straight Party,0197,995,372,1368,2969,46.08%,20,1037,2,6,1065
Straight Party,0198,161,82,243,619,39.26%,5,173,2,1,181
Straight Party,0199,1935,815,2750,4063,67.68%,1452,354,33,4,1843
Straight Party,0200,2334,377,2711,3692,73.43%,644,753,21,6,1424
Straight Party,0201,222,105,327,773,42.30%,7,249,0,0,256
Straight Party,0202,421,233,654,1410,46.38%,15,465,1,1,482
Straight Party,0203,298,111,409,988,41.40%,38,254,5,1,298
Straight Party,0204,2108,577,2685,3568,75.25%,796,582,26,7,1411
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0205,772,171,943,1724,54.70%,14,743,1,3,761
Straight Party,0206,1280,494,1774,2965,59.83%,268,699,22,15,1004
Straight Party,0207,606,212,818,1166,70.15%,130,292,4,4,430
Straight Party,0208,911,338,1249,2256,55.36%,165,672,3,4,844
Straight Party,0209,0,0,0,0,0.00%,0,0,0,0,0
Straight Party,0210,1269,489,1758,2781,63.21%,142,893,5,5,1045
Straight Party,0211,969,595,1554,3130,49.97%,268,760,14,9,1051
Straight Party,0212,309,323,632,1370,46.13%,65,388,3,3,459
Straight Party,0213,1794,795,2589,3406,76.01%,1264,286,7,6,1563
Straight Party,0214,1018,418,1436,1911,75.14%,474,282,13,5,774
Straight Party,0215,1101,636,1737,2286,75.98%,529,361,8,6,904
Straight Party,0216,779,244,1023,1966,52.03%,39,721,6,3,769
Straight Party,0217,1565,618,2183,2736,79.79%,704,364,9,2,1079
Straight Party,0218,1101,457,1558,2467,63.15%,194,677,9,11,891
Straight Party,0219,1131,515,1646,2868,57.39%,72,1035,5,4,1116
Straight Party,0220,833,306,1139,2362,48.22%,475,267,6,2,750
Straight Party,0221,1033,473,1506,2598,57.97%,284,662,9,8,963
Straight Party,0222,1485,671,2156,2728,79.03%,493,553,6,3,1055
Straight Party,0223,1775,517,2292,3664,62.55%,299,955,20,8,1282
Straight Party,0224,1179,495,1574,2313,72.37%,418,482,8,4,912
Straight Party,0225,1358,596,1954,3689,52.97%,579,766,18,9,1372
Straight Party,0226,842,421,1263,2554,49.45%,142,717,6,4,869
Straight Party,0227,1075,359,1434,1810,79.23%,573,143,4,1,721
Straight Party,0228,630,159,789,1175,67.15%,20,478,2,0,500
Straight Party,0229,230,168,398,828,48.07%,66,206,1,1,274
