Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0244,1409,538,1947,3296,59.07%,951,931,1882
County Tax Assessor-Collector,0245,2100,811,2911,4679,62.21%,1842,968,2810
County Tax Assessor-Collector,0246,2209,482,2691,3971,67.77%,1715,914,2629
County Tax Assessor-Collector,0247,440,376,816,1595,51.16%,34,769,803
County Tax Assessor-Collector,0248,453,347,800,2147,37.26%,189,576,765
County Tax Assessor-Collector,0249,1124,365,1489,2825,52.71%,936,520,1456
County Tax Assessor-Collector,0250,288,183,471,925,50.92%,27,437,464
County Tax Assessor-Collector,0251,806,378,1184,2132,55.53%,86,1062,1148
County Tax Assessor-Collector,0252,925,309,1235,2292,53.88%,43,1169,1212
County Tax Assessor-Collector,0253,759,311,1070,2154,49.68%,46,1004,1050
County Tax Assessor-Collector,0254,411,280,691,1675,41.25%,167,488,655
County Tax Assessor-Collector,0255,1253,586,1839,2489,73.89%,824,942,1766
County Tax Assessor-Collector,0256,1398,583,1981,3321,59.65%,713,1183,1896
County Tax Assessor-Collector,0257,997,622,1619,3497,46.30%,418,1138,1556
County Tax Assessor-Collector,0258,1948,608,2555,3346,76.39%,1848,625,2473
County Tax Assessor-Collector,0259,1030,414,1444,2312,62.46%,64,1351,1415
County Tax Assessor-Collector,0260,547,227,774,1300,59.54%,386,350,736
County Tax Assessor-Collector,0261,442,531,973,1457,66.78%,300,632,932
County Tax Assessor-Collector,0262,1847,676,2523,4397,57.38%,1365,1051,2416
County Tax Assessor-Collector,0263,2208,665,2873,4016,71.54%,2057,719,2776
County Tax Assessor-Collector,0264,1110,627,1737,3101,56.01%,911,756,1667
County Tax Assessor-Collector,0265,1991,608,2599,3582,72.56%,1855,637,2492
County Tax Assessor-Collector,0266,737,443,1180,2147,54.96%,478,657,1135
County Tax Assessor-Collector,0267,421,293,714,1433,49.83%,278,404,682
County Tax Assessor-Collector,0268,1174,689,1863,2528,73.69%,1093,669,1762
County Tax Assessor-Collector,0269,1305,365,1670,2114,79.00%,1266,344,1610
County Tax Assessor-Collector,0270,1816,688,2504,3985,62.84%,1320,1091,2411
County Tax Assessor-Collector,0271,1150,346,1496,2558,58.48%,53,1419,1472
