Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0836,128,0,128,248,51.61%,13,105,118
"Justice, 1st Court of Appeals District, Place 4",0837,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0838,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0839,419,174,593,1190,49.83%,121,443,564
"Justice, 1st Court of Appeals District, Place 4",0840,829,228,1057,1780,59.38%,342,664,1006
"Justice, 1st Court of Appeals District, Place 4",0841,1474,475,1949,3431,56.81%,434,1445,1879
"Justice, 1st Court of Appeals District, Place 4",0842,1340,513,1853,3390,54.66%,708,1057,1765
"Justice, 1st Court of Appeals District, Place 4",0843,595,298,893,1387,64.38%,155,701,856
"Justice, 1st Court of Appeals District, Place 4",0844,4,0,4,10,40.00%,0,4,4
"Justice, 1st Court of Appeals District, Place 4",0845,152,13,165,218,75.69%,99,56,155
"Justice, 1st Court of Appeals District, Place 4",0846,61,22,83,229,36.24%,3,79,82
"Justice, 1st Court of Appeals District, Place 4",0847,993,330,1323,2310,57.27%,337,939,1276
"Justice, 1st Court of Appeals District, Place 4",0848,1011,201,1212,1875,64.64%,361,795,1156
"Justice, 1st Court of Appeals District, Place 4",0849,731,455,1186,2272,52.20%,302,793,1095
"Justice, 1st Court of Appeals District, Place 4",0850,129,19,148,208,71.15%,54,88,142
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0851,1886,441,2327,3597,64.69%,1513,718,2231
"Justice, 1st Court of Appeals District, Place 4",0852,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0853,1637,487,2124,2986,71.13%,1539,502,2041
"Justice, 1st Court of Appeals District, Place 4",0854,40,19,59,175,33.71%,9,49,58
"Justice, 1st Court of Appeals District, Place 4",0855,7,2,9,21,42.86%,4,4,8
"Justice, 1st Court of Appeals District, Place 4",0856,0,3,3,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 4",0857,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0858,121,35,156,334,46.71%,6,141,147
"Justice, 1st Court of Appeals District, Place 4",0859,391,143,534,945,56.51%,111,396,507
"Justice, 1st Court of Appeals District, Place 4",0860,1,1,2,0,0.00%,0,2,2
"Justice, 1st Court of Appeals District, Place 4",0861,777,272,1049,1941,54.04%,169,849,1018
"Justice, 1st Court of Appeals District, Place 4",0862,1989,508,2497,3739,66.78%,1426,980,2406
"Justice, 1st Court of Appeals District, Place 4",0863,192,64,256,581,44.06%,12,238,250
"Justice, 1st Court of Appeals District, Place 4",0864,693,574,1267,2708,46.79%,271,926,1197
"Justice, 1st Court of Appeals District, Place 4",0865,9,2,11,21,52.38%,0,11,11
"Justice, 1st Court of Appeals District, Place 4",0866,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0867,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0868,737,495,1232,2446,50.37%,301,873,1174
"Justice, 1st Court of Appeals District, Place 4",0869,166,55,221,480,46.04%,28,184,212
"Justice, 1st Court of Appeals District, Place 4",0870,0,2,2,0,0.00%,2,0,2
"Justice, 1st Court of Appeals District, Place 4",0871,2,1,3,3,100.00%,0,3,3
"Justice, 1st Court of Appeals District, Place 4",0872,16,6,22,68,32.35%,12,10,22
"Justice, 1st Court of Appeals District, Place 4",0873,296,111,407,778,52.31%,92,303,395
"Justice, 1st Court of Appeals District, Place 4",0874,1681,670,2351,3294,71.37%,1654,605,2259
"Justice, 1st Court of Appeals District, Place 4",0875,1948,501,2449,3592,68.18%,1120,1236,2356
"Justice, 1st Court of Appeals District, Place 4",0876,1945,577,2522,3485,72.37%,1716,717,2433
"Justice, 1st Court of Appeals District, Place 4",0877,1805,528,2333,3651,63.90%,859,1403,2262
"Justice, 1st Court of Appeals District, Place 4",0878,685,110,795,1039,76.52%,617,147,764
"Justice, 1st Court of Appeals District, Place 4",0879,1215,413,1628,2843,57.26%,664,896,1560
"Justice, 1st Court of Appeals District, Place 4",0880,1355,471,1826,2467,74.02%,1342,426,1768
"Justice, 1st Court of Appeals District, Place 4",0881,2465,927,3392,5638,60.16%,874,2410,3284
"Justice, 1st Court of Appeals District, Place 4",0882,1952,595,2547,4317,59.00%,729,1703,2432
"Justice, 1st Court of Appeals District, Place 4",0883,2252,928,3180,5613,56.65%,541,2521,3062
"Justice, 1st Court of Appeals District, Place 4",0884,149,55,204,396,51.52%,27,172,199
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0885,1571,323,1894,2811,67.38%,1034,800,1834
"Justice, 1st Court of Appeals District, Place 4",0886,496,152,648,906,71.52%,335,267,602
"Justice, 1st Court of Appeals District, Place 4",0887,234,95,329,492,66.87%,169,133,302
"Justice, 1st Court of Appeals District, Place 4",0888,817,289,1106,1867,59.24%,342,721,1063
"Justice, 1st Court of Appeals District, Place 4",0889,113,28,141,238,59.24%,35,98,133
"Justice, 1st Court of Appeals District, Place 4",0890,447,98,545,1214,44.89%,214,290,504
"Justice, 1st Court of Appeals District, Place 4",0891,753,194,947,1376,68.82%,318,582,900
"Justice, 1st Court of Appeals District, Place 4",0892,426,123,549,900,61.00%,180,334,514
"Justice, 1st Court of Appeals District, Place 4",0893,1,4,5,9,55.56%,2,3,5
"Justice, 1st Court of Appeals District, Place 4",0894,801,305,1106,2087,52.99%,145,923,1068
"Justice, 1st Court of Appeals District, Place 4",0895,417,252,669,834,80.22%,271,356,627
"Justice, 1st Court of Appeals District, Place 4",0896,839,254,1093,1467,74.51%,363,673,1036
"Justice, 1st Court of Appeals District, Place 4",0897,813,365,1178,1766,66.70%,602,520,1122
"Justice, 1st Court of Appeals District, Place 4",0898,792,301,1093,1821,60.02%,429,629,1058
"Justice, 1st Court of Appeals District, Place 4",0899,747,165,912,1264,72.15%,550,338,888
"Justice, 1st Court of Appeals District, Place 4",0900,7,0,7,12,58.33%,1,6,7
"Justice, 1st Court of Appeals District, Place 4",0901,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0902,1311,361,1672,2217,75.42%,834,739,1573
"Justice, 1st Court of Appeals District, Place 4",0903,1314,354,1668,2558,65.21%,1189,423,1612
"Justice, 1st Court of Appeals District, Place 4",0904,2,0,2,8,25.00%,1,1,2
"Justice, 1st Court of Appeals District, Place 4",0905,390,136,526,946,55.60%,192,313,505
"Justice, 1st Court of Appeals District, Place 4",0906,19,3,22,28,78.57%,13,9,22
"Justice, 1st Court of Appeals District, Place 4",0907,53,37,90,201,44.78%,8,80,88
"Justice, 1st Court of Appeals District, Place 4",0908,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0909,7,1,8,21,38.10%,3,5,8
"Justice, 1st Court of Appeals District, Place 4",0910,78,37,115,236,48.73%,33,74,107
"Justice, 1st Court of Appeals District, Place 4",0911,237,63,300,576,52.08%,189,102,291
"Justice, 1st Court of Appeals District, Place 4",0912,712,167,879,1341,65.55%,504,331,835
"Justice, 1st Court of Appeals District, Place 4",0913,102,12,114,241,47.30%,19,89,108
"Justice, 1st Court of Appeals District, Place 4",0914,42,0,42,124,33.87%,9,31,40
"Justice, 1st Court of Appeals District, Place 4",0915,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0916,1472,308,1780,2205,80.73%,1332,380,1712
"Justice, 1st Court of Appeals District, Place 4",0917,33,9,42,147,28.57%,4,33,37
"Justice, 1st Court of Appeals District, Place 4",0918,3,1,4,7,57.14%,1,3,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0919,1,0,1,1,100.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 4",0920,41,13,54,79,68.35%,32,20,52
"Justice, 1st Court of Appeals District, Place 4",0921,27,6,33,61,54.10%,7,26,33
"Justice, 1st Court of Appeals District, Place 4",0922,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0923,2331,350,2681,3536,75.82%,1985,638,2623
"Justice, 1st Court of Appeals District, Place 4",0924,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0925,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0926,550,149,699,967,72.29%,465,200,665
"Justice, 1st Court of Appeals District, Place 4",0927,968,173,1141,1771,64.43%,545,519,1064
"Justice, 1st Court of Appeals District, Place 4",0928,4,1,5,7,71.43%,0,5,5
"Justice, 1st Court of Appeals District, Place 4",0929,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0930,217,83,300,606,49.50%,15,273,288
"Justice, 1st Court of Appeals District, Place 4",0931,87,28,115,141,81.56%,46,60,106
"Justice, 1st Court of Appeals District, Place 4",0932,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 4",0933,297,93,390,668,58.38%,120,257,377
"Justice, 1st Court of Appeals District, Place 4",0934,9,4,13,37,35.14%,7,6,13
"Justice, 1st Court of Appeals District, Place 4",0935,12,9,21,55,38.18%,7,13,20
"Justice, 1st Court of Appeals District, Place 4",0936,23,9,32,76,42.11%,9,20,29
"Justice, 1st Court of Appeals District, Place 4",0937,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0938,72,19,91,255,35.69%,26,64,90
"Justice, 1st Court of Appeals District, Place 4",0939,1,1,2,4,50.00%,1,1,2
"Justice, 1st Court of Appeals District, Place 4",0940,9,3,12,28,42.86%,1,11,12
"Justice, 1st Court of Appeals District, Place 4",0941,285,144,429,870,49.31%,205,199,404
"Justice, 1st Court of Appeals District, Place 4",0942,102,16,118,152,77.63%,75,40,115
"Justice, 1st Court of Appeals District, Place 4",0943,192,28,220,774,28.42%,48,160,208
"Justice, 1st Court of Appeals District, Place 4",0944,1,0,1,1,100.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 4",0945,8,6,14,21,66.67%,2,11,13
"Justice, 1st Court of Appeals District, Place 4",0946,4,2,6,14,42.86%,1,5,6
"Justice, 1st Court of Appeals District, Place 4",0947,428,198,626,820,76.34%,300,288,588
"Justice, 1st Court of Appeals District, Place 4",0948,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0949,84,61,145,210,69.05%,63,73,136
"Justice, 1st Court of Appeals District, Place 4",0950,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0951,114,62,176,304,57.89%,41,125,166
"Justice, 1st Court of Appeals District, Place 4",0952,32,15,47,65,72.31%,26,19,45
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0953,4,0,4,8,50.00%,0,4,4
"Justice, 1st Court of Appeals District, Place 4",0954,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0955,3539,572,4111,5108,80.48%,2842,1102,3944
"Justice, 1st Court of Appeals District, Place 4",0956,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0957,283,39,322,585,55.04%,37,275,312
"Justice, 1st Court of Appeals District, Place 4",0958,430,231,661,1202,54.99%,115,515,630
"Justice, 1st Court of Appeals District, Place 4",0959,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0960,829,235,1064,1471,72.33%,225,804,1029
"Justice, 1st Court of Appeals District, Place 4",0961,821,318,1139,2369,48.08%,174,917,1091
"Justice, 1st Court of Appeals District, Place 4",0962,33,12,45,88,51.14%,9,33,42
"Justice, 1st Court of Appeals District, Place 4",0963,225,91,316,528,59.85%,122,176,298
"Justice, 1st Court of Appeals District, Place 4",0964,2146,325,2471,3179,77.73%,1393,983,2376
"Justice, 1st Court of Appeals District, Place 4",0965,101,35,136,345,39.42%,90,40,130
"Justice, 1st Court of Appeals District, Place 4",0966,368,189,557,1332,41.82%,130,395,525
"Justice, 1st Court of Appeals District, Place 4",0967,82,24,106,186,56.99%,38,64,102
"Justice, 1st Court of Appeals District, Place 4",0968,455,127,582,906,64.24%,115,450,565
"Justice, 1st Court of Appeals District, Place 4",0969,299,71,370,624,59.29%,8,352,360
"Justice, 1st Court of Appeals District, Place 4",0970,223,102,325,810,40.12%,30,274,304
"Justice, 1st Court of Appeals District, Place 4",0971,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0972,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0973,504,138,642,999,64.26%,396,213,609
"Justice, 1st Court of Appeals District, Place 4",0974,0,1,1,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 4",0975,104,26,130,190,68.42%,55,65,120
"Justice, 1st Court of Appeals District, Place 4",0976,190,152,342,712,48.03%,164,156,320
"Justice, 1st Court of Appeals District, Place 4",0977,160,108,268,617,43.44%,88,170,258
"Justice, 1st Court of Appeals District, Place 4",0978,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0979,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0980,686,333,1019,1412,72.17%,691,276,967
"Justice, 1st Court of Appeals District, Place 4",0981,12,2,14,31,45.16%,1,12,13
"Justice, 1st Court of Appeals District, Place 4",0982,1898,501,2399,2916,82.27%,1791,520,2311
"Justice, 1st Court of Appeals District, Place 4",0983,55,17,82,198,41.41,%,45,35,80
"Justice, 1st Court of Appeals District, Place 4",0984,75,57,133,341,39.00%,10,120,130
"Justice, 1st Court of Appeals District, Place 4",0985,222,56,278,355,78.31%,128,138,266
"Justice, 1st Court of Appeals District, Place 4",0986,154,78,232,537,43.20%,21,203,224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0987,476,130,606,1183,51.23%,38,542,580
"Justice, 1st Court of Appeals District, Place 4",0988,62,15,77,117,65.81%,64,9,73
"Justice, 1st Court of Appeals District, Place 4",0989,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0990,5,6,11,66,16.67%,4,7,11
"Justice, 1st Court of Appeals District, Place 4",0991,0,1,1,2,50.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 4",0992,456,106,562,1075,52.28%,250,279,529
"Justice, 1st Court of Appeals District, Place 4",0993,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0994,56,12,68,75,90.67%,20,47,67
"Justice, 1st Court of Appeals District, Place 4",0995,753,193,946,1576,60.03%,93,814,907
"Justice, 1st Court of Appeals District, Place 4",0996,403,70,473,708,66.81%,242,201,443
"Justice, 1st Court of Appeals District, Place 4",0997,522,283,805,1909,42.17%,140,644,784
"Justice, 1st Court of Appeals District, Place 4",0998,24,12,36,68,52.94%,22,13,35
"Justice, 1st Court of Appeals District, Place 4",0999,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",1000,122,22,144,428,33.64%,22,118,140
"Justice, 1st Court of Appeals District, Place 4",1001,519,280,799,1654,48.31%,151,609,760
"Justice, 1st Court of Appeals District, Place 4",1002,480,270,750,1804,41.57%,101,607,708
"Justice, 1st Court of Appeals District, Place 4",1003,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",1004,351,114,465,691,67.29%,217,226,443
"Justice, 1st Court of Appeals District, Place 4",1005,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",1006,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",1007,695,306,1001,1775,56.39%,213,747,960
"Justice, 1st Court of Appeals District, Place 4",1008,620,107,727,1011,71.91%,557,139,696
"Justice, 1st Court of Appeals District, Place 4",1009,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",1010,292,96,388,647,59.97%,70,303,373
"Justice, 1st Court of Appeals District, Place 4",1011,9,6,15,31,48.39%,8,7,15
"Justice, 1st Court of Appeals District, Place 4",1012,543,362,905,1633,55.42%,204,653,857
"Justice, 1st Court of Appeals District, Place 4",Totals:,982016,353327,1335343,2182980,601730,671908,1273638
