Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0214,1016,418,1434,1911,75.04%,809,528,1337
"Justice, 1st Court of Appeals District, Place 4",0215,1097,636,1733,2286,75.81%,945,687,1632
"Justice, 1st Court of Appeals District, Place 4",0216,778,244,1022,1966,51.98%,64,914,978
"Justice, 1st Court of Appeals District, Place 4",0217,1545,618,2163,2736,79.06%,1334,725,2059
"Justice, 1st Court of Appeals District, Place 4",0218,1100,457,1557,2467,63.11%,360,1077,1437
"Justice, 1st Court of Appeals District, Place 4",0219,1118,515,1633,2868,56.94%,141,1414,1555
"Justice, 1st Court of Appeals District, Place 4",0220,833,306,1139,2362,48.22%,697,378,1075
"Justice, 1st Court of Appeals District, Place 4",0221,1032,473,1505,2598,57.93%,465,945,1410
"Justice, 1st Court of Appeals District, Place 4",0222,1460,671,2131,2728,78.12%,964,1031,1995
"Justice, 1st Court of Appeals District, Place 4",0223,1751,517,2268,3664,61.90%,567,1571,2138
"Justice, 1st Court of Appeals District, Place 4",0224,1166,495,1661,2313,71.81%,714,844,1558
"Justice, 1st Court of Appeals District, Place 4",0225,1353,596,1949,3689,52.83%,806,1065,1871
"Justice, 1st Court of Appeals District, Place 4",0226,840,421,1261,2554,49.37%,243,956,1199
"Justice, 1st Court of Appeals District, Place 4",0227,1071,359,1430,1810,79.01%,1026,334,1360
"Justice, 1st Court of Appeals District, Place 4",0228,625,159,784,1175,66.72%,43,729,772
"Justice, 1st Court of Appeals District, Place 4",0229,227,168,395,828,47.71%,104,263,367
"Justice, 1st Court of Appeals District, Place 4",0230,353,155,518,1094,47.35%,24,476,500
"Justice, 1st Court of Appeals District, Place 4",0231,801,445,1246,2376,52.44%,253,923,1176
"Justice, 1st Court of Appeals District, Place 4",0232,941,438,1379,1826,75.52%,706,582,1288
"Justice, 1st Court of Appeals District, Place 4",0233,2575,703,3278,4713,69.55%,1452,1615,3067
"Justice, 1st Court of Appeals District, Place 4",0234,2421,728,3149,4042,77.91%,2235,760,2995
"Justice, 1st Court of Appeals District, Place 4",0235,461,203,664,1421,46.73%,25,612,637
"Justice, 1st Court of Appeals District, Place 4",0236,555,308,964,2104,45.82%,44,894,938
"Justice, 1st Court of Appeals District, Place 4",0237,739,312,1051,2146,48.97%,22,1003,1025
"Justice, 1st Court of Appeals District, Place 4",0238,606,317,923,1948,47.38%,36,850,886
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0239,694,334,1028,1984,51.81,%,36,968,1004
"Justice, 1st Court of Appeals District, Place 4",0240,1007,292,1299,2601,49.94%,31,1237,1268
"Justice, 1st Court of Appeals District, Place 4",0241,651,383,1034,2466,41.93%,314,676,990
"Justice, 1st Court of Appeals District, Place 4",0242,506,314,820,1744,47.02%,357,409,766
"Justice, 1st Court of Appeals District, Place 4",0243,245,42,287,475,60.42%,5,280,285
"Justice, 1st Court of Appeals District, Place 4",0244,1410,538,1948,3296,59.10%,907,955,1862
"Justice, 1st Court of Appeals District, Place 4",0245,2100,811,2911,4679,62.21%,1781,995,2776
"Justice, 1st Court of Appeals District, Place 4",0246,2210,482,2692,3971,67.79%,1646,950,2596
"Justice, 1st Court of Appeals District, Place 4",0247,440,376,816,1595,51.16%,24,777,801
"Justice, 1st Court of Appeals District, Place 4",0248,453,347,800,2147,37.26%,179,574,753
"Justice, 1st Court of Appeals District, Place 4",0249,1126,365,1491,2825,52.78%,902,544,1446
"Justice, 1st Court of Appeals District, Place 4",0250,288,183,471,925,50.92%,19,443,462
"Justice, 1st Court of Appeals District, Place 4",0251,806,378,1184,2132,55.53%,61,1078,1139
"Justice, 1st Court of Appeals District, Place 4",0252,925,309,1235,2292,53.88%,28,1170,1198
"Justice, 1st Court of Appeals District, Place 4",0253,750,311,1071,2154,49.72%,28,1018,1046
"Justice, 1st Court of Appeals District, Place 4",0254,411,280,691,1675,41.25%,140,517,657
"Justice, 1st Court of Appeals District, Place 4",0255,1256,586,1842,2489,74.01%,758,964,1722
"Justice, 1st Court of Appeals District, Place 4",0256,1398,583,1981,3321,59.65%,643,1219,1862
"Justice, 1st Court of Appeals District, Place 4",0257,999,622,1621,3497,46.35%,357,1197,1554
"Justice, 1st Court of Appeals District, Place 4",0258,1948,608,2555,3346,76.39%,1764,662,2426
