Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0137,993,259,1252,1986,63.04%,791,370,53,1214
"Judge, Court of Criminal Appeals, Place 6",0138,501,228,829,1723,48.11%,36,760,8,804
"Judge, Court of Criminal Appeals, Place 6",0139,1947,601,2548,3435,74.18%,1071,1202,117,2390
"Judge, Court of Criminal Appeals, Place 6",0140,1525,510,2035,3270,62.23%,290,1571,83,1944
"Judge, Court of Criminal Appeals, Place 6",0141,217,153,370,904,40.93%,186,146,14,346
"Judge, Court of Criminal Appeals, Place 6",0142,293,140,433,933,46.41%,87,305,12,404
"Judge, Court of Criminal Appeals, Place 6",0143,1868,267,2135,2582,82.69%,1342,688,48,2078
"Judge, Court of Criminal Appeals, Place 6",0144,442,125,567,1086,52.21%,18,526,3,547
"Judge, Court of Criminal Appeals, Place 6",0145,550,256,816,1564,52.17%,16,762,13,791
"Judge, Court of Criminal Appeals, Place 6",0146,1000,494,1494,2073,72.07%,582,768,72,1422
"Judge, Court of Criminal Appeals, Place 6",0147,1412,354,1766,3211,55.00%,204,1484,32,1720
"Judge, Court of Criminal Appeals, Place 6",0148,1266,652,1918,2571,74.60%,699,1051,61,1811
"Judge, Court of Criminal Appeals, Place 6",0149,2941,573,3514,4756,73.89%,1844,1459,129,3432
"Judge, Court of Criminal Appeals, Place 6",0150,582,223,805,1574,51.14%,26,736,18,780
"Judge, Court of Criminal Appeals, Place 6",0151,282,107,389,826,47.09%,13,357,4,374
"Judge, Court of Criminal Appeals, Place 6",0152,838,524,1362,3059,44.52%,259,992,36,1287
"Judge, Court of Criminal Appeals, Place 6",0153,545,399,944,1873,50.40%,200,672,31,903
"Judge, Court of Criminal Appeals, Place 6",0154,913,289,1202,2293,52.42%,228,843,42,1113
"Judge, Court of Criminal Appeals, Place 6",0155,2275,576,2851,4065,70.14%,1723,955,62,2740
"Judge, Court of Criminal Appeals, Place 6",0156,1415,403,1818,3223,56.41%,85,1622,44,1751
"Judge, Court of Criminal Appeals, Place 6",0157,880,278,1158,2265,51.13%,56,1045,23,1124
"Judge, Court of Criminal Appeals, Place 6",0158,1145,365,1510,3049,49.52%,30,1422,19,1471
