Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0291,603,233,836,1218,68.64%,340,465,805
District Attorney,0292,549,178,727,1379,52.72%,89,614,703
District Attorney,0293,778,475,1253,1811,69.19%,493,703,1196
District Attorney,0294,852,198,1050,2054,51.12%,28,1002,1030
District Attorney,0295,270,111,381,894,42.62%,12,364,376
District Attorney,0296,701,385,1086,1705,63.70%,524,512,1036
District Attorney,0297,729,341,1070,2055,52.07%,342,687,1029
District Attorney,0298,1095,387,1482,2236,66.28%,689,738,1427
District Attorney,0299,499,236,735,1506,48.80%,216,473,689
District Attorney,0300,3385,728,4113,5480,75.05%,2908,1062,3970
District Attorney,0301,737,392,1129,2337,48.31%,362,717,1079
District Attorney,0302,1197,591,1788,3277,54.56%,850,870,1720
District Attorney,0303,1896,692,2588,3375,76.68%,1851,657,2508
District Attorney,0304,1190,474,1664,2326,71.54%,822,772,1594
District Attorney,0305,2154,545,2799,4838,57.85%,859,1839,2698
District Attorney,0306,1096,299,1395,1896,73.58%,904,440,1344
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0307,1456,801,2257,3270,69.02%,1409,759,2168
District Attorney,0308,526,225,751,1457,51.54%,182,519,701
District Attorney,0309,2160,591,2751,3495,78.71%,2010,662,2672
District Attorney,0310,709,326,1035,1464,70.70%,584,409,993
District Attorney,0311,930,643,1573,3222,48.82%,682,802,1484
District Attorney,0312,1705,552,2257,3724,60.61%,1065,1105,2170
District Attorney,0313,23,8,31,61,50.82%,13,13,26
District Attorney,0314,2997,817,3814,5606,68.03%,2076,1638,3714
District Attorney,0315,801,353,1154,1636,70.54%,592,513,1105
District Attorney,0316,739,340,1079,1513,71.32%,522,522,1044
District Attorney,0317,593,252,845,1661,50.87%,205,601,806
District Attorney,0318,1726,529,2255,3776,59.72%,156,2040,2196
District Attorney,0319,994,271,1265,2199,57.53%,87,1145,1232
District Attorney,0320,554,238,792,1570,50.45%,268,488,756
District Attorney,0321,867,363,1230,2483,49.54%,324,824,1148
District Attorney,0322,426,124,550,1210,45.45%,153,385,538
District Attorney,0323,700,296,996,1793,55.55%,352,606,958
District Attorney,0324,1444,560,2004,2607,76.87%,1153,793,1946
District Attorney,0325,802,257,1059,2176,48.67%,180,831,1011
District Attorney,0326,271,129,400,736,54.35%,141,231,372
District Attorney,0327,738,141,879,1758,50.00%,31,823,854
District Attorney,0328,425,286,711,1631,43.59%,211,463,674
District Attorney,0329,589,260,849,1621,52.38%,237,567,804
District Attorney,0330,863,326,1189,2146,55.41%,493,652,1145
District Attorney,0331,884,234,1118,1612,69.35%,667,399,1066
District Attorney,0332,1355,503,1858,2926,63.50%,209,1581,1790
District Attorney,0333,1385,942,2327,3296,70.60%,1530,699,2229
District Attorney,0334,246,104,350,786,44.53%,58,277,335
District Attorney,0335,489,293,782,1679,46.58%,197,537,734
District Attorney,0336,2489,689,3178,4771,66.61%,346,2762,3108
District Attorney,0337,367,155,522,1108,47.11%,70,425,495
District Attorney,0338,1626,632,2258,5001,45.15%,559,1595,2154
District Attorney,0339,704,303,1007,1909,52.75%,194,762,956
District Attorney,0340,2040,654,2694,4012,67.15%,1821,775,2596
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0341,380,278,658,1372,47.96%,150,475,625
District Attorney,0342,311,225,536,1092,49.08%,118,393,511
District Attorney,0343,722,370,1092,2099,52.02%,206,824,1030
District Attorney,0344,381,207,588,1225,48.00%,30,531,561
District Attorney,0345,575,349,924,1945,47.51%,174,704,878
District Attorney,0346,1,0,1,1,100.00%,0,0,0
District Attorney,0347,1461,618,2079,3614,57.53%,1121,892,2013
District Attorney,0348,830,242,1072,1796,59.69%,700,341,1041
District Attorney,0349,458,369,827,1372,60.28%,455,352,807
District Attorney,0350,1674,582,2256,3269,69.01%,749,1369,2118
District Attorney,0351,2855,570,3425,4799,71.37%,2458,854,3312
District Attorney,0352,2023,538,2561,4278,59.86%,1700,776,2476
District Attorney,0353,1715,659,2374,4156,57.12%,382,1924,2306
District Attorney,0354,1569,429,1998,3520,56.76%,445,1479,1924
District Attorney,0355,821,239,1060,1714,61.84%,113,917,1030
District Attorney,0356,1542,582,2124,3126,67.95%,1084,953,2037
District Attorney,0357,1882,557,2439,3685,66.19%,1649,699,2348
District Attorney,0358,775,376,1151,2634,43.70%,132,978,1110
District Attorney,0359,803,496,1299,3320,39.13%,137,1130,1267
District Attorney,0360,1858,597,2455,3309,74.19%,1061,1287,2348
District Attorney,0361,323,688,1011,1808,55.92%,134,791,925
District Attorney,0362,2865,553,3418,5161,66.23%,2242,1064,3306
District Attorney,0363,1826,635,2461,4160,59.16%,952,1449,2401
District Attorney,0364,1190,528,1718,2827,60.77%,731,909,1640
District Attorney,0365,827,174,1001,1348,74.26%,118,870,988
District Attorney,0366,988,524,1512,2887,52.37%,318,1131,1449
District Attorney,0367,453,204,657,1256,52.31%,137,495,632
District Attorney,0368,433,122,555,1024,54.20%,139,401,540
District Attorney,0369,132,29,161,678,23.75%,59,90,149
District Attorney,0370,2525,627,3152,4531,69.57%,2138,913,3051
