Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0307,1456,801,2257,3270,69.02%,1434,689,2123
"District Judge, 127th Judicial District",0308,526,225,751,1457,51.54%,169,533,702
"District Judge, 127th Judicial District",0309,2160,591,2751,3495,78.71%,1968,652,2620
"District Judge, 127th Judicial District",0310,709,326,1035,1464,70.70%,605,361,966
"District Judge, 127th Judicial District",0311,930,643,1573,3222,48.82%,677,781,1458
"District Judge, 127th Judicial District",0312,1705,552,2257,3724,60.61%,1107,1027,2134
"District Judge, 127th Judicial District",0313,23,8,31,61,50.82%,16,7,23
"District Judge, 127th Judicial District",0314,2997,817,3814,5606,68.03%,2103,1568,3671
"District Judge, 127th Judicial District",0315,801,353,1154,1636,70.54%,592,484,1076
"District Judge, 127th Judicial District",0316,739,340,1079,1513,71.32%,512,488,1000
"District Judge, 127th Judicial District",0317,593,252,845,1661,50.87%,207,590,797
"District Judge, 127th Judicial District",0318,1726,529,2255,3776,59.72%,129,2051,2180
"District Judge, 127th Judicial District",0319,994,271,1265,2199,57.53%,69,1156,1225
"District Judge, 127th Judicial District",0320,554,238,792,1570,50.45%,275,470,745
"District Judge, 127th Judicial District",0321,867,363,1230,2483,49.54%,324,804,1128
"District Judge, 127th Judicial District",0322,426,124,550,1210,45.45%,152,380,532
