Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0283,2353,1143,3496,6365,54.93%,463,2712,85,136,3396
"Justice, Supreme Court, Place 3",0284,1592,574,2166,4079,53.10%,668,1270,65,68,2071
"Justice, Supreme Court, Place 3",0285,1080,431,1511,2680,56.38%,103,1294,27,41,1465
"Justice, Supreme Court, Place 3",0286,1714,545,2259,3757,60.13%,171,1913,40,75,2199
"Justice, Supreme Court, Place 3",0287,853,408,1261,1658,76.06%,600,540,43,29,1212
"Justice, Supreme Court, Place 3",0288,883,314,1197,2208,54.21%,32,1120,14,9,1175
"Justice, Supreme Court, Place 3",0289,481,352,833,1584,52.59%,283,440,21,44,788
"Justice, Supreme Court, Place 3",0290,705,332,1037,1623,63.89%,719,237,36,30,1022
"Justice, Supreme Court, Place 3",0291,604,233,837,1218,68.72%,357,406,31,14,808
"Justice, Supreme Court, Place 3",0292,549,178,727,1379,52.72%,72,587,13,34,706
"Justice, Supreme Court, Place 3",0293,778,475,1253,1811,69.19%,509,600,50,31,1190
"Justice, Supreme Court, Place 3",0294,852,198,1050,2054,51.12%,16,994,16,7,1033
"Justice, Supreme Court, Place 3",0295,270,111,381,894,42.62%,11,351,4,4,370
"Justice, Supreme Court, Place 3",0296,701,385,1086,1705,63.70%,527,433,30,33,1023
"Justice, Supreme Court, Place 3",0297,730,341,1071,2055,52.12%,365,595,32,42,1034
"Justice, Supreme Court, Place 3",0298,1096,387,1483,2236,66.32%,707,632,69,29,1437
"Justice, Supreme Court, Place 3",0299,499,236,735,1506,48.80%,210,425,26,39,700
"Justice, Supreme Court, Place 3",0300,3386,728,4114,5480,75.07%,2999,857,118,34,4008
"Justice, Supreme Court, Place 3",0301,737,392,1129,2337,48.31%,345,647,32,52,1076
"Justice, Supreme Court, Place 3",0302,1199,591,1790,3277,54.62%,838,767,49,83,1737
"Justice, Supreme Court, Place 3",0303,1902,692,2594,3375,76.86%,1961,477,57,16,2511
"Justice, Supreme Court, Place 3",0304,1190,474,1664,2326,71.54%,881,608,66,31,1586
"Justice, Supreme Court, Place 3",0305,2155,645,2801,4838,57.90%,823,1683,90,96,2692
"Justice, Supreme Court, Place 3",0306,1096,299,1395,1896,73.58%,960,316,49,20,1345
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0307,1458,801,2259,3270,69.08%,1427,597,103,40,2167
"Justice, Supreme Court, Place 3",0308,527,225,752,1457,51.61%,162,487,17,47,713
"Justice, Supreme Court, Place 3",0309,2151,591,2752,3495,78.74%,2092,514,58,11,2675
"Justice, Supreme Court, Place 3",0310,710,326,1036,1464,70.77%,612,319,38,22,991
"Justice, Supreme Court, Place 3",0311,932,643,1575,3222,48.88%,681,713,46,42,1482
"Justice, Supreme Court, Place 3",0312,1713,552,2265,3724,60.82%,1155,895,82,54,2186
"Justice, Supreme Court, Place 3",0313,23,8,31,61,50.82%,16,7,0,2,25
"Justice, Supreme Court, Place 3",0314,3000,817,3817,5606,68.09%,2069,1458,118,69,3714
"Justice, Supreme Court, Place 3",0315,803,353,1158,1636,70.66%,643,412,37,21,1113
"Justice, Supreme Court, Place 3",0316,741,340,1081,1513,71.45%,587,400,34,15,1036
"Justice, Supreme Court, Place 3",0317,594,252,846,1661,50.93%,217,536,29,28,810
"Justice, Supreme Court, Place 3",0318,1729,529,2258,3776,59.80%,117,1969,52,54,2192
"Justice, Supreme Court, Place 3",0319,996,271,1267,2199,57.62%,67,1116,25,28,1236
"Justice, Supreme Court, Place 3",0320,556,238,794,1570,50.57%,267,443,19,32,761
"Justice, Supreme Court, Place 3",0321,887,363,1230,2483,49.54%,309,708,27,105,1149
"Justice, Supreme Court, Place 3",0322,426,124,550,1210,45.45%,147,355,20,16,538
"Justice, Supreme Court, Place 3",0323,700,296,996,1793,55.55%,362,543,36,19,960
"Justice, Supreme Court, Place 3",0324,1445,560,2005,2607,76.91%,1206,601,86,38,1931
"Justice, Supreme Court, Place 3",0325,802,257,1059,2176,48.67%,175,753,21,55,1004
"Justice, Supreme Court, Place 3",0326,271,129,400,736,54.35%,136,212,5,25,378
"Justice, Supreme Court, Place 3",0327,740,141,881,1758,50.11%,28,806,8,7,849
"Justice, Supreme Court, Place 3",0328,425,286,711,1631,43.59%,192,434,20,40,686
"Justice, Supreme Court, Place 3",0329,592,260,852,1621,52.56%,231,513,20,55,819
"Justice, Supreme Court, Place 3",0330,864,326,1190,2146,55.45%,509,549,49,34,1141
"Justice, Supreme Court, Place 3",0331,888,234,1122,1612,69.60%,668,340,50,29,1087
"Justice, Supreme Court, Place 3",0332,1359,503,1882,2926,63.64%,172,1516,26,89,1803
"Justice, Supreme Court, Place 3",0333,1387,942,2329,3296,70.66%,1560,554,102,42,2258
"Justice, Supreme Court, Place 3",0334,247,104,351,786,44.66%,53,271,9,6,339
"Justice, Supreme Court, Place 3",0335,489,293,782,1679,46.58%,178,506,17,34,735
"Justice, Supreme Court, Place 3",0336,2496,689,3185,4771,66.76%,309,2656,83,66,3114
"Justice, Supreme Court, Place 3",0337,371,155,526,1108,47.47%,76,395,7,14,492
"Justice, Supreme Court, Place 3",0338,1627,632,2259,5001,45.17%,556,1476,57,76,2165
"Justice, Supreme Court, Place 3",0339,705,303,1008,1909,52.80%,182,678,25,74,959
"Justice, Supreme Court, Place 3",0340,2042,654,2696,4012,67.20%,1832,620,101,55,2608
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0341,380,278,658,1372,47.96%,135,425,18,52,630
"Justice, Supreme Court, Place 3",0342,312,225,537,1092,49.18%,114,370,11,16,511
"Justice, Supreme Court, Place 3",0343,723,370,1093,2099,52.07%,190,757,14,80,1041
"Justice, Supreme Court, Place 3",0344,381,207,588,1225,48.00%,18,524,6,17,565
"Justice, Supreme Court, Place 3",0345,580,349,929,1945,47.76%,164,645,49,27,885
"Justice, Supreme Court, Place 3",0346,1,0,1,1,100.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0347,1462,618,2080,3614,57.55%,1136,729,68,86,2019
"Justice, Supreme Court, Place 3",0348,832,242,1074,1796,59.80%,698,294,31,24,1047
"Justice, Supreme Court, Place 3",0349,459,369,828,1372,60.35%,459,293,39,18,809
"Justice, Supreme Court, Place 3",0350,1590,582,2272,3269,69.50%,808,1195,86,58,2147
"Justice, Supreme Court, Place 3",0351,2857,570,3427,4799,71.41%,2490,674,111,57,3332
"Justice, Supreme Court, Place 3",0352,2025,538,2563,4278,59.91%,1701,643,77,73,2494
"Justice, Supreme Court, Place 3",0353,1715,659,2374,4156,57.12%,363,1812,41,82,2298
"Justice, Supreme Court, Place 3",0354,1572,429,2001,3520,56.85%,433,1384,39,69,1925
"Justice, Supreme Court, Place 3",0355,821,239,1060,1714,61.84%,107,877,22,24,1030
"Justice, Supreme Court, Place 3",0356,1544,582,2126,3126,68.01%,1128,792,90,37,2047
"Justice, Supreme Court, Place 3",0357,1886,557,2443,3685,66.30%,1699,552,80,35,2366
"Justice, Supreme Court, Place 3",0358,775,376,1151,2634,43.70%,116,947,23,35,1121
"Justice, Supreme Court, Place 3",0359,805,496,1301,3320,39.19%,129,1079,27,30,1265
"Justice, Supreme Court, Place 3",0360,1867,597,2464,3309,74.46%,1151,1081,82,39,2353
"Justice, Supreme Court, Place 3",0361,332,688,1020,1808,56.42%,154,751,35,18,958
"Justice, Supreme Court, Place 3",0362,2865,553,3418,5161,66.23%,2295,866,110,50,3321
"Justice, Supreme Court, Place 3",0363,1826,635,2461,4160,59.16%,963,1327,62,56,2408
"Justice, Supreme Court, Place 3",0364,1190,528,1718,2827,60.77%,735,791,59,67,1652
"Justice, Supreme Court, Place 3",0365,828,174,1002,1348,74.33%,114,838,15,12,979
"Justice, Supreme Court, Place 3",0366,989,524,1513,2887,52.41%,297,1052,31,83,1463
"Justice, Supreme Court, Place 3",0367,455,204,659,1256,52.47%,139,444,22,26,631
"Justice, Supreme Court, Place 3",0368,433,122,555,1024,54.20%,133,382,15,11,541
"Justice, Supreme Court, Place 3",0369,136,29,165,678,24.34%,53,78,13,11,155
"Justice, Supreme Court, Place 3",0370,2525,627,3152,4531,69.57%,2161,750,99,48,3058
"Justice, Supreme Court, Place 3",0371,210,78,288,537,53.63%,13,260,6,4,283
"Justice, Supreme Court, Place 3",0372,510,180,690,1274,54.16%,74,570,11,17,672
"Justice, Supreme Court, Place 3",0373,61,13,74,163,45.40%,0,65,4,3,72
"Justice, Supreme Court, Place 3",0374,175,165,341,720,47.36%,77,230,7,18,332
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0375,747,510,1257,2836,44.32%,395,722,27,61,1205
"Justice, Supreme Court, Place 3",0376,755,344,1099,2060,53.35%,384,598,28,37,1047
"Justice, Supreme Court, Place 3",0377,1382,643,2025,3137,64.55%,1450,388,92,39,1969
"Justice, Supreme Court, Place 3",0378,622,447,1069,1856,57.60%,618,347,46,28,1039
"Justice, Supreme Court, Place 3",0379,857,388,1245,2149,57.93%,97,1052,22,44,1215
"Justice, Supreme Court, Place 3",0380,2736,551,3287,4380,75.05%,1655,1376,125,57,3213
"Justice, Supreme Court, Place 3",0381,1186,432,1618,3141,51.51%,583,876,28,77,1564
"Justice, Supreme Court, Place 3",0382,429,206,635,1035,61.35%,374,205,16,23,618
"Justice, Supreme Court, Place 3",0383,723,458,1181,2373,49.77%,338,710,27,57,1132
"Justice, Supreme Court, Place 3",0384,1153,444,1597,2725,58.61%,351,1148,18,26,1543
"Justice, Supreme Court, Place 3",0385,1142,561,1703,2207,77.16%,1285,315,31,13,1644
"Justice, Supreme Court, Place 3",0386,1658,419,2077,3105,66.89%,1431,512,50,43,2036
"Justice, Supreme Court, Place 3",0387,1706,780,2486,4340,57.28%,1600,691,65,57,2413
"Justice, Supreme Court, Place 3",0388,2899,711,3510,5413,66.69%,1650,1659,109,78,3496
"Justice, Supreme Court, Place 3",0389,408,293,701,1359,51.58%,95,528,33,24,680
"Justice, Supreme Court, Place 3",0390,708,271,979,1482,66.06%,137,768,35,16,956
"Justice, Supreme Court, Place 3",0391,992,336,1328,1978,67.14%,761,455,52,19,1287
"Justice, Supreme Court, Place 3",0392,653,145,798,1426,55.96%,9,741,16,9,775
"Justice, Supreme Court, Place 3",0393,427,257,684,1274,53.69%,298,305,33,24,660
"Justice, Supreme Court, Place 3",0394,236,126,362,914,39.61%,105,214,8,20,347
"Justice, Supreme Court, Place 3",0395,1007,371,1378,1875,73.49%,892,358,67,18,1335
"Justice, Supreme Court, Place 3",0396,1036,204,1240,2072,59.85%,37,1147,11,12,1207
"Justice, Supreme Court, Place 3",0397,204,11,7,321,796,40.33%,104,175,9,20,308
"Justice, Supreme Court, Place 3",0398,1762,654,2416,4200,57.52%,1018,1179,72,56,2325
"Justice, Supreme Court, Place 3",0399,1294,546,1840,3340,55.09%,668,1021,54,46,1789
"Justice, Supreme Court, Place 3",0400,1457,372,1839,2661,69.11%,1143,550,71,26,1790
"Justice, Supreme Court, Place 3",0401,703,257,960,1971,48.71%,43,849,11,16,919
"Justice, Supreme Court, Place 3",0402,898,262,1160,1911,60.70%,71,1024,15,20,1130
"Justice, Supreme Court, Place 3",0403,959,387,1346,1719,78.30%,730,493,40,18,1281
"Justice, Supreme Court, Place 3",0404,1034,445,1479,2717,54.44%,659,674,35,64,1432
"Justice, Supreme Court, Place 3",0405,1914,457,2371,3067,77.31%,1740,520,44,18,2322
"Justice, Supreme Court, Place 3",0406,275,65,340,649,52.39%,6,314,7,4,331
