Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0520,1798,670,2468,5202,47.44%,356,1985,36,32,2409
"Judge, Court of Criminal Appeals, Place 2",0521,1352,578,1930,3070,62.87%,848,940,63,26,1877
"Judge, Court of Criminal Appeals, Place 2",0522,1508,464,1972,2815,70.05%,1368,460,77,16,1921
"Judge, Court of Criminal Appeals, Place 2",0523,1978,537,2515,4027,62.45%,1458,834,86,43,2421
"Judge, Court of Criminal Appeals, Place 2",0524,1396,637,2033,3598,56.50%,518,1370,44,23,1955
"Judge, Court of Criminal Appeals, Place 2",0525,1442,574,2016,3260,61.84%,395,1477,36,21,1929
"Judge, Court of Criminal Appeals, Place 2",0526,236,157,393,820,47.93%,79,275,12,9,375
"Judge, Court of Criminal Appeals, Place 2",0527,156,38,194,580,33.45%,70,108,2,1,181
"Judge, Court of Criminal Appeals, Place 2",0528,17,8,25,78,32.05%,1,21,0,2,24
"Judge, Court of Criminal Appeals, Place 2",0529,2108,434,2542,3842,66.16%,2019,335,89,20,2463
"Judge, Court of Criminal Appeals, Place 2",0530,376,212,588,1236,47.57%,105,416,15,15,551
"Judge, Court of Criminal Appeals, Place 2",0531,1235,166,1401,2250,62.27%,993,312,17,10,1332
"Judge, Court of Criminal Appeals, Place 2",0532,478,140,618,1058,58.41%,401,190,14,5,610
"Judge, Court of Criminal Appeals, Place 2",0533,353,169,522,1164,44.85%,242,228,16,8,494
"Judge, Court of Criminal Appeals, Place 2",0534,1898,577,2475,3918,63.17%,1633,649,53,33,2368
"Judge, Court of Criminal Appeals, Place 2",0535,132,62,194,413,46.97%,55,117,2,6,180
"Judge, Court of Criminal Appeals, Place 2",0536,2107,1053,3150,5637,56.06%,953,1908,72,70,3003
"Judge, Court of Criminal Appeals, Place 2",0537,1959,464,2423,3174,76.34%,1656,634,44,12,2346
"Judge, Court of Criminal Appeals, Place 2",0538,372,203,575,1332,43.17%,12,535,6,11,564
"Judge, Court of Criminal Appeals, Place 2",0539,811,234,1045,1535,68.08%,537,423,26,13,999
"Judge, Court of Criminal Appeals, Place 2",0540,1008,349,1357,1759,77.15%,445,772,40,18,1275
"Judge, Court of Criminal Appeals, Place 2",0541,2172,761,2933,5001,58.65%,436,2263,80,48,2827
"Judge, Court of Criminal Appeals, Place 2",0542,1156,406,1562,2654,58.85%,90,1389,16,20,1515
"Judge, Court of Criminal Appeals, Place 2",0543,554,321,875,1658,52.77%,196,600,19,21,836
"Judge, Court of Criminal Appeals, Place 2",0544,84,54,138,313,44.09%,12,121,2,2,137
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
