Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0193,375,211,586,1099,53.32%,18,542,560
"District Judge, 178th Judicial District",0194,1138,449,1587,2172,73.07%,386,1102,1488
"District Judge, 178th Judicial District",0195,606,344,950,1739,54.63%,41,857,898
"District Judge, 178th Judicial District",0196,132,37,169,313,53.99%,11,146,157
"District Judge, 178th Judicial District",0197,995,372,1368,2969,46.08%,42,1276,1318
"District Judge, 178th Judicial District",0198,161,82,243,619,39.26%,9,224,233
"District Judge, 178th Judicial District",0199,1929,815,2744,4063,67.54%,1976,643,2619
"District Judge, 178th Judicial District",0200,2307,377,2684,3692,72.70%,1071,1434,2505
"District Judge, 178th Judicial District",0201,221,105,326,773,42.17%,14,306,320
"District Judge, 178th Judicial District",0202,421,233,654,1410,46.38%,24,602,626
"District Judge, 178th Judicial District",0203,298,111,409,988,41.40%,58,323,381
"District Judge, 178th Judicial District",0204,2099,577,2676,3568,75.00%,1286,1180,2466
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0205,771,171,942,1724,54.64%,25,892,917
"District Judge, 178th Judicial District",0206,1277,494,1771,2965,59.73%,464,1172,1636
"District Judge, 178th Judicial District",0207,605,212,817,1166,70.07%,227,536,763
"District Judge, 178th Judicial District",0208,909,338,1247,2256,55.27%,263,895,1158
"District Judge, 178th Judicial District",0209,0,0,0,0,0.00%,0,0,0
"District Judge, 178th Judicial District",0210,1259,489,1748,2781,62.86%,252,1417,1669
"District Judge, 178th Judicial District",0211,964,595,1559,3130,49.81%,399,1053,1452
"District Judge, 178th Judicial District",0212,309,323,632,1370,46.13%,97,497,594
"District Judge, 178th Judicial District",0213,1782,795,2577,3406,75.66%,1785,657,2442
"District Judge, 178th Judicial District",0214,1016,418,1434,1911,75.04%,752,566,1318
"District Judge, 178th Judicial District",0215,1096,636,1732,2286,75.77%,845,757,1602
"District Judge, 178th Judicial District",0216,778,244,1022,1966,51.98%,54,924,978
"District Judge, 178th Judicial District",0217,1545,618,2163,2736,79.06%,1127,910,2037
"District Judge, 178th Judicial District",0218,1099,457,1555,2467,63.07%,344,1082,1426
"District Judge, 178th Judicial District",0219,1117,515,1632,2868,56.90%,136,1412,1548
"District Judge, 178th Judicial District",0220,832,306,1138,2362,48.18%,676,389,1065
"District Judge, 178th Judicial District",0221,1032,473,1505,2598,57.93%,449,957,1406
"District Judge, 178th Judicial District",0222,1460,671,2131,2728,78.12%,815,1150,1965
"District Judge, 178th Judicial District",0223,1750,517,2267,3664,61.87%,543,1564,2107
"District Judge, 178th Judicial District",0224,1155,495,1551,2313,71.81%,669,874,1543
"District Judge, 178th Judicial District",0225,1353,596,1949,3689,52.83%,783,1078,1861
"District Judge, 178th Judicial District",0226,840,421,1261,2554,49.37%,237,963,1200
"District Judge, 178th Judicial District",0227,1071,359,1430,1810,79.01%,892,460,1352
"District Judge, 178th Judicial District",0228,625,159,784,1175,66.72%,39,729,768
"District Judge, 178th Judicial District",0229,227,168,395,828,47.71%,103,267,370
"District Judge, 178th Judicial District",0230,353,165,518,1094,47.35%,22,481,503
"District Judge, 178th Judicial District",0231,801,445,1246,2376,52.44%,241,938,1179
"District Judge, 178th Judicial District",0232,941,438,1379,1826,75.52%,644,632,1276
"District Judge, 178th Judicial District",0233,2571,703,3274,4713,69.47%,1341,1694,3035
"District Judge, 178th Judicial District",0234,2419,728,3147,4042,77.86%,2045,926,2971
"District Judge, 178th Judicial District",0235,461,203,664,1421,46.73%,24,610,634
"District Judge, 178th Judicial District",0236,555,308,964,2104,45.82%,42,894,936
"District Judge, 178th Judicial District",0237,739,312,1051,2146,48.97%,18,1001,1019
"District Judge, 178th Judicial District",0238,606,317,923,1948,47.38%,30,859,889
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
