Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0174,1718,707,2425,3389,71.56%,1446,627,213,51,2337
Railroad Commissioner,0175,1403,691,2094,2711,77.24%,930,790,222,48,1990
Railroad Commissioner,0176,767,375,1142,1533,74.49%,471,437,145,16,1069
Railroad Commissioner,0177,943,333,1276,1715,74.40%,599,441,142,34,1216
Railroad Commissioner,0178,1116,273,1389,1795,77.38%,828,323,157,25,1333
Railroad Commissioner,0179,773,244,1017,1673,60.79%,430,440,68,40,978
Railroad Commissioner,0180,930,463,1393,2914,47.80%,43,1235,30,31,1339
Railroad Commissioner,0181,698,439,1137,2195,51.80%,222,763,28,78,1091
Railroad Commissioner,0182,1952,994,2946,4071,72.37%,1353,997,373,74,2797
Railroad Commissioner,0183,1289,715,2004,2535,79.05%,1126,529,232,28,1915
Railroad Commissioner,0184,278,219,497,1048,47.42%,116,317,12,22,467
Railroad Commissioner,0185,709,444,1153,2054,56.13%,266,759,29,54,1108
Railroad Commissioner,0186,252,150,402,798,50.38%,25,338,7,22,392
Railroad Commissioner,0187,96,51,147,309,47.57%,19,95,5,16,135
Railroad Commissioner,0188,499,306,805,1711,47.05%,237,476,25,40,778
Railroad Commissioner,0189,805,279,1084,1505,72.03%,533,362,109,45,1049
Railroad Commissioner,0190,571,326,897,1849,48.51%,233,538,24,61,856
Railroad Commissioner,0191,327,259,586,1408,41.62%,151,357,18,37,563
Railroad Commissioner,0192,757,259,1016,1959,51.86%,56,886,22,24,988
Railroad Commissioner,0193,376,211,587,1099,53.41%,16,503,22,29,570
Railroad Commissioner,0194,1144,449,1593,2172,73.34%,375,888,192,62,1517
Railroad Commissioner,0195,606,344,950,1739,54.63%,39,835,17,25,916
Railroad Commissioner,0196,133,37,170,313,54.31%,13,135,4,10,162
Railroad Commissioner,0197,995,372,1368,2969,46.08%,36,1258,16,24,1334
Railroad Commissioner,0198,161,82,243,619,39.26%,11,211,5,7,234
Railroad Commissioner,0199,1932,815,2747,4063,67.61%,1941,509,179,46,2675
Railroad Commissioner,0200,2317,377,2694,3692,72.97%,1059,1140,306,66,2571
Railroad Commissioner,0201,222,105,327,773,42.30%,8,296,5,8,317
Railroad Commissioner,0202,421,233,654,1410,46.38%,24,582,7,16,629
Railroad Commissioner,0203,298,111,409,988,41.40%,52,288,19,28,387
Railroad Commissioner,0204,2104,577,2681,3568,75.14%,1262,926,305,74,2567
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0205,772,171,943,1724,54.70%,20,884,13,8,925
Railroad Commissioner,0206,1278,494,1772,2965,59.76%,450,958,171,109,1688
Railroad Commissioner,0207,606,212,818,1166,70.15%,216,460,66,41,783
Railroad Commissioner,0208,910,338,1248,2256,55.32%,258,843,28,63,1192
Railroad Commissioner,0209,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0210,1269,489,1758,2781,63.21%,224,1297,105,81,1707
Railroad Commissioner,0211,965,595,1551,3130,49.87%,377,939,54,117,1487
Railroad Commissioner,0212,309,323,632,1370,46.13%,94,454,14,41,603
Railroad Commissioner,0213,1782,795,2577,3406,75.66%,1863,410,217,23,2513
Railroad Commissioner,0214,1017,418,1435,1911,75.09%,755,438,148,24,1365
Railroad Commissioner,0215,1097,636,1733,2286,75.81%,852,572,194,38,1656
Railroad Commissioner,0216,778,244,1022,1966,51.98%,53,878,19,36,986
Railroad Commissioner,0217,1547,618,2165,2736,79.13%,1182,573,293,40,2088
Railroad Commissioner,0218,1101,457,1558,2467,63.15%,320,936,97,119,1472
Railroad Commissioner,0219,1125,515,1641,2868,57.22%,124,1346,53,42,1565
Railroad Commissioner,0220,833,306,1139,2362,48.22%,680,341,38,33,1092
