Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0957,282,39,321,585,54.87%,44,267,311
"District Judge, 133rd Judicial District",0958,430,231,661,1202,54.99%,118,511,629
"District Judge, 133rd Judicial District",0959,0,0,0,0,0.00%,0,0,0
"District Judge, 133rd Judicial District",0960,829,235,1064,1471,72.33%,231,796,1027
"District Judge, 133rd Judicial District",0961,820,318,1138,2369,48.04%,180,909,1089
"District Judge, 133rd Judicial District",0962,33,12,45,88,51.14%,10,32,42
"District Judge, 133rd Judicial District",0963,225,91,316,528,59.85%,133,167,300
"District Judge, 133rd Judicial District",0964,2145,325,2470,3179,77.70%,1399,965,2364
"District Judge, 133rd Judicial District",0965,101,35,136,345,39.42%,91,39,130
"District Judge, 133rd Judicial District",0966,368,189,557,1332,41.82%,133,390,523
"District Judge, 133rd Judicial District",0967,82,24,106,186,56.99%,38,64,102
"District Judge, 133rd Judicial District",0968,455,127,582,906,64.24%,126,437,563
"District Judge, 133rd Judicial District",0969,299,71,370,624,59.29%,9,349,358
"District Judge, 133rd Judicial District",0970,223,102,325,810,40.12%,34,270,304
"District Judge, 133rd Judicial District",0971,0,0,0,0,0.00%,0,0,0
"District Judge, 133rd Judicial District",0972,0,0,0,0,0.00%,0,0,0
"District Judge, 133rd Judicial District",0973,504,138,642,999,64.26%,399,210,609
"District Judge, 133rd Judicial District",0974,0,1,1,0,0.00%,1,0,1
"District Judge, 133rd Judicial District",0975,104,26,130,190,68.42%,57,64,121
"District Judge, 133rd Judicial District",0976,190,152,342,712,48.03%,169,149,318
"District Judge, 133rd Judicial District",0977,160,108,268,617,43.44%,92,167,259
"District Judge, 133rd Judicial District",0978,0,0,0,0,0.00%,0,0,0
"District Judge, 133rd Judicial District",0979,0,0,0,0,0.00%,0,0,0
"District Judge, 133rd Judicial District",0980,686,333,1019,1412,72.17%,698,268,966
"District Judge, 133rd Judicial District",0981,12,2,14,31,45.16%,1,12,13
"District Judge, 133rd Judicial District",0982,1898,501,2399,2916,82.27%,1792,511,2303
"District Judge, 133rd Judicial District",0983,65,17,82,198,41.41,%,42,38,80
"District Judge, 133rd Judicial District",0984,76,57,133,341,39.00%,10,121,131
"District Judge, 133rd Judicial District",0985,222,56,278,355,78.31%,132,133,265
"District Judge, 133rd Judicial District",0986,153,78,231,537,43.02%,21,203,224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0987,476,130,606,1183,51.23%,39,541,580
"District Judge, 133rd Judicial District",0988,62,15,77,117,65.81%,65,8,73
"District Judge, 133rd Judicial District",0989,0,0,0,0,0.00%,0,0,0
"District Judge, 133rd Judicial District",0990,5,6,11,66,16.67%,4,7,11
"District Judge, 133rd Judicial District",0991,0,1,1,2,50.00%,0,1,1
"District Judge, 133rd Judicial District",0992,456,106,562,1075,52.28%,259,265,524
"District Judge, 133rd Judicial District",0993,0,0,0,0,0.00%,0,0,0
"District Judge, 133rd Judicial District",0994,56,12,68,75,90.67%,23,43,66
"District Judge, 133rd Judicial District",0995,753,193,946,1576,60.03%,94,812,906
"District Judge, 133rd Judicial District",0996,403,70,473,708,66.81%,247,196,443
"District Judge, 133rd Judicial District",0997,521,283,804,1909,42.12%,144,640,784
"District Judge, 133rd Judicial District",0998,24,12,36,68,52.94%,22,12,34
"District Judge, 133rd Judicial District",0999,0,0,0,0,0.00%,0,0,0
"District Judge, 133rd Judicial District",1000,122,22,144,428,33.64%,21,118,139
"District Judge, 133rd Judicial District",1001,519,280,799,1654,48.31%,151,607,758
"District Judge, 133rd Judicial District",1002,480,270,750,1804,41.57%,110,599,709
"District Judge, 133rd Judicial District",1003,0,0,0,0,0.00%,0,0,0
"District Judge, 133rd Judicial District",1004,349,114,463,691,67.00%,223,209,432
"District Judge, 133rd Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 133rd Judicial District",1006,0,0,0,0,0.00%,0,0,0
"District Judge, 133rd Judicial District",1007,694,306,1000,1775,56.34%,218,740,958
"District Judge, 133rd Judicial District",1008,620,107,727,1011,71.91%,561,134,695
"District Judge, 133rd Judicial District",1009,0,0,0,0,0.00%,0,0,0
"District Judge, 133rd Judicial District",1010,292,96,388,647,59.97%,73,298,371
"District Judge, 133rd Judicial District",1011,9,6,15,31,48.39%,8,7,15
"District Judge, 133rd Judicial District",1012,543,362,905,1633,55.42%,213,641,854
"District Judge, 133rd Judicial District",Totals:,981446,353327,1334773,2182980,606178,662114,1268292
