Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0247,440,376,816,1595,51.16%,24,776,800
Sheriff,0248,453,347,800,2147,37.26%,166,600,766
Sheriff,0249,1124,365,1489,2825,52.71%,912,547,1459
Sheriff,0250,288,183,471,925,50.92%,24,437,461
Sheriff,0251,806,378,1184,2132,55.53%,86,1062,1148
Sheriff,0252,925,309,1235,2292,53.88%,35,1173,1208
Sheriff,0253,759,311,1070,2154,49.68%,43,1009,1052
Sheriff,0254,411,280,691,1675,41.25%,138,520,658
Sheriff,0255,1253,586,1839,2489,73.89%,767,989,1756
Sheriff,0256,1398,583,1981,3321,59.65%,635,1249,1884
Sheriff,0257,997,622,1619,3497,46.30%,348,1207,1555
Sheriff,0258,1948,608,2555,3346,76.39%,1768,687,2455
Sheriff,0259,1030,414,1444,2312,62.46%,46,1369,1415
Sheriff,0260,547,227,774,1300,59.54%,365,375,740
Sheriff,0261,442,531,973,1457,66.78%,237,697,934
Sheriff,0262,1847,676,2523,4397,57.38%,1280,1121,2401
Sheriff,0263,2208,665,2873,4016,71.54%,2050,748,2798
Sheriff,0264,1110,627,1737,3101,56.01%,854,810,1664
Sheriff,0265,1991,608,2599,3582,72.56%,1787,700,2487
Sheriff,0266,737,443,1180,2147,54.96%,436,700,1136
Sheriff,0267,421,293,714,1433,49.83%,240,437,677
Sheriff,0268,1174,689,1863,2528,73.69%,970,776,1746
Sheriff,0269,1305,365,1670,2114,79.00%,1197,398,1595
Sheriff,0270,1816,688,2504,3985,62.84%,1231,1182,2413
Sheriff,0271,1150,346,1496,2558,58.48%,53,1422,1475
Sheriff,0272,870,415,1285,2334,55.06%,441,783,1224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0273,1175,647,1822,2485,73.32%,1371,385,1756
Sheriff,0274,1251,311,1572,2223,70.72%,929,565,1494
