Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0146,1000,494,1494,2073,72.07%,624,776,1400
"Judge, County Criminal Court No. 16",0147,1411,354,1765,3211,54.97%,224,1485,1709
"Judge, County Criminal Court No. 16",0148,1265,652,1917,2571,74.56%,732,1029,1761
"Judge, County Criminal Court No. 16",0149,2938,573,3511,4756,73.82%,1939,1446,3385
"Judge, County Criminal Court No. 16",0150,582,223,805,1574,51.14%,34,744,778
"Judge, County Criminal Court No. 16",0151,282,107,389,826,47.09%,17,356,373
"Judge, County Criminal Court No. 16",0152,838,524,1362,3059,44.52%,319,970,1289
"Judge, County Criminal Court No. 16",0153,544,399,943,1873,50.35%,247,651,898
"Judge, County Criminal Court No. 16",0154,913,289,1202,2293,52.42%,296,819,1115
"Judge, County Criminal Court No. 16",0155,2275,576,2851,4065,70.14%,1759,947,2706
"Judge, County Criminal Court No. 16",0156,1413,403,1815,3223,56.35%,103,1636,1739
"Judge, County Criminal Court No. 16",0157,880,278,1158,2265,51.13%,68,1057,1125
"Judge, County Criminal Court No. 16",0158,1143,365,1508,3049,49.46%,39,1428,1467
"Judge, County Criminal Court No. 16",0159,348,147,495,997,49.65%,79,401,480
"Judge, County Criminal Court No. 16",0160,286,67,353,717,49.23%,15,323,338
"Judge, County Criminal Court No. 16",0161,378,173,551,992,55.54%,18,512,530
"Judge, County Criminal Court No. 16",0162,364,267,631,1312,48.09%,168,417,585
"Judge, County Criminal Court No. 16",0163,1080,524,1604,3075,52.16%,493,953,1446
"Judge, County Criminal Court No. 16",0164,441,258,699,1407,49.68%,25,648,673
"Judge, County Criminal Court No. 16",0165,1169,469,1638,2460,66.59%,927,604,1531
"Judge, County Criminal Court No. 16",0166,562,261,823,1171,70.28%,286,481,767
"Judge, County Criminal Court No. 16",0167,5,2,7,24,29.17%,0,7,7
"Judge, County Criminal Court No. 16",0168,196,59,255,512,49.80%,6,245,251
"Judge, County Criminal Court No. 16",0169,985,247,1232,2548,48.35%,40,1150,1190
"Judge, County Criminal Court No. 16",0170,553,262,925,1958,47.24%,429,433,862
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0171,482,283,765,1648,46.42%,43,682,725
"Judge, County Criminal Court No. 16",0172,245,103,348,661,52.65%,109,223,332
"Judge, County Criminal Court No. 16",0173,2259,683,2942,3966,74.18%,2169,636,2805
"Judge, County Criminal Court No. 16",0174,1716,707,2423,3389,71.50%,1554,720,2274
"Judge, County Criminal Court No. 16",0175,1402,691,2093,2711,77.20%,1034,887,1921
"Judge, County Criminal Court No. 16",0176,767,375,1142,1533,74.49%,559,485,1044
"Judge, County Criminal Court No. 16",0177,937,333,1270,1715,74.05%,669,502,1171
"Judge, County Criminal Court No. 16",0178,1116,273,1389,1795,77.38%,888,395,1283
"Judge, County Criminal Court No. 16",0179,771,244,1015,1673,60.67%,488,457,945
"Judge, County Criminal Court No. 16",0180,928,463,1391,2914,47.74%,66,1277,1343
"Judge, County Criminal Court No. 16",0181,697,439,1136,2195,51.75%,307,775,1082
"Judge, County Criminal Court No. 16",0182,1943,994,2937,4071,72.14%,1525,1169,2694
"Judge, County Criminal Court No. 16",0183,1286,715,2001,2535,78.93%,1243,617,1860
"Judge, County Criminal Court No. 16",0184,278,219,497,1048,47.42%,145,324,469
"Judge, County Criminal Court No. 16",0185,709,444,1153,2054,56.13%,322,770,1092
"Judge, County Criminal Court No. 16",0186,252,150,402,798,50.38%,51,337,388
"Judge, County Criminal Court No. 16",0187,96,51,147,309,47.57%,35,99,134
"Judge, County Criminal Court No. 16",0188,499,306,805,1711,47.05%,276,493,769
"Judge, County Criminal Court No. 16",0189,804,279,1083,1505,71.96%,602,414,1016
"Judge, County Criminal Court No. 16",0190,571,326,897,1849,48.51%,274,572,846
"Judge, County Criminal Court No. 16",0191,327,259,586,1408,41.62%,196,365,561
"Judge, County Criminal Court No. 16",0192,757,259,1016,1959,51.86%,67,910,977
"Judge, County Criminal Court No. 16",0193,375,211,586,1099,53.32%,24,532,556
"Judge, County Criminal Court No. 16",0194,1138,449,1587,2172,73.07%,444,1034,1478
"Judge, County Criminal Court No. 16",0195,606,344,950,1739,54.63%,55,846,901
"Judge, County Criminal Court No. 16",0196,132,37,169,313,53.99%,20,137,157
"Judge, County Criminal Court No. 16",0197,996,372,1368,2969,46.08%,46,1276,1322
"Judge, County Criminal Court No. 16",0198,161,82,243,619,39.26%,11,221,232
"Judge, County Criminal Court No. 16",0199,1929,815,2744,4063,67.54%,2036,587,2623
"Judge, County Criminal Court No. 16",0200,2307,377,2684,3692,72.70%,1218,1291,2509
"Judge, County Criminal Court No. 16",0201,221,105,326,773,42.17%,11,306,317
"Judge, County Criminal Court No. 16",0202,421,233,654,1410,46.38%,29,598,627
"Judge, County Criminal Court No. 16",0203,298,111,409,988,41.40%,78,306,384
