Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0934,9,4,13,37,35.14%,7,6,13
"Judge, County Criminal Court No. 16",0935,12,9,21,55,38.18%,8,12,20
"Judge, County Criminal Court No. 16",0936,23,9,32,76,42.11%,9,20,29
"Judge, County Criminal Court No. 16",0937,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",0938,72,19,91,255,35.69%,29,61,90
"Judge, County Criminal Court No. 16",0939,1,1,2,4,50.00%,1,1,2
"Judge, County Criminal Court No. 16",0940,9,3,12,28,42.86%,1,11,12
"Judge, County Criminal Court No. 16",0941,284,144,428,870,49.20%,206,195,401
"Judge, County Criminal Court No. 16",0942,102,16,118,152,77.63%,80,36,116
"Judge, County Criminal Court No. 16",0943,192,28,220,774,28.42%,56,150,206
"Judge, County Criminal Court No. 16",0944,1,0,1,1,100.00%,0,1,1
"Judge, County Criminal Court No. 16",0945,8,6,14,21,66.67%,4,9,13
"Judge, County Criminal Court No. 16",0946,4,2,6,14,42.86%,2,4,6
"Judge, County Criminal Court No. 16",0947,428,198,626,820,76.34%,308,269,577
"Judge, County Criminal Court No. 16",0948,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 16",0949,84,61,145,210,69.05%,71,67,138
"Judge, County Criminal Court No. 16",0950,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",0951,114,62,176,304,57.89%,42,124,166
"Judge, County Criminal Court No. 16",0952,32,15,47,65,72.31%,32,13,45
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0953,4,0,4,8,50.00%,0,4,4
"Judge, County Criminal Court No. 16",0954,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",0955,3528,572,4100,5108,80.27%,2852,1056,3908
"Judge, County Criminal Court No. 16",0956,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",0957,282,39,321,585,54.87%,45,265,310
"Judge, County Criminal Court No. 16",0958,430,231,661,1202,54.99%,130,499,629
"Judge, County Criminal Court No. 16",0959,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",0960,829,235,1064,1471,72.33%,244,785,1029
"Judge, County Criminal Court No. 16",0961,820,318,1138,2369,48.04%,188,902,1090
"Judge, County Criminal Court No. 16",0962,33,12,45,88,51.14%,8,33,41
"Judge, County Criminal Court No. 16",0963,225,91,316,528,59.85%,135,164,299
"Judge, County Criminal Court No. 16",0964,2145,325,2470,3179,77.70%,1419,947,2366
"Judge, County Criminal Court No. 16",0965,101,35,136,345,39.42%,91,40,131
"Judge, County Criminal Court No. 16",0966,368,189,557,1332,41.82%,136,387,523
"Judge, County Criminal Court No. 16",0967,82,24,106,186,56.99%,40,61,101
"Judge, County Criminal Court No. 16",0968,455,127,582,906,64.24%,127,434,561
"Judge, County Criminal Court No. 16",0969,299,71,370,624,59.29%,6,357,363
"Judge, County Criminal Court No. 16",0970,223,102,325,810,40.12%,34,269,303
"Judge, County Criminal Court No. 16",0971,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",0972,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",0973,504,138,642,999,64.26%,412,197,609
"Judge, County Criminal Court No. 16",0974,0,1,1,0,0.00%,1,0,1
"Judge, County Criminal Court No. 16",0975,104,26,130,190,68.42%,57,63,120
"Judge, County Criminal Court No. 16",0976,190,152,342,712,48.03%,166,154,320
"Judge, County Criminal Court No. 16",0977,160,108,268,617,43.44%,91,167,258
"Judge, County Criminal Court No. 16",0978,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",0979,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",0980,686,333,1019,1412,72.17%,697,268,965
"Judge, County Criminal Court No. 16",0981,12,2,14,31,45.16%,0,13,13
"Judge, County Criminal Court No. 16",0982,1898,501,2399,2916,82.27%,1811,492,2303
"Judge, County Criminal Court No. 16",0983,55,17,82,198,41.41,%,44,36,80
"Judge, County Criminal Court No. 16",0984,75,57,133,341,39.00%,13,118,131
"Judge, County Criminal Court No. 16",0985,222,56,278,355,78.31%,130,131,261
"Judge, County Criminal Court No. 16",0986,153,78,231,537,43.02%,26,198,224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0987,476,130,606,1183,51.23%,41,541,582
"Judge, County Criminal Court No. 16",0988,62,15,77,117,65.81%,68,5,73
"Judge, County Criminal Court No. 16",0989,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",0990,5,6,11,66,16.67%,4,7,11
"Judge, County Criminal Court No. 16",0991,0,1,1,2,50.00%,0,1,1
"Judge, County Criminal Court No. 16",0992,456,106,562,1075,52,28%,268,262,530
"Judge, County Criminal Court No. 16",0993,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",0994,56,12,68,75,90.67%,21,45,66
"Judge, County Criminal Court No. 16",0995,753,193,946,1576,60.03%,107,802,909
"Judge, County Criminal Court No. 16",0996,403,70,473,708,66.81%,256,188,444
"Judge, County Criminal Court No. 16",0997,521,283,804,1909,42.12%,146,637,783
"Judge, County Criminal Court No. 16",0998,24,12,36,68,52.94%,24,11,35
"Judge, County Criminal Court No. 16",0999,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",1000,122,22,144,428,33.64%,27,112,139
"Judge, County Criminal Court No. 16",1001,519,280,799,1654,48.31%,164,596,760
"Judge, County Criminal Court No. 16",1002,480,270,750,1804,41.57%,108,600,708
"Judge, County Criminal Court No. 16",1,003,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",1004,349,114,463,691,67.00%,223,214,437
"Judge, County Criminal Court No. 16",1,005,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",1,006,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",1007,694,306,1000,1775,56.34%,234,723,957
"Judge, County Criminal Court No. 16",1008,620,107,727,1011,71.91%,557,137,694
"Judge, County Criminal Court No. 16",1,009,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",1010,292,96,388,647,59.97%,82,294,376
"Judge, County Criminal Court No. 16",1011,9,6,15,31,48.39%,8,7,15
"Judge, County Criminal Court No. 16",1012,543,362,905,1633,55.42%,231,624,855
"Judge, County Criminal Court No. 16",Totals:,981446,353327,1334773,2182980,620944,647982,1268926
