Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0228,630,159,789,1175,67.15%,41,716,9,7,1,0,0,0
President and Vice President,0229,230,168,398,828,48.07%,96,266,13,5,0,0,0,0
President and Vice President,0230,355,155,520,1094,47.53%,26,479,4,6,0,0,0,0
President and Vice President,0231,806,445,1251,2376,52.65%,236,956,28,8,1,1,0,0
President and Vice President,0232,947,438,1385,1826,75.85%,562,713,50,13,1,0,0,0
President and Vice President,0233,2595,703,3298,4713,69.98%,1127,1881,165,26,1,0,0,0
President and Vice President,0234,2441,728,3169,4042,78.40%,1925,1041,78,11,1,0,0,0
President and Vice President,0235,461,203,664,1421,46.73%,27,611,4,7,0,0,0,0
President and Vice President,0236,555,308,964,2104,45.82%,46,874,8,6,0,0,0,0
President and Vice President,0237,743,312,1055,2146,49.16%,18,1000,12,9,0,0,0,0
President and Vice President,0238,607,317,924,1948,47.43%,29,861,7,6,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0239,694,334,1028,1984,51.81%,28,961,8,10,0,0,0,0
President and Vice President,0240,1008,292,1300,2601,49.98%,23,1229,8,8,0,0,0,0
President and Vice President,0241,652,383,1035,2466,41,97%,303,678,20,8,0,0,0,0
President and Vice President,0242,507,314,821,1744,47.08%,338,428,18,9,0,0,0,0
President and Vice President,0243,245,42,287,475,60.42%,5,278,1,0,0,0,0,0
President and Vice President,0244,1413,538,1951,3296,59.19%,814,975,71,27,3,0,0,0
President and Vice President,0245,2106,811,2917,4679,62.34%,1672,1018,131,25,0,0,0,0
President and Vice President,0246,2217,482,2699,3971,67.97%,1522,992,86,23,1,0,0,0
President and Vice President,0247,441,376,817,1595,51.22%,17,772,6,7,0,0,0,0
President and Vice President,0248,455,347,802,2147,37.35%,165,597,18,6,0,0,0,0
President and Vice President,0249,1129,365,1494,2825,52.88%,896,521,31,15,0,0,0,0
President and Vice President,0250,289,183,472,925,51.03%,20,439,6,3,0,0,0,0
President and Vice President,0251,806,378,1184,2132,55.53%,73,1073,10,10,0,0,0,0
President and Vice President,0252,927,309,1236,2292,53.93%,35,1166,12,12,0,0,0,0
President and Vice President,0253,750,311,1071,2154,49.72%,31,1016,3,4,0,0,0,0
President and Vice President,0254,411,280,691,1675,41.25%,127,524,15,6,0,0,0,0
President and Vice President,0255,1263,586,1849,2489,74.29%,620,1097,64,13,2,0,0,0
President and Vice President,0256,1402,583,1985,3321,59.77%,592,1256,49,38,0,0,0,0
President and Vice President,0257,999,622,1621,3497,46.35%,329,1205,32,18,0,0,0,0
President and Vice President,0258,1958,608,2555,3346,76.69%,1556,837,77,13,0,0,0,0
President and Vice President,0259,1031,414,1445,2312,62.50%,35,1365,10,14,0,0,0,0
President and Vice President,0260,549,227,776,1300,59.69%,322,395,22,8,0,0,0,0
President and Vice President,0261,442,531,973,1457,66.78%,237,679,14,10,0,0,0,0
President and Vice President,0262,1857,676,2533,4397,57.61%,1171,1180,91,27,1,1,0,0
President and Vice President,0263,2214,665,2879,4016,71.69%,1849,819,97,25,3,0,0,0
President and Vice President,0254,1115,527,1743,3101,56.21%,782,852,58,13,1,0,0,0
President and Vice President,0265,2002,608,2610,3582,72.86%,1522,906,74,16,0,0,0,0
President and Vice President,0266,738,443,1181,2147,55.01%,412,714,26,10,0,0,0,0
President and Vice President,0267,421,293,714,1433,49.83%,232,438,18,10,0,0,0,0
President and Vice President,0268,1187,689,1876,2528,74.21%,778,953,63,13,2,1,0,0
President and Vice President,0269,1312,365,1677,2114,79.33%,1059,494,44,5,0,0,0,0
President and Vice President,0270,1819,688,2507,3985,62.91%,1088,1252,77,27,1,2,0,0
President and Vice President,0271,1150,346,1496,2558,58.48%,29,1417,11,9,0,0,0,0
President and Vice President,0272,873,415,1288,2334,55.18%,375,819,44,15,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0273,1186,647,1833,2485,73.76%,1212,499,57,7,2,0,0,0
President and Vice President,0274,1273,311,1584,2223,71.26%,809,640,58,17,0,0,0,0
President and Vice President,0275,587,334,921,2059,44.73%,140,747,10,8,0,0,0,0
President and Vice President,0276,1028,255,1283,2458,52.20%,19,1228,3,9,0,0,0,0
President and Vice President,0277,575,338,913,1898,48.10%,303,553,24,13,0,0,0,0
President and Vice President,0278,1060,469,1529,2602,58.76%,589,844,39,28,0,0,0,1
President and Vice President,0279,791,314,1105,2073,53.30%,587,445,44,8,0,0,0,0
President and Vice President,0280,444,362,806,1656,48.67%,193,563,21,9,0,0,0,0
President and Vice President,0281,1298,590,1888,2507,75.31%,640,1111,59,15,0,0,0,0
President and Vice President,0282,783,604,1387,2144,64.69%,642,623,57,13,0,0,0,0
