Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0216,779,244,1023,1966,52.03%,0,1002
President and Vice President,0217,1565,618,2183,2736,79.79%,0,2093
President and Vice President,0218,1101,457,1558,2467,63.15%,0,1525
President and Vice President,0219,1131,515,1646,2868,57.39%,0,1609
President and Vice President,0220,833,306,1139,2362,48.22%,0,1122
President and Vice President,0221,1033,473,1506,2598,57.97%,0,1475
President and Vice President,0222,1485,671,2156,2728,79.03%,0,2099
President and Vice President,0223,1775,517,2292,3664,62.55%,0,2257
President and Vice President,0224,1179,495,1674,2313,72.37%,0,1629
President and Vice President,0225,1358,596,1954,3689,52.97%,0,1927
President and Vice President,0226,842,421,1263,2554,49.45%,0,1243
President and Vice President,0227,1075,359,1434,1810,79.23%,0,1379
President and Vice President,0228,630,159,789,1175,67.15%,0,774
President and Vice President,0229,230,168,398,828,48.07%,0,381
President and Vice President,0230,355,165,520,1094,47.53%,0,515
President and Vice President,0231,806,445,1251,2376,52.65%,0,1230
President and Vice President,0232,947,438,1385,1826,75.85%,0,1342
President and Vice President,0233,2595,703,3298,4713,69.98%,0,3225
President and Vice President,0234,2441,728,3169,4042,78.40%,0,3075
President and Vice President,0235,461,203,664,1421,46.73%,0,650
President and Vice President,0236,656,308,964,2104,45.82%,0,934
President and Vice President,0237,743,312,1055,2146,49.16%,0,1039
President and Vice President,0238,607,317,924,1948,47.43%,0,903
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Tony Valdivia I Aaron Barriere,Totals
President and Vice President,0239,694,334,1028,1984,51.81%,0,1007
President and Vice President,0240,1008,292,1300,2601,49.98%,0,1268
President and Vice President,0241,652,383,1035,2466,41.97%,0,1014
President and Vice President,0242,507,314,821,1744,47.08%,0,796
President and Vice President,0243,245,42,287,475,60.42%,0,284
President and Vice President,0244,1413,538,1951,3296,59.19%,0,1901
President and Vice President,0245,2106,811,2917,4679,62.34%,0,2856
President and Vice President,0246,2217,482,2699,3971,67.97%,0,2644
President and Vice President,0247,441,376,817,1595,51.22%,0,802
President and Vice President,0248,455,347,802,2147,37.35%,0,786
President and Vice President,0249,1129,365,1494,2825,52.88%,0,1466
President and Vice President,0250,289,183,472,925,51.03%,0,468
President and Vice President,0251,806,378,1184,2132,55.53%,0,1167
President and Vice President,0252,927,309,1236,2292,53.93%,0,1225
President and Vice President,0253,760,311,1071,2154,49.72%,0,1054
President and Vice President,0254,411,280,691,1675,41.25%,0,674
President and Vice President,0255,1263,586,1849,2489,74.29%,0,1816
President and Vice President,0256,1402,583,1985,3321,59.77%,0,1945
President and Vice President,0257,999,622,1621,3497,46.35%,0,1584
President and Vice President,0258,1958,608,2566,3346,76.69%,0,2501
President and Vice President,0259,1031,414,1445,2312,62.50%,0,1425
President and Vice President,0260,549,227,776,1300,59.69%,0,751
President and Vice President,0261,442,531,973,1457,66.78%,0,945
President and Vice President,0262,1857,676,2533,4397,57.61%,0,2476
President and Vice President,0263,2214,665,2879,4016,71.69%,0,2823
President and Vice President,0264,1116,627,1743,3101,56.21%,0,1713
President and Vice President,0265,2002,608,2610,3582,72.86%,0,2533
President and Vice President,0266,738,443,1181,2147,55.01%,0,1163
President and Vice President,0267,421,293,714,1433,49.83%,0,698
President and Vice President,0268,1187,689,1876,2528,74.21%,0,1822
President and Vice President,0269,1312,365,1677,2114,79.33%,0,1612
President and Vice President,0270,1819,688,2507,3985,62.91%,0,2458
President and Vice President,0271,1150,346,1496,2558,58.48%,0,1466
President and Vice President,0272,873,415,1288,2334,55.18%,0,1256
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Tony Valdivia I Aaron Barriere,Totals
President and Vice President,0273,1186,647,1833,2485,73.76%,0,1780
President and Vice President,0274,1273,311,1584,2223,71.26%,0,1532
President and Vice President,0275,587,334,921,2059,44.73%,0,906
President and Vice President,0276,1028,255,1283,2458,52.20%,0,1259
President and Vice President,0277,575,338,913,1898,48.10%,0,896
President and Vice President,0278,1060,469,1529,2602,58.76%,0,1502
President and Vice President,0279,791,314,1105,2073,53.30%,0,1086
President and Vice President,0280,444,362,806,1656,48.67%,0,788
President and Vice President,0281,1298,590,1888,2507,75.31%,0,1836
President and Vice President,0282,783,604,1387,2144,64.69%,0,1340
President and Vice President,0283,2354,1143,3497,6365,54.94%,0,3429
President and Vice President,0284,1600,574,2174,4079,53.30%,0,2112
President and Vice President,0285,1080,431,1511,2680,56.38%,0,1489
President and Vice President,0286,1715,545,2260,3757,60.15%,0,2226
President and Vice President,0287,854,408,1262,1658,76.12%,0,1224
President and Vice President,0288,883,314,1197,2208,54.21%,0,1175
President and Vice President,0289,483,352,835,1584,52.71%,0,819
President and Vice President,0290,705,332,1037,1623,63.89%,0,1022
President and Vice President,0291,608,233,841,1218,69.05%,0,824
President and Vice President,0292,550,178,728,1379,52.79%,0,713
President and Vice President,0293,780,475,1255,1811,69.30%,0,1233
President and Vice President,0294,852,198,1050,2054,51.12%,0,1026
President and Vice President,0295,270,111,381,894,42.62%,0,372
President and Vice President,0296,704,385,1089,1705,63.87%,0,1061
President and Vice President,0297,736,341,1077,2055,52.41%,0,1053
President and Vice President,0298,1102,387,1489,2236,66.59%,0,1461
President and Vice President,0299,499,236,735,1506,48.80%,0,717
President and Vice President,0300,3388,728,4116,5480,75.11%,0,4.042
President and Vice President,0301,739,392,1131,2337,48.40%,0,1098
President and Vice President,0302,1201,591,1792,3277,54.68%,0,1756
President and Vice President,0303,1923,692,2615,3375,77.48%,0,2541
President and Vice President,0304,1199,474,1673,2326,71.93%,0,1627
President and Vice President,0305,2159,645,2804,4838,57.96%,0,2746
President and Vice President,0306,1106,299,1405,1896,74.10%,0,1370
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Tony Valdivia I Aaron Barriere,Totals
President and Vice President,0307,1463,801,2264,3270,69.24%,0,2221
President and Vice President,0308,527,225,752,1457,51.61%,0,740
President and Vice President,0309,2174,591,2765,3495,79.11%,0,2700
President and Vice President,0310,712,326,1038,1464,70.90%,0,1012
President and Vice President,0311,942,643,1585,3222,49.19%,0,1551
President and Vice President,0312,1719,552,2271,3724,60.98%,0,2226
President and Vice President,0313,23,8,31,61,50.82%,0,30
President and Vice President,0314,3005,817,3822,5606,68.18%,0,3763
President and Vice President,0315,812,353,1165,1636,71.21%,0,1136
President and Vice President,0316,747,340,1087,1513,71.84%,0,1070
President and Vice President,0317,596,252,848,1661,51.05%,0,829
President and Vice President,0318,1730,529,2259,3776,59.83%,0,2220
President and Vice President,0319,996,271,1267,2199,57.62%,0,1247
President and Vice President,0320,557,238,795,1570,50.64%,0,781
President and Vice President,0321,867,363,1230,2483,49.54%,0,1201
President and Vice President,0322,426,124,550,1210,45.45%,0,546
President and Vice President,0323,702,296,998,1793,55.66%,0,971
President and Vice President,0324,1454,560,2014,2607,77.25%,0,1971
President and Vice President,0325,804,257,1061,2176,48.76%,0,1040
President and Vice President,0326,271,129,400,736,54.35%,0,392
President and Vice President,0327,740,141,881,1758,50.11%,0,855
President and Vice President,0328,425,286,711,1631,43.59%,0,696
President and Vice President,0329,592,260,852,1621,52.56%,0,839
President and Vice President,0330,865,326,1191,2146,55.50%,0,1166
President and Vice President,0331,889,234,1123,1612,69.67%,0,1107
President and Vice President,0332,1360,503,1863,2926,63.67%,0,1832
President and Vice President,0333,1392,942,2334,3296,70.81%,0,2310
President and Vice President,0334,247,104,351,786,44.66%,0,345
President and Vice President,0335,494,293,787,1679,46.87%,0,767
President and Vice President,0336,2496,689,3185,4771,66.76%,0,3152
President and Vice President,0337,371,155,526,1108,47.47%,0,511
President and Vice President,0338,1628,632,2260,5001,45.19%,0,2208
President and Vice President,0339,705,303,1008,1909,52.80%,0,981
President and Vice President,0340,2049,654,2703,4012,67.37%,0,2656
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Tony Valdivia I Aaron Barriere,Totals
President and Vice President,0341,380,278,658,1372,47.96%,0,645
President and Vice President,0342,312,225,537,1092,49.18%,0,522
President and Vice President,0343,725,370,1095,2099,52.17%,0,1060
President and Vice President,0344,381,207,588,1225,48.00%,0,580
President and Vice President,0345,582,349,931,1945,47.87%,0,910
President and Vice President,0346,1,0,1,1,100.00%,0,1
President and Vice President,0347,1463,618,2081,3614,57.58%,0,2045
President and Vice President,0348,833,242,1075,1796,59.86%,0,1058
President and Vice President,0349,459,369,828,1372,60.35%,0,811
President and Vice President,0350,1709,582,2291,3269,70.08%,0,2258
President and Vice President,0351,2865,570,3435,4799,71.58%,0,3383
President and Vice President,0352,2025,538,2563,4278,59.91%,0,2519
President and Vice President,0353,1715,659,2374,4156,57.12%,0,2332
President and Vice President,0354,1575,429,2004,3520,56.93%,0,1968
President and Vice President,0355,823,239,1062,1714,61.96%,0,1043
President and Vice President,0356,1551,582,2133,3126,68.23%,0,2082
President and Vice President,0357,1889,557,2446,3685,66.38%,0,2402
President and Vice President,0358,775,376,1151,2634,43.70%,0,1128
President and Vice President,0359,806,496,1302,3320,39.22%,0,1274
President and Vice President,0360,1872,597,2469,3309,74.61%,0,2418
President and Vice President,0361,339,688,1027,1808,56.80%,0,1012
President and Vice President,0362,2872,553,3425,5161,66.36%,0,3347
President and Vice President,0363,1826,635,2461,4160,59.16%,0,2423
President and Vice President,0364,1192,528,1720,2827,60.84%,0,1685
President and Vice President,0365,829,174,1003,1348,74.41%,0,985
President and Vice President,0366,989,524,1513,2887,52.41%,0,1473
President and Vice President,0367,457,204,661,1256,52.63%,0,651
President and Vice President,0368,433,122,555,1024,54.20%,0,545
President and Vice President,0369,137,29,166,678,24.48%,0,165
President and Vice President,0370,2526,627,3153,4531,69.59%,0,3102
President and Vice President,0371,210,78,288,537,53.63%,0,284
President and Vice President,0372,511,180,691,1274,54.24%,0,675
President and Vice President,0373,61,13,74,163,45.40%,0,70
President and Vice President,0374,176,165,341,720,47.36%,0,334
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Tony Valdivia I Aaron Barriere,Totals
President and Vice President,0375,748,510,1258,2836,44.36%,0,1238
President and Vice President,0376,755,344,1099,2060,53.35%,0,1078
President and Vice President,0377,1384,643,2027,3137,64.62%,0,1985
President and Vice President,0378,623,447,1070,1856,57.65%,0,1042
President and Vice President,0379,858,388,1246,2149,57.98%,0,1225
President and Vice President,0380,2745,551,3296,4380,75.25%,0,3263
President and Vice President,0381,1187,432,1619,3141,51.54%,0,1585
President and Vice President,0382,429,206,635,1035,61.35%,0,629
President and Vice President,0383,723,458,1181,2373,49.77%,1,1151
President and Vice President,0384,1156,444,1600,2725,58.72%,0,1565
President and Vice President,0385,1151,561,1712,2207,77.57%,0,1660
President and Vice President,0386,1660,419,2079,3105,66.96%,1,2057
President and Vice President,0387,1707,780,2487,4340,57.30%,0,2447
President and Vice President,0388,2904,711,3615,5413,66.78%,0,3550
President and Vice President,0389,408,293,701,1359,51.58%,0,691
President and Vice President,0390,712,271,983,1482,66.33%,0,962
President and Vice President,0391,994,336,1330,1978,67.24%,0,1301
President and Vice President,0392,653,145,798,1426,55.96%,0,781
President and Vice President,0393,429,257,686,1274,53.85%,0,678
President and Vice President,0394,236,126,362,914,39.61%,0,351
President and Vice President,0395,1009,371,1380,1875,73.60%,0,1358
President and Vice President,0396,1036,204,1240,2072,59.85%,0,1227
President and Vice President,0397,204,117,321,796,40.33%,0,313
President and Vice President,0398,1765,654,2419,4200,57.60%,0,2374
President and Vice President,0399,1295,546,1841,3340,55.12%,0,1810
President and Vice President,0400,1476,372,1848,2661,69.45%,0,1816
President and Vice President,0401,703,257,960,1971,48.71%,0,931
President and Vice President,0402,898,262,1160,1911,60.70%,0,1141
President and Vice President,0403,966,387,1353,1719,78.71%,0,1334
President and Vice President,0404,1035,445,1480,2717,54.47%,0,1444
President and Vice President,0405,1914,457,2371,3067,77.31%,0,2346
President and Vice President,0406,275,65,340,649,52.39%,0,333
President and Vice President,0407,1705,860,2565,3969,64.63%,0,2512
President and Vice President,0408,522,313,835,1740,47.99%,0,816
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Tony Valdivia I Aaron Barriere,Totals
President and Vice President,0409,501,280,781,1608,48.57%,0,759
President and Vice President,0410,382,96,478,934,51.18%,0,472
President and Vice President,0411,699,418,1117,2426,46.04%,0,1076
President and Vice President,0412,156,80,236,478,49.37%,0,232
President and Vice President,0413,1552,456,2008,3081,65.17%,0,1979
President and Vice President,0414,1581,514,2095,3586,58.42%,0,2058
President and Vice President,0415,1081,573,1654,2284,72.42%,0,1630
President and Vice President,0416,1447,845,2292,4009,57.17%,0,2249
President and Vice President,0417,1108,397,1505,2589,58.13%,0,1478
President and Vice President,0418,1338,663,2001,3940,50.79%,0,1950
President and Vice President,0419,1172,477,1649,2702,61.03%,0,1617
President and Vice President,0420,2692,731,3423,4946,69.21%,0,3382
President and Vice President,0421,1242,273,1515,2023,74.89%,0,1492
President and Vice President,0422,1368,401,1769,3348,52.84%,0,1743
President and Vice President,0423,316,288,604,1423,42.45%,0,587
President and Vice President,0424,549,158,707,1079,65.52%,0,690
President and Vice President,0425,259,139,398,878,45.33%,0,393
President and Vice President,0426,490,228,718,1266,56.71%,0,704
President and Vice President,0427,440,155,595,1120,53.13%,0,584
President and Vice President,0428,1691,865,2556,5151,49.62%,0,2497
President and Vice President,0429,949,649,1598,3311,48.26%,0,1546
President and Vice President,0430,529,291,820,1794,45.71%,0,798
President and Vice President,0431,1223,604,1827,3860,47.33%,0,1778
President and Vice President,0432,459,249,708,1568,45.15%,0,700
President and Vice President,0433,163,88,251,561,44.74%,0,248
President and Vice President,0434,836,293,1129,1557,72.51%,0,1108
President and Vice President,0435,1971,567,2538,3363,75.47%,0,2469
President and Vice President,0436,2022,678,2700,3809,70.88%,0,2646
President and Vice President,0437,1161,425,1586,2094,75.74%,0,1551
President and Vice President,0438,2306,475,2781,3789,73.40%,0,2712
President and Vice President,0439,1861,749,2610,3701,70.52%,0,2547
President and Vice President,0440,1506,749,2255,2973,75.85%,0,2198
President and Vice President,0441,830,408,1238,1695,73.04%,0,1189
President and Vice President,0442,2447,685,3132,4315,72.58%,0,3059
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Tony Valdivia I Aaron Barriere,Totals
President and Vice President,0443,416,83,499,642,77.73%,0,485
President and Vice President,0444,1627,679,2306,3625,63.61%,1,2252
President and Vice President,0445,1038,382,1420,2134,66.54%,0,1384
President and Vice President,0446,89,45,134,309,43.37%,0,127
President and Vice President,0447,2416,464,2880,3727,77.27%,0,2839
President and Vice President,0448,1770,529,2299,3155,72.87%,0,2263
President and Vice President,0449,73,26,99,225,44.00%,0,98
President and Vice President,0450,1106,394,1500,2890,51.90%,0,1462
President and Vice President,0451,1724,367,2091,2771,75.46%,0,2034
President and Vice President,0452,1876,662,2538,3789,66.98%,0,2505
President and Vice President,0453,666,417,1083,2039,53.11%,0,1060
President and Vice President,0454,1043,288,1331,2509,53.05%,0,1312
President and Vice President,0455,669,173,842,1713,49.15%,0,827
President and Vice President,0456,1407,553,1960,3793,51.67%,0,1938
President and Vice President,0457,0,0,0,0,0.00%,0,0
President and Vice President,0458,918,253,1171,2025,57.83%,0,1151
President and Vice President,0459,2372,432,2804,3942,71.13%,0,2734
President and Vice President,0460,1617,472,2089,3280,63.69%,0,2054
President and Vice President,0461,2261,669,2930,4054,72.27%,0,2846
President and Vice President,0462,1483,738,2221,3507,63.33%,0,2181
President and Vice President,0463,1680,564,2244,3773,59.48%,0,2213
President and Vice President,0464,972,582,1554,2343,66.33%,0,1517
President and Vice President,0465,1633,594,2227,3778,58.95%,0,2179
President and Vice President,0466,2282,509,2791,4327,64.50%,0,2716
President and Vice President,0467,502,225,727,1320,55.08%,0,717
President and Vice President,0468,1385,747,2132,4040,52.77%,0,2088
President and Vice President,0469,1881,462,2343,3257,71.94%,0,2288
President and Vice President,0470,556,232,788,1358,58.03%,0,775
President and Vice President,0471,1057,458,1515,2473,61.26%,0,1496
President and Vice President,0472,472,339,811,1131,71.71%,0,795
President and Vice President,0473,945,390,1335,1787,74.71%,0,1312
President and Vice President,0474,1424,624,2048,3127,65.49%,0,2020
President and Vice President,0475,791,261,1052,1936,54.34%,0,1028
President and Vice President,0476,1081,405,1486,2458,60.46%,0,1451
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Tony Valdivia I Aaron Barriere,Totals
President and Vice President,0477,2034,640,2674,4010,66.68%,0,2616
President and Vice President,0478,2280,683,2963,4696,63.10%,0,2907
President and Vice President,0479,1979,755,2734,3851,70.99%,0,2675
President and Vice President,0480,1450,538,1988,2978,66.76%,0,1943
President and Vice President,0481,1761,667,2428,3609,67.28%,0,2390
President and Vice President,0482,2260,618,2878,4405,65.33%,0,2834
President and Vice President,0483,2328,538,2866,4495,63.76%,0,2810
President and Vice President,0484,2030,700,2730,3981,68.58%,0,2680
President and Vice President,0485,2121,567,2688,4051,66.35%,0,2666
President and Vice President,0486,2312,721,3033,4195,72.30%,0,2980
President and Vice President,0487,1410,527,1937,4142,46.76%,0,1878
President and Vice President,0488,843,511,1354,2382,56.84%,0,1332
President and Vice President,0489,866,344,1210,1958,61.80%,0,1191
President and Vice President,0490,985,346,1331,2105,63.23%,0,1303
President and Vice President,0491,959,488,1447,2110,68.58%,0,1411
President and Vice President,0492,1231,396,1627,2552,63.75%,0,1593
President and Vice President,0493,1408,555,1963,3338,58.81%,0,1924
President and Vice President,0494,1079,419,1498,2787,53.75%,0,1471
President and Vice President,0495,1420,376,1796,2488,72.19%,0,1759
President and Vice President,0496,687,549,1236,2325,53.16%,0,1207
President and Vice President,0497,916,281,1197,2148,55.73%,0,1175
President and Vice President,0498,1077,423,1500,2527,59.36%,0,1474
President and Vice President,0499,1442,397,1839,2336,78.72%,0,1801
President and Vice President,0500,1874,651,2525,3698,68.28%,0,2477
President and Vice President,0501,1154,406,1560,2016,77.38%,0,1531
President and Vice President,0502,1368,293,1661,2595,64.01%,0,1640
President and Vice President,0503,1402,306,1708,2236,76.39%,0,1681
President and Vice President,0504,1282,482,1764,2318,76.10%,0,1724
President and Vice President,0505,1758,735,2493,4076,61.16%,0,2436
President and Vice President,0506,1516,696,2212,3544,62.42%,0,2166
President and Vice President,0507,601,319,920,2562,35.91%,0,900
President and Vice President,0508,1529,828,2357,4767,49.44%,0,2285
President and Vice President,0509,2510,669,3179,5153,61.69%,0,3126
President and Vice President,0510,1716,666,2382,3822,62.32%,0,2343
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Tony Valdivia I Aaron Barriere,Totals
President and Vice President,0511,2937,574,3511,4620,76.00%,0,3461
President and Vice President,0512,1670,871,2541,4559,55.74%,0,2486
President and Vice President,0513,1760,413,2173,3003,72.36%,1,2115
President and Vice President,0514,2296,613,2909,4378,66.45%,0,2858
President and Vice President,0515,1843,468,2311,3182,72.63%,0,2250
President and Vice President,0516,1319,363,1682,2799,60.09%,0,1653
President and Vice President,0517,1615,509,2124,3744,56.73%,0,2087
President and Vice President,0518,1889,676,2565,4049,63.35%,0,2517
President and Vice President,0519,1425,518,1943,3098,62.72%,0,1893
President and Vice President,0520,1800,670,2470,5202,47.48%,0,2423
President and Vice President,0521,1353,578,1931,3070,62.90%,0,1896
President and Vice President,0522,1515,464,1979,2815,70.30%,0,1943
President and Vice President,0523,1986,537,2523,4027,62.65%,0,2481
President and Vice President,0524,1401,637,2038,3598,56.64%,0,1996
President and Vice President,0525,1446,574,2020,3260,61.96%,0,1981
President and Vice President,0526,238,157,395,820,48.17%,0,381
President and Vice President,0527,156,38,194,580,33.45%,0,188
President and Vice President,0528,17,8,25,78,32.05%,0,24
President and Vice President,0529,2110,434,2544,3842,66.22%,0,2496
President and Vice President,0530,377,212,589,1236,47.65%,0,578
President and Vice President,0531,1235,166,1401,2250,62.27%,0,1376
President and Vice President,0532,481,140,621,1058,58.70%,0,609
President and Vice President,0533,353,169,522,1164,44.85%,0,510
President and Vice President,0534,1901,577,2478,3918,63.25%,0,2438
President and Vice President,0535,132,62,194,413,46.97%,0,187
President and Vice President,0536,2110,1053,3163,5637,56.11%,0,3091
President and Vice President,0537,1961,464,2425,3174,76.40%,0,2373
President and Vice President,0538,372,203,575,1332,43.17%,0,562
President and Vice President,0539,811,234,1045,1535,68.08%,0,1028
President and Vice President,0540,1017,349,1366,1759,77.66%,0,1341
President and Vice President,0541,2174,761,2935,5001,58.69%,0,2885
President and Vice President,0542,1157,406,1563,2654,58.89%,0,1539
President and Vice President,0543,554,321,875,1658,52.77%,0,856
President and Vice President,0544,84,54,138,313,44.09%,0,137
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Tony Valdivia I Aaron Barriere,Totals
President and Vice President,0545,2023,468,2491,3949,63.08%,0,2438
President and Vice President,0546,1525,278,1803,2471,72.97%,0,1752
President and Vice President,0547,1416,270,1686,2534,66.54%,0,1645
President and Vice President,0548,883,395,1278,2339,54.64%,0,1256
President and Vice President,0549,1106,447,1553,2786,55.74%,0,1530
President and Vice President,0550,1179,553,1732,3245,53.37%,0,1706
President and Vice President,0551,2595,793,3388,4428,76.51%,0,3315
President and Vice President,0552,2095,784,2879,3762,76.53%,0,2838
President and Vice President,0553,964,317,1281,2193,58.41%,0,1263
President and Vice President,0554,597,271,868,1774,48.93%,0,851
President and Vice President,0555,642,390,1032,2286,45.14%,0,999
President and Vice President,0556,760,435,1195,2491,47.97%,0,1171
President and Vice President,0557,925,460,1385,2955,46.87%,0,1339
President and Vice President,0558,1821,721,2542,4718,53.88%,0,2488
President and Vice President,0559,1923,701,2624,4984,52.65%,0,2589
President and Vice President,0560,290,247,537,1141,47.06%,0,530
President and Vice President,0561,1027,624,1651,3138,52.61%,0,1623
President and Vice President,0562,222,116,338,691,48.91%,0,330
President and Vice President,0563,2083,337,2420,3468,69.78%,0,2361
President and Vice President,0564,1579,526,2105,3240,64.97%,0,2066
President and Vice President,0565,339,148,487,1414,34.44%,0,477
President and Vice President,0566,1192,441,1633,3029,53.91%,0,1602
President and Vice President,0567,967,390,1357,2851,47.60%,0,1324
President and Vice President,0568,1841,697,2538,3638,69.76%,0,2482
President and Vice President,0569,2050,747,2797,4125,67.81%,0,2734
President and Vice President,0570,771,278,1049,1598,65.64%,0,1029
President and Vice President,0571,521,314,835,1950,42.82%,0,824
President and Vice President,0572,1542,444,1986,3308,60.04%,0,1957
President and Vice President,0573,490,215,705,1625,43.38%,0,696
President and Vice President,0574,112,74,186,391,47.57%,0,180
President and Vice President,0575,1909,535,2444,3557,68.71%,0,2413
President and Vice President,0576,1112,375,1487,2830,52.54%,0,1461
President and Vice President,0577,887,205,1092,1586,68.85%,0,1076
President and Vice President,0578,1029,405,1434,1862,77.01%,0,1404
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Tony Valdivia I Aaron Barriere,Totals
President and Vice President,0579,287,181,468,1139,41.09%,0,454
President and Vice President,0580,366,108,474,985,48.12%,0,460
President and Vice President,0581,457,137,594,1033,57.50%,0,588
President and Vice President,0582,543,232,775,1607,48.23%,0,755
President and Vice President,0583,434,155,589,1286,45.80%,0,576
President and Vice President,0584,367,120,487,1062,45.86%,0,480
President and Vice President,0585,830,280,1110,2346,47.31%,0,1095
President and Vice President,0586,1794,790,2584,4521,57.16%,0,2539
President and Vice President,0587,1210,431,1641,2870,57.18%,0,1610
President and Vice President,0588,1946,606,2552,3780,67.51%,0,2511
President and Vice President,0589,1544,545,2089,3780,55.26%,0,2054
President and Vice President,0590,1231,400,1631,2176,74.95%,0,1588
President and Vice President,0591,652,462,1114,2274,48.99%,0,1094
President and Vice President,0592,449,272,721,1446,49.86%,0,694
President and Vice President,0593,1562,755,2317,4179,55.44%,0,2274
President and Vice President,0594,1252,316,1568,2578,60.82%,0,1541
President and Vice President,0595,602,299,901,1833,49.15%,0,885
President and Vice President,0596,1381,501,1882,3574,52.66%,0,1837
President and Vice President,0597,1207,609,1816,3587,50.63%,0,1765
President and Vice President,0598,2391,731,3122,5253,59.43%,0,3050
President and Vice President,0599,1380,493,1873,3005,62.33%,0,1837
President and Vice President,0600,1604,776,2380,4204,56.61%,0,2336
President and Vice President,0601,2229,670,2899,4151,69.84%,0,2827
President and Vice President,0602,756,234,990,1441,68.70%,0,967
President and Vice President,0603,2349,725,3074,4666,65.88%,0,2998
President and Vice President,0604,1820,375,2195,3189,68.83%,0,2148
President and Vice President,0605,1714,599,2313,4217,54.85%,0,2267
President and Vice President,0606,319,111,430,970,44.33%,0,418
President and Vice President,0607,163,51,214,712,30.06%,0,208
President and Vice President,0608,156,77,233,570,40.88%,0,230
President and Vice President,0609,2042,729,2771,4305,64.37%,0,2712
President and Vice President,0610,670,343,1013,2086,48.56%,0,993
President and Vice President,0611,980,229,1209,2527,47.84%,0,1184
President and Vice President,0612,1934,431,2365,3388,69.81%,0,2309
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Tony Valdivia I Aaron Barriere,Totals
President and Vice President,0613,939,339,1278,2368,53.97%,0,1243
President and Vice President,0614,1953,645,2598,4566,56.90%,0,2547
President and Vice President,0615,1076,301,1377,2086,66.01%,0,1343
President and Vice President,0616,1814,611,2425,3516,68.97%,0,2388
President and Vice President,0617,1708,650,2358,4179,56.42%,1,2324
President and Vice President,0618,1701,545,2246,3801,59.09%,0,2209
President and Vice President,0619,2799,663,3462,4916,70.42%,0,3395
President and Vice President,0620,1760,333,2093,3318,63.08%,0,2053
President and Vice President,0621,539,200,739,1272,58.10%,0,717
President and Vice President,0622,2141,591,2732,4562,59.89%,0,2670
President and Vice President,0623,1965,461,2426,3919,61.90%,0,2374
President and Vice President,0624,299,59,358,456,78.51%,0,353
President and Vice President,0625,932,372,1304,1864,69.96%,0,1280
President and Vice President,0626,2310,784,3094,4816,64.24%,0,3027
President and Vice President,0627,938,649,1587,3235,49.06%,0,1539
President and Vice President,0628,721,545,1266,2420,52.31%,0,1249
President and Vice President,0629,162,96,258,750,34.40%,0,253
President and Vice President,0630,2682,541,3223,4738,68.02%,0,3184
President and Vice President,0631,1849,398,2247,3263,68.86%,0,2205
President and Vice President,0632,4,1,5,241,2.07%,0,5
President and Vice President,0633,2287,601,2888,3912,73.82%,0,2836
President and Vice President,0634,1439,499,1938,3259,59.47%,0,1902
President and Vice President,0635,1652,520,2172,3512,61.85%,0,2128
President and Vice President,0636,2304,922,3226,4569,70.61%,0,3166
President and Vice President,0637,1100,423,1523,2591,58.78%,0,1490
President and Vice President,0638,855,348,1203,2310,52.08%,0,1181
President and Vice President,0639,1389,284,1673,2560,65.35%,0,1645
President and Vice President,0640,1620,615,2235,3927,56.91%,0,2198
President and Vice President,0641,1640,683,2323,3840,60.49%,0,2279
President and Vice President,0642,1031,270,1301,1783,72.97%,0,1278
President and Vice President,0643,1952,593,2545,4189,60.75%,0,2501
President and Vice President,0644,2097,689,2786,4446,62.66%,0,2745
President and Vice President,0645,2161,769,2930,4517,64.87%,0,2881
