Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0358,775,376,1151,2634,43.70%,118,988,1106
County Attorney,0359,803,496,1299,3320,39.13%,122,1139,1261
County Attorney,0360,1858,597,2455,3309,74.19%,1040,1261,2301
County Attorney,0361,323,688,1011,1808,55.92%,137,775,912
County Attorney,0362,2865,553,3418,5161,66.23%,2301,994,3295
County Attorney,0363,1826,635,2461,4160,59.16%,949,1438,2387
County Attorney,0364,1190,528,1718,2827,60.77%,740,886,1626
County Attorney,0365,827,174,1001,1348,74.26%,109,866,975
County Attorney,0366,988,524,1512,2887,52.37%,301,1146,1447
County Attorney,0367,453,204,657,1256,52.31%,147,475,622
County Attorney,0368,433,122,555,1024,54.20%,137,399,536
County Attorney,0369,132,29,161,678,23.75%,54,93,147
County Attorney,0370,2525,627,3152,4531,69.57%,2200,832,3032
County Attorney,0371,210,78,288,537,53.63%,12,271,283
County Attorney,0372,509,180,689,1274,54.08%,72,590,662
County Attorney,0373,61,13,74,163,45.40%,2,70,72
County Attorney,0374,176,165,341,720,47.36%,70,256,326
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0375,745,510,1255,2836,44.25%,409,772,1181
County Attorney,0376,753,344,1097,2060,53.25%,388,651,1039
County Attorney,0377,1381,643,2024,3137,64.52%,1482,453,1935
County Attorney,0378,621,447,1068,1856,57.54%,634,389,1023
County Attorney,0379,857,388,1245,2149,57.93%,102,1108,1210
County Attorney,0380,2732,551,3283,4380,74.95%,1665,1501,3166
County Attorney,0381,1185,432,1617,3141,51.48%,593,944,1537
County Attorney,0382,429,206,635,1035,61.35%,381,227,608
County Attorney,0383,722,458,1180,2373,49.73%,342,777,1119
County Attorney,0384,1152,444,1596,2725,58.57%,330,1207,1537
County Attorney,0385,1141,561,1702,2207,77.12%,1192,432,1624
County Attorney,0386,1658,419,2077,3105,66.89%,1443,573,2016
County Attorney,0387,1702,780,2482,4340,57.19%,1589,794,2383
County Attorney,0388,2899,711,3510,5413,66.69%,1651,1831,3482
County Attorney,0389,397,293,690,1359,50.77%,89,560,649
County Attorney,0390,698,271,969,1482,65.38%,115,820,935
County Attorney,0391,986,336,1322,1978,66.84%,743,525,1268
County Attorney,0392,652,145,797,1426,55.89%,12,759,771
County Attorney,0393,427,257,684,1274,53.69%,302,347,649
County Attorney,0394,236,126,362,914,39.61%,113,227,340
County Attorney,0395,1007,371,1378,1875,73.49%,870,447,1317
County Attorney,0396,1035,204,1239,2072,59.80%,25,1177,1202
County Attorney,0397,204,117,321,796,40.33%,111,189,300
County Attorney,0398,1761,654,2415,4200,57.50%,1039,1269,2308
County Attorney,0399,1291,546,1837,3340,55.00%,671,1102,1773
County Attorney,0400,1457,372,1839,2661,69.11%,1135,642,1777
County Attorney,0401,703,257,960,1971,48.71%,47,873,920
County Attorney,0402,897,262,1159,1911,60.65%,67,1059,1126
County Attorney,0403,959,387,1346,1719,78.30%,618,651,1269
County Attorney,0404,1033,445,1478,2717,54.40%,670,757,1427
County Attorney,0405,1910,457,2367,3067,77.18%,1727,581,2308
County Attorney,0406,275,65,340,649,52.39%,8,320,328
County Attorney,0407,1703,860,2563,3969,64.58%,1433,999,2432
County Attorney,0408,520,313,833,1740,47.87%,236,543,779
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0409,501,280,781,1608,48.57%,227,510,737
County Attorney,0410,381,96,477,934,51.07%,83,378,461
