Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0174,171,5,707,2423,3389,71.50%,1537,744,2281
"District Judge, 125th Judicial District",0175,1402,691,2093,2711,77.20%,957,993,1950
"District Judge, 125th Judicial District",0176,767,375,1142,1533,74.49%,499,558,1057
"District Judge, 125th Judicial District",0177,937,333,1270,1715,74.05%,638,547,1185
"District Judge, 125th Judicial District",0178,1116,273,1389,1795,77.38%,841,456,1297
"District Judge, 125th Judicial District",0179,771,244,1015,1673,60.67%,450,498,948
"District Judge, 125th Judicial District",0180,928,463,1391,2914,47.74%,54,1280,1334
"District Judge, 125th Judicial District",0181,697,439,1136,2195,51.75%,244,834,1078
"District Judge, 125th Judicial District",0182,1943,994,2937,4071,72.14%,1433,1300,2733
"District Judge, 125th Judicial District",0183,1286,715,2001,2535,78.93%,1148,719,1867
"District Judge, 125th Judicial District",0184,278,219,497,1048,47.42%,126,341,467
"District Judge, 125th Judicial District",0185,709,444,1153,2054,56.13%,288,801,1089
"District Judge, 125th Judicial District",0186,252,150,402,798,50.38%,29,357,386
"District Judge, 125th Judicial District",0187,95,51,147,309,47.57%,24,110,134
"District Judge, 125th Judicial District",0188,499,306,805,1711,47.05%,251,518,769
"District Judge, 125th Judicial District",0189,804,279,1083,1505,71.96%,577,439,1016
"District Judge, 125th Judicial District",0190,571,326,897,1849,48.51%,253,587,840
"District Judge, 125th Judicial District",0191,327,259,586,1408,41.62%,171,387,558
"District Judge, 125th Judicial District",0192,757,259,1016,1959,51.86%,66,911,977
"District Judge, 125th Judicial District",0193,375,211,586,1099,53.32%,24,537,561
"District Judge, 125th Judicial District",0194,1138,449,1587,2172,73.07%,421,1072,1493
"District Judge, 125th Judicial District",0195,606,344,950,1739,54.63%,45,857,902
"District Judge, 125th Judicial District",0196,132,37,169,313,53.99%,16,141,157
"District Judge, 125th Judicial District",0197,995,372,1368,2969,46.08%,43,1279,1322
"District Judge, 125th Judicial District",0198,161,82,243,619,39.26%,8,225,233
"District Judge, 125th Judicial District",0199,1929,815,2744,4063,67.54%,2012,612,2624
"District Judge, 125th Judicial District",0200,2307,377,2684,3692,72.70%,1134,1382,2516
"District Judge, 125th Judicial District",0201,221,105,326,773,42.17%,13,305,318
"District Judge, 125th Judicial District",0202,421,233,654,1410,46.38%,25,603,628
"District Judge, 125th Judicial District",0203,298,111,409,988,41.40%,67,316,383
"District Judge, 125th Judicial District",0204,2099,577,2676,3568,75.00%,1329,1144,2473
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0205,771,171,942,1724,54.64%,25,892,917
"District Judge, 125th Judicial District",0206,1277,494,1771,2965,59.73%,497,1149,1646
"District Judge, 125th Judicial District",0207,605,212,817,1166,70.07%,244,518,762
"District Judge, 125th Judicial District",0208,909,338,1247,2256,55.27%,277,891,1168
"District Judge, 125th Judicial District",0209,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0210,1259,489,1748,2781,62.86%,271,1406,1677
"District Judge, 125th Judicial District",0211,964,595,1559,3130,49.81%,428,1027,1455
"District Judge, 125th Judicial District",0212,309,323,632,1370,46.13%,103,488,591
"District Judge, 125th Judicial District",0213,1782,795,2577,3406,75.66%,1891,578,2469
"District Judge, 125th Judicial District",0214,1016,418,1434,1911,75.04%,773,570,1343
"District Judge, 125th Judicial District",0215,1096,636,1732,2286,75.77%,892,733,1625
"District Judge, 125th Judicial District",0216,778,244,1022,1966,51.98%,62,917,979
"District Judge, 125th Judicial District",0217,1545,618,2163,2736,79.06%,1205,843,2048
"District Judge, 125th Judicial District",0218,1099,457,1555,2467,63.07%,361,1081,1442
"District Judge, 125th Judicial District",0219,1117,515,1632,2868,56.90%,142,1407,1549
"District Judge, 125th Judicial District",0220,832,306,1138,2362,48.18%,691,383,1074
"District Judge, 125th Judicial District",0221,1032,473,1505,2598,57.93%,465,946,1411
"District Judge, 125th Judicial District",0222,1460,671,2131,2728,78.12%,864,1115,1979
"District Judge, 125th Judicial District",0223,1750,517,2267,3664,61.87%,565,1557,2122
"District Judge, 125th Judicial District",0224,1155,495,1551,2313,71.81%,683,864,1547
"District Judge, 125th Judicial District",0225,1353,596,1949,3689,52.83%,813,1055,1868
"District Judge, 125th Judicial District",0226,840,421,1261,2554,49.37%,233,969,1202
