Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0172,245,103,348,661,52.65%,79,249,328
"District Judge, 339th Judicial District",0173,2259,683,2942,3966,74.18%,2138,662,2800
"District Judge, 339th Judicial District",0174,171,5,707,2423,3389,71.50%,1537,734,2271
"District Judge, 339th Judicial District",0175,1402,691,2093,2711,77.20%,1011,926,1937
"District Judge, 339th Judicial District",0176,767,375,1142,1533,74.49%,535,510,1045
"District Judge, 339th Judicial District",0177,937,333,1270,1715,74.05%,647,522,1169
"District Judge, 339th Judicial District",0178,1116,273,1389,1795,77.38%,875,410,1285
"District Judge, 339th Judicial District",0179,771,244,1015,1673,60.67%,457,490,947
"District Judge, 339th Judicial District",0180,928,463,1391,2914,47.74%,52,1282,1334
"District Judge, 339th Judicial District",0181,697,439,1136,2195,51.75%,238,838,1076
"District Judge, 339th Judicial District",0182,1943,994,2937,4071,72.14%,1505,1181,2686
"District Judge, 339th Judicial District",0183,1286,715,2001,2535,78.93%,1207,648,1855
"District Judge, 339th Judicial District",0184,278,219,497,1048,47.42%,128,335,463
"District Judge, 339th Judicial District",0185,709,444,1153,2054,56.13%,282,799,1081
"District Judge, 339th Judicial District",0186,252,150,402,798,50.38%,33,353,386
"District Judge, 339th Judicial District",0187,95,51,147,309,47.57%,21,114,135
"District Judge, 339th Judicial District",0188,499,306,805,1711,47.05%,245,523,768
"District Judge, 339th Judicial District",0189,804,279,1083,1505,71.96%,580,429,1009
"District Judge, 339th Judicial District",0190,571,326,897,1849,48.51%,253,593,846
"District Judge, 339th Judicial District",0191,327,259,586,1408,41.62%,169,391,560
"District Judge, 339th Judicial District",0192,757,259,1016,1959,51.86%,59,914,973
"District Judge, 339th Judicial District",0193,375,211,586,1099,53.32%,15,548,563
"District Judge, 339th Judicial District",0194,1138,449,1587,2172,73.07%,430,1054,1484
"District Judge, 339th Judicial District",0195,606,344,950,1739,54.63%,45,856,901
"District Judge, 339th Judicial District",0196,132,37,169,313,53.99%,14,143,157
"District Judge, 339th Judicial District",0197,995,372,1368,2969,46.08%,36,1281,1317
"District Judge, 339th Judicial District",0198,161,82,243,619,39.26%,9,223,232
"District Judge, 339th Judicial District",0199,1929,815,2744,4063,67.54%,2019,597,2616
"District Judge, 339th Judicial District",0200,2307,377,2684,3692,72.70%,1180,1329,2509
"District Judge, 339th Judicial District",0201,221,105,326,773,42.17%,9,309,318
"District Judge, 339th Judicial District",0202,421,233,654,1410,46.38%,23,605,628
"District Judge, 339th Judicial District",0203,298,111,409,988,41.40%,64,318,382
"District Judge, 339th Judicial District",0204,2099,577,2676,3568,75.00%,1384,1077,2461
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0205,771,171,942,1724,54.84%,29,889,918
"District Judge, 339th Judicial District",0208,1277,494,1771,2985,59.73%,490,1145,1835
"District Judge, 339th Judicial District",0207,805,212,817,1188,70.07%,252,509,781
"District Judge, 339th Judicial District",0208,909,338,1247,2258,55.27%,272,889,1181
"District Judge, 339th Judicial District",0209,0,0,0,0,0.00%,0,0,0
"District Judge, 339th Judicial District",0210,1259,489,1748,2781,82.88%,282,1408,1888
"District Judge, 339th Judicial District",0211,964,595,1559,3130,49.81%,405,1048,1451
"District Judge, 339th Judicial District",0212,309,323,832,1370,48.13%,101,487,588
"District Judge, 339th Judicial District",0213,1782,795,2577,3408,75.88%,1938,521,2457
"District Judge, 339th Judicial District",0214,1018,418,1434,1911,75.04%,807,508,1315
"District Judge, 339th Judicial District",0215,1098,838,1732,2288,75.77%,938,888,1808
"District Judge, 339th Judicial District",0218,778,244,1022,1988,51.98%,80,920,980
"District Judge, 339th Judicial District",0217,1545,818,2183,2738,79.08%,1305,731,2038
"District Judge, 339th Judicial District",0218,1099,457,1555,2487,83.07%,387,1058,1423
"District Judge, 339th Judicial District",0219,1117,515,1832,2888,58.90%,148,1395,1543
"District Judge, 339th Judicial District",0220,832,308,1138,2382,48.18%,895,371,1088
"District Judge, 339th Judicial District",0221,1032,473,1505,2598,57.93%,475,931,1408
"District Judge, 339th Judicial District",0222,1480,871,2131,2728,78.12%,944,1023,1987
"District Judge, 339th Judicial District",0223,1750,517,2287,3884,81.87%,582,1543,2105
"District Judge, 339th Judicial District",0224,1165,495,1551,2313,71.81%,701,837,1538
"District Judge, 339th Judicial District",0225,1353,598,1949,3889,52.83%,802,1058,1858
"District Judge, 339th Judicial District",0228,840,421,1281,2554,49.37%,228,974,1202
"District Judge, 339th Judicial District",0227,1071,359,1430,1810,79.01%,1004,345,1349
