Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Radack,DEM Jenifer Rene Pool,Totals
"County Commissioner, Precinct 3",0819,108,31,139,228,60.96%,77,55,132
"County Commissioner, Precinct 3",0826,177,70,247,355,69.58%,139,97,236
"County Commissioner, Precinct 3",0829,101,19,120,235,51.06%,35,80,115
"County Commissioner, Precinct 3",0839,419,174,593,1190,49.83%,127,444,571
"County Commissioner, Precinct 3",0862,1989,508,2497,3739,66.78%,1451,961,2412
"County Commissioner, Precinct 3",0869,165,55,220,480,45.83%,29,187,216
"County Commissioner, Precinct 3",0875,1947,501,2448,3592,68.15%,1146,1221,2367
"County Commissioner, Precinct 3",0877,1803,528,2331,3651,63.85%,893,1367,2260
"County Commissioner, Precinct 3",0879,1215,413,1628,2843,57.26%,704,868,1572
"County Commissioner, Precinct 3",0899,746,165,911,1264,72.07%,575,318,893
"County Commissioner, Precinct 3",0901,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 3",0906,19,3,22,28,78.57%,13,9,22
"County Commissioner, Precinct 3",0919,1,0,1,1,100.00%,0,1,1
"County Commissioner, Precinct 3",0923,2331,350,2681,3536,75.82%,2018,619,2637
"County Commissioner, Precinct 3",0938,72,19,91,255,35.69%,30,61,91
"County Commissioner, Precinct 3",0942,102,16,118,152,77.63%,82,32,114
"County Commissioner, Precinct 3",0943,192,28,220,774,28.42%,50,158,208
"County Commissioner, Precinct 3",0944,1,0,1,1,100.00%,0,1,1
"County Commissioner, Precinct 3",0951,114,62,176,304,57.89%,42,127,169
"County Commissioner, Precinct 3",0952,32,15,47,65,72.31%,33,13,46
"County Commissioner, Precinct 3",0974,0,1,1,0,0.00%,1,0,1
"County Commissioner, Precinct 3",0980,686,333,1019,1412,72.17%,722,260,982
"County Commissioner, Precinct 3",0984,76,57,133,341,39.00%,11,120,131
"County Commissioner, Precinct 3",0985,222,56,278,355,78.31%,138,130,268
"County Commissioner, Precinct 3",0986,153,78,231,537,43.02%,23,200,223
"County Commissioner, Precinct 3",0992,456,106,562,1075,52.28%,272,266,538
"County Commissioner, Precinct 3",1001,519,280,799,1654,48.31%,157,609,766
"County Commissioner, Precinct 3",1002,480,270,750,1804,41.57%,115,599,714
"County Commissioner, Precinct 3",1003,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 3",1006,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Radack,DEM Jenifer Rene Pool,Totals
"County Commissioner, Precinct 3",1009,0,0,0,0,0.00%,0,0,0
