Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Borris L. Miles,LIB Joshua Rohn,Totals
"State Senator, District 13",0865,9,2,11,21,52.38%,10,1,11
"State Senator, District 13",0866,0,0,0,0,0.00%,0,0,0
"State Senator, District 13",0867,0,0,0,0,0.00%,0,0,0
"State Senator, District 13",0869,166,55,221,480,46.04%,191,9,200
"State Senator, District 13",0890,445,98,543,1214,44.73%,294,122,416
"State Senator, District 13",0892,420,123,543,900,60.33%,337,111,448
"State Senator, District 13",0893,1,4,5,9,55.56%,3,0,3
"State Senator, District 13",0900,7,0,7,12,58.33%,6,0,6
"State Senator, District 13",0929,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Borris L. Miles,LIB Joshua Rohn,Totals
"State Senator, District 13",0938,72,19,91,255,35.69%,68,8,76
"State Senator, District 13",0943,192,28,220,774,28.42%,161,14,175
"State Senator, District 13",0947,428,198,626,820,76.34%,313,126,439
"State Senator, District 13",0948,0,0,0,1,0.00%,0,0,0
"State Senator, District 13",0949,84,61,145,210,69.05%,70,41,111
"State Senator, District 13",0962,33,12,45,88,51.14%,31,10,41
"State Senator, District 13",0969,299,71,370,624,59.29%,359,6,365
"State Senator, District 13",0985,222,56,278,355,78.31%,155,37,192
"State Senator, District 13",0986,154,78,232,537,43.20%,201,13,214
"State Senator, District 13",0994,55,12,68,75,90.67%,47,12,59
"State Senator, District 13",0995,753,193,946,1576,60.03%,837,49,886
"State Senator, District 13",1000,122,22,144,428,33.64%,121,7,128
"State Senator, District 13",1001,519,280,799,1654,48.31%,631,48,679
"State Senator, District 13",1002,480,270,750,1804,41.57%,615,40,655
"State Senator, District 13",1005,0,0,0,0,0.00%,0,0,0
"State Senator, District 13",1010,292,96,388,647,59.97%,304,25,329
"State Senator, District 13",Totals;,126817,49609,176426,628857,146421,12068,155489
