Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0862,1989,508,2497,3739,66.78%,1397,930,53,41,2421
"Judge, Court of Criminal Appeals, Place 5",0863,192,64,256,581,44.06%,13,236,1,1,251
"Judge, Court of Criminal Appeals, Place 5",0864,693,574,1267,2708,46.79%,253,881,20,54,1208
"Judge, Court of Criminal Appeals, Place 5",0865,9,2,11,21,52.38%,0,10,1,0,11
"Judge, Court of Criminal Appeals, Place 5",0866,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0867,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0868,737,495,1232,2446,50.37%,302,824,16,38,1180
"Judge, Court of Criminal Appeals, Place 5",0869,166,55,221,480,46.04%,28,183,1,1,213
"Judge, Court of Criminal Appeals, Place 5",0870,0,2,2,0,0.00%,1,1,0,0,2
"Judge, Court of Criminal Appeals, Place 5",0871,2,1,3,3,100.00%,0,2,1,0,3
"Judge, Court of Criminal Appeals, Place 5",0872,16,6,22,68,32.35%,11,10,1,0,22
"Judge, Court of Criminal Appeals, Place 5",0873,296,111,407,778,52.31%,90,288,7,11,396
"Judge, Court of Criminal Appeals, Place 5",0874,1682,670,2352,3294,71.40%,1642,549,55,31,2277
"Judge, Court of Criminal Appeals, Place 5",0875,1950,501,2451,3592,68.23%,1082,1189,54,52,2377
"Judge, Court of Criminal Appeals, Place 5",0876,1947,577,2524,3485,72.42%,1701,674,52,21,2448
"Judge, Court of Criminal Appeals, Place 5",0877,1805,528,2334,3651,63.93%,819,1351,62,45,2277
"Judge, Court of Criminal Appeals, Place 5",0878,685,110,795,1039,76.52%,622,124,15,3,764
"Judge, Court of Criminal Appeals, Place 5",0879,1217,413,1630,2843,57.33%,635,850,59,33,1577
"Judge, Court of Criminal Appeals, Place 5",0880,1357,471,1828,2467,74.10%,1358,383,28,17,1786
"Judge, Court of Criminal Appeals, Place 5",0881,2467,927,3394,5638,60.20%,825,2331,73,67,3296
"Judge, Court of Criminal Appeals, Place 5",0882,1954,595,2549,4317,59.05%,710,1653,42,50,2455
"Judge, Court of Criminal Appeals, Place 5",0883,2253,928,3181,5613,56.67%,497,2437,42,108,3084
"Judge, Court of Criminal Appeals, Place 5",0884,149,55,204,396,51.52%,30,167,1,4,202
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0885,1573,323,1896,2811,67.45%,1023,772,35,27,1857
"Judge, Court of Criminal Appeals, Place 5",0886,498,152,650,906,71.74%,330,240,38,11,619
"Judge, Court of Criminal Appeals, Place 5",0887,235,95,330,492,67.07%,167,124,19,3,313
"Judge, Court of Criminal Appeals, Place 5",0888,820,289,1109,1867,59.40%,320,706,19,23,1068
"Judge, Court of Criminal Appeals, Place 5",0889,114,28,142,238,59.66%,40,79,9,8,136
"Judge, Court of Criminal Appeals, Place 5",0890,449,98,547,1214,45.06%,214,265,25,11,515
"Judge, Court of Criminal Appeals, Place 5",0891,753,194,947,1376,68.82%,358,514,16,13,901
"Judge, Court of Criminal Appeals, Place 5",0892,428,123,551,900,61.22%,176,299,29,21,525
"Judge, Court of Criminal Appeals, Place 5",0893,1,4,5,9,55.56%,2,3,0,0,5
"Judge, Court of Criminal Appeals, Place 5",0894,805,305,1110,2087,53.19%,136,899,25,17,1077
"Judge, Court of Criminal Appeals, Place 5",0895,419,252,671,834,80.46%,291,311,14,11,627
"Judge, Court of Criminal Appeals, Place 5",0896,841,254,1095,1467,74.64%,392,603,23,25,1043
"Judge, Court of Criminal Appeals, Place 5",0897,814,365,1179,1766,66.76%,588,490,38,17,1133
"Judge, Court of Criminal Appeals, Place 5",0898,792,301,1093,1821,60.02%,399,608,34,26,1067
"Judge, Court of Criminal Appeals, Place 5",0899,747,165,912,1264,72.15%,552,311,22,12,897
"Judge, Court of Criminal Appeals, Place 5",0900,7,0,7,12,58.33%,1,6,0,0,7
"Judge, Court of Criminal Appeals, Place 5",0901,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0902,1311,361,1672,2217,75.42%,819,662,69,41,1591
"Judge, Court of Criminal Appeals, Place 5",0903,1315,354,1669,2558,65.25%,1178,390,31,29,1628
"Judge, Court of Criminal Appeals, Place 5",0904,2,0,2,8,25.00%,1,1,0,0,2
"Judge, Court of Criminal Appeals, Place 5",0905,390,136,526,946,55.60%,175,302,7,21,505
"Judge, Court of Criminal Appeals, Place 5",0906,19,3,22,28,78.57%,10,12,0,0,22
"Judge, Court of Criminal Appeals, Place 5",0907,53,37,90,201,44.78%,7,80,1,1,89
"Judge, Court of Criminal Appeals, Place 5",0908,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0909,7,1,8,21,38.10%,1,5,1,1,8
"Judge, Court of Criminal Appeals, Place 5",0910,78,37,115,236,48.73%,32,62,5,6,105
"Judge, Court of Criminal Appeals, Place 5",0911,237,63,300,576,52.08%,181,99,6,6,292
"Judge, Court of Criminal Appeals, Place 5",0912,712,167,879,1341,65.55%,484,320,22,20,846
"Judge, Court of Criminal Appeals, Place 5",0913,102,12,114,241,47.30%,19,85,1,3,108
"Judge, Court of Criminal Appeals, Place 5",0914,42,0,42,124,33.87%,9,29,0,2,40
"Judge, Court of Criminal Appeals, Place 5",0915,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0916,1474,308,1782,2205,80.82%,1295,357,58,15,1725
"Judge, Court of Criminal Appeals, Place 5",0917,34,9,43,147,29.25%,3,33,0,3,39
"Judge, Court of Criminal Appeals, Place 5",0918,3,1,4,7,57.14%,1,3,0,0,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0919,1,0,1,1,100.00%,1,0,0,0,1
"Judge, Court of Criminal Appeals, Place 5",0920,41,13,54,79,68.35%,30,20,1,1,52
"Judge, Court of Criminal Appeals, Place 5",0921,27,6,33,61,54.10%,7,26,0,0,33
"Judge, Court of Criminal Appeals, Place 5",0922,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0923,2334,350,2684,3536,75.90%,1955,624,48,11,2638
"Judge, Court of Criminal Appeals, Place 5",0924,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0925,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0926,550,149,699,967,72.29%,462,186,19,6,673
"Judge, Court of Criminal Appeals, Place 5",0927,970,173,1143,1771,64.54%,542,475,36,25,1078
"Judge, Court of Criminal Appeals, Place 5",0928,4,1,5,7,71.43%,0,5,0,0,5
"Judge, Court of Criminal Appeals, Place 5",0929,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0930,21,7,83,300,606,49.50%,1,7,266,3,3,289
"Judge, Court of Criminal Appeals, Place 5",0931,87,28,115,141,81.56%,46,58,2,1,107
"Judge, Court of Criminal Appeals, Place 5",0932,0,1,1,0,0.00%,0,1,0,0,1
"Judge, Court of Criminal Appeals, Place 5",0933,297,93,390,668,58.38%,113,250,9,5,377
"Judge, Court of Criminal Appeals, Place 5",0934,9,4,13,37,35.14%,7,6,0,0,13
"Judge, Court of Criminal Appeals, Place 5",0935,12,9,21,55,38.18%,7,13,0,0,20
"Judge, Court of Criminal Appeals, Place 5",0936,23,9,32,76,42.11%,9,19,0,1,29
"Judge, Court of Criminal Appeals, Place 5",0937,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0938,72,19,91,255,35.69%,26,61,2,1,90
"Judge, Court of Criminal Appeals, Place 5",0939,1,1,2,4,50.00%,1,1,0,0,2
"Judge, Court of Criminal Appeals, Place 5",0940,9,3,12,28,42.86%,1,11,0,0,12
"Judge, Court of Criminal Appeals, Place 5",0941,286,144,430,870,49.43%,184,196,20,10,410
"Judge, Court of Criminal Appeals, Place 5",0942,102,16,118,152,77.63%,76,36,4,1,117
"Judge, Court of Criminal Appeals, Place 5",0943,192,28,220,774,28.42%,47,146,4,7,204
"Judge, Court of Criminal Appeals, Place 5",0944,1,0,1,1,100.00%,0,1,0,0,1
"Judge, Court of Criminal Appeals, Place 5",0945,8,6,14,21,66.67%,0,10,2,1,13
"Judge, Court of Criminal Appeals, Place 5",0946,4,2,6,14,42.86%,1,5,0,0,6
"Judge, Court of Criminal Appeals, Place 5",0947,428,198,626,820,76.34%,318,244,17,13,592
"Judge, Court of Criminal Appeals, Place 5",0948,0,0,0,1,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0949,84,61,145,210,69.05%,61,66,7,5,139
"Judge, Court of Criminal Appeals, Place 5",0950,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0951,114,62,176,304,57.89%,39,121,2,7,169
"Judge, Court of Criminal Appeals, Place 5",0952,32,15,47,65,72.31%,29,16,1,0,46
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0953,4,0,4,8,50.00%,0,4,0,0,4
"Judge, Court of Criminal Appeals, Place 5",0954,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0955,3541,572,4113,5108,80.52%,2807,1050,85,24,3988
"Judge, Court of Criminal Appeals, Place 5",0958,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0957,284,39,323,585,55.21%,35,285,4,10,314
"Judge, Court of Criminal Appeals, Place 5",0958,431,231,882,1202,55.07%,120,489,13,20,842
"Judge, Court of Criminal Appeals, Place 5",0959,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0980,831,235,1088,1471,72.47%,218,793,14,17,1040
"Judge, Court of Criminal Appeals, Place 5",0981,821,318,1139,2389,48.08%,180,887,18,28,1093
"Judge, Court of Criminal Appeals, Place 5",0982,33,12,45,88,51.14%,8,30,2,4,44
"Judge, Court of Criminal Appeals, Place 5",0983,225,91,318,528,59.85%,119,183,8,14,302
"Judge, Court of Criminal Appeals, Place 5",0984,2148,325,2473,3179,77.79%,1382,953,48,38,2399
"Judge, Court of Criminal Appeals, Place 5",0985,102,35,137,345,39.71%,89,33,3,7,132
"Judge, Court of Criminal Appeals, Place 5",0988,358,189,557,1332,41.82%,123,379,13,13,528
"Judge, Court of Criminal Appeals, Place 5",0987,82,24,108,188,58.99%,38,58,4,4,102
"Judge, Court of Criminal Appeals, Place 5",0988,455,127,582,908,84.24%,118,434,8,10,588
"Judge, Court of Criminal Appeals, Place 5",0989,299,71,370,824,59.29%,5,353,1,5,384
"Judge, Court of Criminal Appeals, Place 5",0970,224,102,328,810,40.25%,31,288,2,4,305
"Judge, Court of Criminal Appeals, Place 5",0971,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0972,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0973,505,138,843,999,84.38%,395,193,19,11,818
"Judge, Court of Criminal Appeals, Place 5",0974,0,1,1,0,0.00%,1,0,0,0,1
"Judge, Court of Criminal Appeals, Place 5",0975,104,28,130,190,88.42%,52,80,5,5,122
"Judge, Court of Criminal Appeals, Place 5",0978,190,152,342,712,48.03%,155,147,7,18,325
"Judge, Court of Criminal Appeals, Place 5",0977,180,108,288,817,43.44%,89,155,7,9,280
"Judge, Court of Criminal Appeals, Place 5",0978,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0979,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0980,888,333,1019,1412,72.17%,882,257,23,14,978
"Judge, Court of Criminal Appeals, Place 5",0981,12,2,14,31,45.18%,1,12,0,0,13
"Judge, Court of Criminal Appeals, Place 5",0982,1900,501,2401,2918,82.34%,1745,498,82,28,2331
"Judge, Court of Criminal Appeals, Place 5",0983,85,17,82,198,41.41,%,38,37,4,3,80
"Judge, Court of Criminal Appeals, Place 5",0984,78,57,133,341,39.00%,11,115,3,2,131
"Judge, Court of Criminal Appeals, Place 5",0985,222,58,278,355,78.31%,122,138,8,4,288
"Judge, Court of Criminal Appeals, Place 5",0988,154,78,232,537,43.20%,21,195,1,8,225
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0987,477,130,607,1183,51.31%,32,536,4,12,584
"Judge, Court of Criminal Appeals, Place 5",0988,62,15,77,117,65.81%,65,8,1,1,75
"Judge, Court of Criminal Appeals, Place 5",0989,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0990,5,6,11,66,16.67%,3,6,1,1,11
"Judge, Court of Criminal Appeals, Place 5",0991,0,1,1,2,50.00%,0,1,0,0,1
"Judge, Court of Criminal Appeals, Place 5",0992,456,106,562,1075,52.28%,241,267,18,12,538
"Judge, Court of Criminal Appeals, Place 5",0993,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0994,56,12,68,75,90.67%,19,43,1,4,67
"Judge, Court of Criminal Appeals, Place 5",0995,754,193,947,1576,60.09%,87,796,7,23,913
"Judge, Court of Criminal Appeals, Place 5",0996,403,70,473,708,66.81%,238,192,8,10,448
"Judge, Court of Criminal Appeals, Place 5",0997,525,283,808,1909,42.33%,126,635,16,14,791
"Judge, Court of Criminal Appeals, Place 5",0998,24,12,36,68,52.94%,20,12,3,0,35
"Judge, Court of Criminal Appeals, Place 5",0999,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",1000,123,22,145,428,33.88%,23,110,0,8,141
"Judge, Court of Criminal Appeals, Place 5",1001,519,280,799,1654,48.31%,148,589,9,16,762
"Judge, Court of Criminal Appeals, Place 5",1002,481,270,751,1804,41.63%,97,587,9,21,714
"Judge, Court of Criminal Appeals, Place 5",1003,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",1004,351,114,465,691,67.29%,223,201,11,9,444
"Judge, Court of Criminal Appeals, Place 5",1005,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",1006,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",1007,595,306,1002,1775,56.45%,200,725,11,32,968
"Judge, Court of Criminal Appeals, Place 5",1008,620,107,727,1011,71.91%,551,131,16,6,704
"Judge, Court of Criminal Appeals, Place 5",1009,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",1010,293,96,389,647,60.12%,61,298,6,10,375
"Judge, Court of Criminal Appeals, Place 5",1011,9,6,15,31,48.39%,9,6,0,0,15
"Judge, Court of Criminal Appeals, Place 5",1012,545,362,907,1633,55.54%,204,621,17,22,864
"Judge, Court of Criminal Appeals, Place 5",Totals;,983140,353327,1336467,2182980,591778,636514,29873,26869,1285034
