Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0331,888,234,1122,1612,69.60%,670,359,37,16,1082
"Judge, Court of Criminal Appeals, Place 5",0332,1359,503,1882,2926,63.64%,177,1551,15,53,1796
"Judge, Court of Criminal Appeals, Place 5",0333,1387,942,2329,3296,70.66%,1564,552,86,38,2240
"Judge, Court of Criminal Appeals, Place 5",0334,247,104,351,786,44.66%,52,272,6,8,338
"Judge, Court of Criminal Appeals, Place 5",0335,489,293,782,1679,46.58%,177,521,16,21,735
"Judge, Court of Criminal Appeals, Place 5",0336,2496,689,3185,4771,66.76%,295,2715,50,53,3113
"Judge, Court of Criminal Appeals, Place 5",0337,371,155,526,1108,47.47%,66,412,5,11,494
"Judge, Court of Criminal Appeals, Place 5",0338,1627,632,2259,5001,45.17%,552,1510,33,61,2156
"Judge, Court of Criminal Appeals, Place 5",0339,705,303,1008,1909,52.80%,171,716,16,51,954
"Judge, Court of Criminal Appeals, Place 5",0340,2042,654,2696,4012,67.20%,1820,642,79,46,2587
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0341,380,278,658,1372,47.96%,140,438,8,33,619
"Judge, Court of Criminal Appeals, Place 5",0342,312,225,537,1092,49.18%,112,385,7,9,513
"Judge, Court of Criminal Appeals, Place 5",0343,723,370,1093,2099,52.07%,193,775,14,53,1035
"Judge, Court of Criminal Appeals, Place 5",0344,381,207,588,1225,48.00%,18,530,5,10,563
"Judge, Court of Criminal Appeals, Place 5",0345,580,349,929,1945,47.76%,157,656,35,32,880
"Judge, Court of Criminal Appeals, Place 5",0346,1,0,1,1,100.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0347,1462,618,2080,3614,57.55%,1127,776,47,66,2016
"Judge, Court of Criminal Appeals, Place 5",0348,832,242,1074,1796,59.80%,695,295,29,20,1039
"Judge, Court of Criminal Appeals, Place 5",0349,459,369,828,1372,60.35%,459,301,30,13,803
"Judge, Court of Criminal Appeals, Place 5",0350,1590,582,2272,3269,69.50%,788,1229,62,57,2136
"Judge, Court of Criminal Appeals, Place 5",0351,2857,570,3427,4799,71.41%,2488,707,87,34,3316
