Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0231,801,445,1246,2376,52.44%,253,923,1176
"District Judge, 351 st Judicial District",0232,941,438,1379,1826,75.52%,764,517,1281
"District Judge, 351 st Judicial District",0233,2571,703,3274,4713,69.47%,1530,1502,3032
"District Judge, 351 st Judicial District",0234,2419,728,3147,4042,77.86%,2322,646,2968
"District Judge, 351 st Judicial District",0235,461,203,664,1421,46.73%,29,605,634
"District Judge, 351 st Judicial District",0236,555,308,964,2104,45.82%,49,884,933
"District Judge, 351 st Judicial District",0237,739,312,1051,2146,48.97%,21,997,1018
"District Judge, 351 st Judicial District",0238,606,317,923,1948,47.38%,30,856,886
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0239,694,334,1028,1984,51.81,%,40,966,1006
"District Judge, 351 st Judicial District",0240,1007,292,1299,2601,49.94%,28,1238,1266
"District Judge, 351 st Judicial District",0241,651,383,1034,2466,41.93%,320,672,992
"District Judge, 351 st Judicial District",0242,506,314,820,1744,47.02%,351,408,759
"District Judge, 351 st Judicial District",0243,244,42,286,475,60.21%,5,276,281
"District Judge, 351 st Judicial District",0244,1409,538,1947,3296,59.07%,908,945,1853
"District Judge, 351 st Judicial District",0245,2100,811,2911,4679,62.21%,1774,976,2750
"District Judge, 351 st Judicial District",0246,2209,482,2691,3971,67.77%,1644,934,2578
"District Judge, 351 st Judicial District",0247,440,376,816,1595,51.16%,25,772,797
"District Judge, 351 st Judicial District",0248,453,347,800,2147,37.26%,173,578,751
"District Judge, 351 st Judicial District",0249,1124,365,1489,2825,52.71%,917,524,1441
"District Judge, 351 st Judicial District",0250,288,183,471,925,50.92%,21,440,461
"District Judge, 351 st Judicial District",0251,806,378,1184,2132,55.53%,63,1074,1137
"District Judge, 351 st Judicial District",0252,925,309,1235,2292,53.88%,26,1173,1199
"District Judge, 351 st Judicial District",0253,759,311,1070,2154,49.68%,35,1009,1044
"District Judge, 351 st Judicial District",0254,411,280,691,1675,41.25%,142,508,650
"District Judge, 351 st Judicial District",0255,1253,586,1839,2489,73.89%,829,871,1700
"District Judge, 351 st Judicial District",0256,1398,583,1981,3321,59.65%,664,1193,1857
"District Judge, 351 st Judicial District",0257,997,622,1619,3497,46.30%,361,1181,1542
"District Judge, 351 st Judicial District",0258,1948,608,2555,3346,76.39%,1833,568,2401
"District Judge, 351 st Judicial District",0259,1030,414,1444,2312,62.46%,40,1362,1402
"District Judge, 351 st Judicial District",0260,547,227,774,1300,59.54%,372,354,726
"District Judge, 351 st Judicial District",0261,442,531,973,1457,66.78%,263,648,911
"District Judge, 351 st Judicial District",0262,1847,676,2523,4397,57.38%,1335,1033,2368
"District Judge, 351 st Judicial District",0263,2208,665,2873,4016,71.54%,2005,729,2734
"District Judge, 351 st Judicial District",0264,1110,627,1737,3101,56.01%,865,765,1630
"District Judge, 351 st Judicial District",0265,1991,608,2599,3582,72.56%,1860,577,2437
"District Judge, 351 st Judicial District",0266,737,443,1180,2147,54.96%,427,684,1111
"District Judge, 351 st Judicial District",0267,421,293,714,1433,49.83%,252,419,671
"District Judge, 351 st Judicial District",0268,1174,689,1863,2528,73.69%,1070,631,1701
"District Judge, 351 st Judicial District",0269,1305,365,1670,2114,79.00%,1245,318,1563
"District Judge, 351 st Judicial District",0270,1816,688,2504,3985,62.84%,1244,1083,2327
"District Judge, 351 st Judicial District",0271,1150,346,1496,2558,58.48%,34,1426,1460
