Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
"Member, State Board of Education, District 6",0570,755,278,1044,1598,65.33%,332,600,53,985
"Member, State Board of Education, District 6",0572,1522,444,1966,3308,59.43%,789,1015,82,1886
"Member, State Board of Education, District 6",0575,1905,535,2440,3557,68.60%,1253,997,102,2352
"Member, State Board of Education, District 6",0577,885,205,1090,1586,68.73%,600,404,36,1040
"Member, State Board of Education, District 6",0592,449,272,721,1446,49.86%,132,534,24,690
"Member, State Board of Education, District 6",0593,1551,755,2315,4179,55.42%,850,1274,91,2215
"Member, State Board of Education, District 6",0597,1204,609,1813,3587,50.54%,581,1093,63,1737
"Member, State Board of Education, District 6",0600,1602,776,2378,4204,56.57%,738,1467,64,2269
"Member, State Board of Education, District 6",0601,2220,670,2890,4151,69.62%,1966,745,94,2805
"Member, State Board of Education, District 6",0602,754,234,988,1441,68.56%,639,297,29,965
"Member, State Board of Education, District 6",0609,2037,729,2766,4305,64.25%,1489,1077,100,2666
"Member, State Board of Education, District 6",0610,665,343,1008,2086,48.32%,376,545,30,951
"Member, State Board of Education, District 6",0614,1949,645,2594,4566,56.81%,707,1724,68,2499
"Member, State Board of Education, District 6",0615,1075,301,1376,2086,65.96%,672,590,64,1326
"Member, State Board of Education, District 6",0616,1809,611,2420,3516,68.83%,1488,729,105,2322
"Member, State Board of Education, District 6",0619,2792,663,3455,4916,70.28%,2354,889,134,3377
"Member, State Board of Education, District 6",0620,1747,333,2080,3318,62.69%,1013,922,58,1993
"Member, State Board of Education, District 6",0621,535,200,736,1272,57.86%,292,382,29,703
"Member, State Board of Education, District 6",0622,2129,591,2720,4562,59.62%,1367,1157,92,2616
"Member, State Board of Education, District 6",0623,1960,461,2421,3919,61.78%,1430,827,79,2336
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
"Member, State Board of Education, District 6",0625,924,372,1296,1864,69.53%,635,555,57,1247
"Member, State Board of Education, District 6",0626,2280,784,3064,4816,63.62%,1474,1341,117,2932
"Member, State Board of Education, District 6",0628,716,545,1261,2420,52.11%,420,742,27,1189
"Member, State Board of Education, District 6",0631,1841,398,2239,3263,68.62%,1379,692,82,2153
"Member, State Board of Education, District 6",0633,2286,601,2887,3912,73.80%,1856,852,80,2788
"Member, State Board of Education, District 6",0640,1619,615,2234,3927,56.89%,1167,912,92,2171
"Member, State Board of Education, District 6",0641,1637,683,2320,3840,60.42%,1276,882,79,2237
"Member, State Board of Education, District 6",0642,1030,270,1300,1783,72.91%,964,267,34,1265
"Member, State Board of Education, District 6",0643,1948,593,2541,4189,60.66%,1108,1267,83,2458
"Member, State Board of Education, District 6",0644,2087,689,2776,4446,62.44%,1478,1086,115,2679
"Member, State Board of Education, District 6",0645,2145,769,2914,4517,64.51%,1091,1578,129,2798
"Member, State Board of Education, District 6",0646,925,399,1324,2422,54.67%,316,912,35,1263
"Member, State Board of Education, District 6",0647,1372,526,1898,4349,43.64%,393,1352,31,1776
"Member, State Board of Education, District 6",0648,1859,500,2359,3487,67.65%,1567,656,69,2292
"Member, State Board of Education, District 6",0650,2033,819,2852,4039,70.61%,1802,865,90,2757
"Member, State Board of Education, District 6",0651,1734,551,2285,3873,59.00%,1138,979,86,2203
"Member, State Board of Education, District 6",0661,1946,774,2720,4363,62.34%,1250,1263,100,2613
"Member, State Board of Education, District 6",0667,1109,400,1509,2175,69.38%,1068,344,39,1451
"Member, State Board of Education, District 6",0668,1552,719,2271,3669,61.90%,1251,848,108,2207
"Member, State Board of Education, District 6",0669,1889,702,2591,3585,72.27%,1663,757,88,2508
"Member, State Board of Education, District 6",0671,1398,588,1986,3198,62.10%,1010,820,88,1918
"Member, State Board of Education, District 6",0672,1724,489,2213,3433,64.46%,1435,641,74,2150
"Member, State Board of Education, District 6",0676,1087,465,1552,2976,52.15%,540,869,77,1486
"Member, State Board of Education, District 6",0681,8,0,6,4,150.00%,3,2,1,6
"Member, State Board of Education, District 6",0684,1680,640,2320,3559,65.19%,1347,809,95,2251
"Member, State Board of Education, District 6",0685,139,28,167,285,58.60%,70,76,7,153
